FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
金門縣金寧鄉榜林村21鄰盤果路480號,09020,0902004,0902004-005,21鄰,盤果路,,,,,,480號,120.346600379999,24.4312844233451
金門縣金寧鄉盤山村15鄰盤果路30巷1號,09020,0902004,0902004-006,15鄰,盤果路,,30巷,,,,1號,120.33794171056,24.444184428493
金門縣金寧鄉盤山村15鄰盤果路30巷2號,09020,0902004,0902004-006,15鄰,盤果路,,30巷,,,,2號,120.337990355635,24.4441366360822
金門縣金寧鄉盤山村15鄰盤果路30巷3號,09020,0902004,0902004-006,15鄰,盤果路,,30巷,,,,3號,120.338041022397,24.4440888615321
金門縣金寧鄉盤山村15鄰盤果路30巷5號,09020,0902004,0902004-006,15鄰,盤果路,,30巷,,,,5號,120.338091669837,24.4440447795985
金門縣金寧鄉盤山村15鄰盤果路16號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,16號,120.33755461633,24.4444259021806
金門縣金寧鄉盤山村15鄰盤果路18號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,18號,120.33759928194,24.4443885205637
金門縣金寧鄉盤山村15鄰盤果路20號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,20號,120.337638843698,24.444346412653
金門縣金寧鄉盤山村15鄰盤果路22號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,22號,120.337681827654,24.4443043197179
金門縣金寧鄉盤山村15鄰盤果路26號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,26號,120.337729933477,24.4442653821404
金門縣金寧鄉盤山村15鄰盤果路28號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,28號,120.337778070306,24.4442186168411
金門縣金寧鄉盤山村15鄰盤果路30號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,30號,120.337801930043,24.4440482874382
金門縣金寧鄉盤山村15鄰盤果路32號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,32號,120.337839460938,24.4440059900052
金門縣金寧鄉盤山村15鄰盤果路36號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,36號,120.337896269733,24.4439397787984
金門縣金寧鄉盤山村15鄰盤果路38號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,38號,120.337931759506,24.4439011651244
金門縣金寧鄉盤山村15鄰盤果路95號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,95號,120.338905683131,24.4422805021957
金門縣金寧鄉盤山村15鄰盤果路19號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,19號,120.3373882219,24.4440794120174
金門縣金寧鄉盤山村15鄰盤果路21號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,21號,120.337419710042,24.4440365735839
金門縣金寧鄉盤山村15鄰盤果路23號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,23號,120.337464327754,24.4439913549234
金門縣金寧鄉盤山村15鄰盤果路25號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,25號,120.33750098057,24.4439604569171
金門縣金寧鄉盤山村15鄰盤果路27號三樓,09020,0902004,0902004-006,15鄰,盤果路,,,,,,27號三樓,120.337326170764,24.4439692614551
金門縣金寧鄉盤山村15鄰盤果路27號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,27號,120.337326170764,24.4439692614551
金門縣金寧鄉盤山村15鄰盤果路27號二樓,09020,0902004,0902004-006,15鄰,盤果路,,,,,,27號二樓,120.337326170764,24.4439692614551
金門縣金寧鄉盤山村15鄰盤果路29號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,29號,120.337396987281,24.4438930990389
金門縣金寧鄉盤山村15鄰盤果路29號三樓,09020,0902004,0902004-006,15鄰,盤果路,,,,,,29號三樓,120.337396987281,24.4438930990389
金門縣金寧鄉盤山村15鄰盤果路29號二樓,09020,0902004,0902004-006,15鄰,盤果路,,,,,,29號二樓,120.337396987281,24.4438930990389
金門縣金寧鄉盤山村15鄰盤果路30巷8號,09020,0902004,0902004-006,15鄰,盤果路,,30巷,,,,8號,120.338464580688,24.4438408919357
金門縣金寧鄉盤山村15鄰盤果路46巷1號,09020,0902004,0902004-006,15鄰,盤果路,,46巷,,,,1號,120.338307166659,24.4437291508891
金門縣金寧鄉盤山村15鄰盤果路46巷2號,09020,0902004,0902004-006,15鄰,盤果路,,46巷,,,,2號,120.338334499886,24.4437453414732
金門縣金寧鄉盤山村15鄰盤果路46巷3號,09020,0902004,0902004-006,15鄰,盤果路,,46巷,,,,3號,120.338351369211,24.4437633822933
金門縣金寧鄉盤山村15鄰盤果路46巷5號,09020,0902004,0902004-006,15鄰,盤果路,,46巷,,,,5號,120.338370797078,24.4437825177427
金門縣金寧鄉盤山村15鄰盤果路68號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,68號,120.338249235063,24.4434909924034
金門縣金寧鄉盤山村15鄰盤果路68號二樓,09020,0902004,0902004-006,15鄰,盤果路,,,,,,68號二樓,120.338249235063,24.4434909924034
金門縣金寧鄉盤山村15鄰盤果路68號三樓,09020,0902004,0902004-006,15鄰,盤果路,,,,,,68號三樓,120.338249235063,24.4434909924034
金門縣金寧鄉盤山村15鄰盤果路68號四樓,09020,0902004,0902004-006,15鄰,盤果路,,,,,,68號四樓,120.338249235063,24.4434909924034
金門縣金寧鄉盤山村15鄰盤果路69號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,69號,120.33833515037,24.4434129092872
金門縣金寧鄉盤山村15鄰盤果路69號二樓,09020,0902004,0902004-006,15鄰,盤果路,,,,,,69號二樓,120.33833515037,24.4434129092872
金門縣金寧鄉盤山村15鄰盤果路69號三樓,09020,0902004,0902004-006,15鄰,盤果路,,,,,,69號三樓,120.33833515037,24.4434129092872
金門縣金寧鄉盤山村15鄰盤果路69號四樓,09020,0902004,0902004-006,15鄰,盤果路,,,,,,69號四樓,120.33833515037,24.4434129092872
金門縣金寧鄉盤山村15鄰盤果路70號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,70號,120.338610161159,24.4431774711174
金門縣金寧鄉盤山村15鄰盤果路85號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,85號,120.338009086118,24.4428295857299
金門縣金寧鄉盤山村15鄰盤果路91之3號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,91之3號,120.338270349987,24.4422801616449
金門縣金寧鄉盤山村15鄰盤果路111號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,111號,120.339269411187,24.4418257832543
金門縣金寧鄉盤山村15鄰盤果路113號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,113號,120.339306075169,24.4417925373817
金門縣金寧鄉盤山村15鄰盤果路115號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,115號,120.33934804021,24.4417640095558
金門縣金寧鄉盤山村15鄰盤果路117號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,117號,120.339371661218,24.4417354918842
金門縣金寧鄉盤山村15鄰盤果路119號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,119號,120.339392768408,24.4416973025661
金門縣金寧鄉盤山村15鄰盤果路121號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,121號,120.339421629017,24.4416663700327
金門縣金寧鄉盤山村15鄰盤果路123號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,123號,120.339447876711,24.4416258557056
金門縣金寧鄉盤山村15鄰盤果路125號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,125號,120.33946632062,24.4415877450315
金門縣金寧鄉盤山村15鄰盤果路127號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,127號,120.339492641971,24.4415520162058
金門縣金寧鄉盤山村15鄰盤果路129號,09020,0902004,0902004-006,15鄰,盤果路,,,,,,129號,120.339524103832,24.4415139623711
金門縣金寧鄉盤山村26鄰盤果路200號,09020,0902004,0902004-006,26鄰,盤果路,,,,,,200號,120.340406552237,24.4407412401283
金門縣金寧鄉盤山村26鄰盤果路200之1號,09020,0902004,0902004-006,26鄰,盤果路,,,,,,200之1號,120.340492311948,24.4406640127487
金門縣金寧鄉盤山村26鄰盤果路210號,09020,0902004,0902004-006,26鄰,盤果路,,,,,,210號,120.340980034334,24.4401187940106
金門縣金寧鄉盤山村26鄰盤果路212巷1號,09020,0902004,0902004-006,26鄰,盤果路,,212巷,,,,1號,120.341382256865,24.4395223970549
金門縣金寧鄉盤山村26鄰盤果路212巷9之1號,09020,0902004,0902004-006,26鄰,盤果路,,212巷,,,,9之1號,120.340630726867,24.4395286030295
金門縣金寧鄉盤山村26鄰盤果路212巷31之1號,09020,0902004,0902004-006,26鄰,盤果路,,212巷,,,,31之1號,120.339660624256,24.4393884898168
金門縣金寧鄉盤山村26鄰盤果路219號,09020,0902004,0902004-006,26鄰,盤果路,,,,,,219號,120.342342948318,24.4399373811431
金門縣金寧鄉盤山村26鄰盤果路230號,09020,0902004,0902004-006,26鄰,盤果路,,,,,,230號,120.341697714585,24.4377396521605
金門縣金寧鄉盤山村26鄰盤果路245巷12之1號,09020,0902004,0902004-006,26鄰,盤果路,,245巷,,,,12之1號,120.345199015272,24.439280485826
