FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣關西鎮仁安里4鄰中豐新路623之1I-臨,10004,1000404,1000404-005,4鄰,中豐新路,,,,,,623之1I-臨,121.188639023524,24.8020393945043
新竹縣關西鎮東光里4鄰中豐新路2之1I-臨,10004,1000404,1000404-009,4鄰,中豐新路,,,,,,2之1I-臨,121.178934849876,24.7804857647495
新竹縣關西鎮東光里4鄰中豐新路7I-,10004,1000404,1000404-009,4鄰,中豐新路,,,,,,7I-,121.179009790066,24.7810915858006
新竹縣關西鎮東光里4鄰中豐新路10I-,10004,1000404,1000404-009,4鄰,中豐新路,,,,,,10I-,121.179213007661,24.7807406711421
新竹縣關西鎮東光里4鄰中豐新路12I-,10004,1000404,1000404-009,4鄰,中豐新路,,,,,,12I-,121.179257084388,24.7807887409185
新竹縣關西鎮東光里4鄰中豐新路14I-,10004,1000404,1000404-009,4鄰,中豐新路,,,,,,14I-,121.179291255838,24.7808257173416
新竹縣關西鎮東光里4鄰中豐新路16I-,10004,1000404,1000404-009,4鄰,中豐新路,,,,,,16I-,121.179328386331,24.7808572730413
新竹縣關西鎮東光里4鄰中豐新路18I-,10004,1000404,1000404-009,4鄰,中豐新路,,,,,,18I-,121.179361565641,24.7808919934814
新竹縣關西鎮東光里4鄰中豐新路22G-1I-,10004,1000404,1000404-009,4鄰,中豐新路,,22G-,,,,1I-,121.17955166111,24.7807008103507
新竹縣關西鎮東光里4鄰中豐新路22G-2I-,10004,1000404,1000404-009,4鄰,中豐新路,,22G-,,,,2I-,121.179574843261,24.7806606051945
新竹縣關西鎮東光里4鄰中豐新路22G-3I-,10004,1000404,1000404-009,4鄰,中豐新路,,22G-,,,,3I-,121.179482833418,24.7806336296599
新竹縣關西鎮東光里4鄰中豐新路22G-5I-,10004,1000404,1000404-009,4鄰,中豐新路,,22G-,,,,5I-,121.179468066406,24.7804739310865
新竹縣關西鎮東光里4鄰中豐新路22G-6I-,10004,1000404,1000404-009,4鄰,中豐新路,,22G-,,,,6I-,121.179494423386,24.7804408547454
新竹縣關西鎮東光里4鄰中豐新路22G-7I-,10004,1000404,1000404-009,4鄰,中豐新路,,22G-,,,,7I-,121.179516619822,24.7804029079334
新竹縣關西鎮東光里4鄰中豐新路22G-8I-,10004,1000404,1000404-009,4鄰,中豐新路,,22G-,,,,8I-,121.179527213662,24.78034267434
新竹縣關西鎮東光里4鄰中豐新路22G-9I-,10004,1000404,1000404-009,4鄰,中豐新路,,22G-,,,,9I-,121.179536365658,24.7803113340567
新竹縣關西鎮東光里4鄰中豐新路22G-10I-,10004,1000404,1000404-009,4鄰,中豐新路,,22G-,,,,10I-,121.179542312413,24.7802517380371
新竹縣關西鎮東光里4鄰中豐新路22G-11I-,10004,1000404,1000404-009,4鄰,中豐新路,,22G-,,,,11I-,121.179566977362,24.7802111699571
