FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣竹北市福德里14鄰仁德街1G-1I-,10004,1000401,1000401-026,14鄰,仁德街,,1G-,,,,1I-,121.01110338205,24.8358280726406
新竹縣竹北市福德里14鄰仁德街1G-3I-,10004,1000401,1000401-026,14鄰,仁德街,,1G-,,,,3I-,121.011076474909,24.8358720438279
新竹縣竹北市福德里14鄰仁德街1G-5I-,10004,1000401,1000401-026,14鄰,仁德街,,1G-,,,,5I-,121.011054713307,24.8359249529251
新竹縣竹北市福德里14鄰仁德街1G-7I-,10004,1000401,1000401-026,14鄰,仁德街,,1G-,,,,7I-,121.010951333525,24.8360407972309
新竹縣竹北市福德里14鄰仁德街1G-9I-,10004,1000401,1000401-026,14鄰,仁德街,,1G-,,,,9I-,121.010860609818,24.8360673478783
新竹縣竹北市福德里14鄰仁德街1G-11I-,10004,1000401,1000401-026,14鄰,仁德街,,1G-,,,,11I-,121.010809856117,24.8360838738606
新竹縣竹北市福德里14鄰仁德街1G-15I-,10004,1000401,1000401-026,14鄰,仁德街,,1G-,,,,15I-,121.010601201384,24.836146095727
新竹縣竹北市福德里14鄰仁德街1G-17I-,10004,1000401,1000401-026,14鄰,仁德街,,1G-,,,,17I-,121.010449041011,24.8362198699469
新竹縣竹北市竹仁里41鄰仁德街1G-2I-,10004,1000401,1000401-008,41鄰,仁德街,,1G-,,,,2I-,121.011098260537,24.836088818446
新竹縣竹北市竹仁里41鄰仁德街1G-6H-1I-,10004,1000401,1000401-008,41鄰,仁德街,,1G-,6H-,,,1I-,121.011064135418,24.8361839822192
新竹縣竹北市竹仁里41鄰仁德街1G-6H-3I-,10004,1000401,1000401-008,41鄰,仁德街,,1G-,6H-,,,3I-,121.01110342168,24.836272369113
新竹縣竹北市竹仁里41鄰仁德街1G-6H-5I-,10004,1000401,1000401-008,41鄰,仁德街,,1G-,6H-,,,5I-,121.011168927677,24.8363727620509
新竹縣竹北市竹仁里41鄰仁德街1G-8I-,10004,1000401,1000401-008,41鄰,仁德街,,1G-,,,,8I-,121.01102752096,24.836100380265
新竹縣竹北市竹仁里41鄰仁德街1G-10I-,10004,1000401,1000401-008,41鄰,仁德街,,1G-,,,,10I-,121.010954999621,24.8361021010278
新竹縣竹北市竹仁里41鄰仁德街1G-12I-,10004,1000401,1000401-008,41鄰,仁德街,,1G-,,,,12I-,121.010898705971,24.8361252183101
新竹縣竹北市竹仁里41鄰仁德街1G-16I-,10004,1000401,1000401-008,41鄰,仁德街,,1G-,,,,16I-,121.010857052527,24.8361186304771
新竹縣竹北市竹仁里41鄰仁德街1G-18I-,10004,1000401,1000401-008,41鄰,仁德街,,1G-,,,,18I-,121.01080630513,24.8362080171058
新竹縣竹北市竹仁里42鄰仁德街1G-26I-,10004,1000401,1000401-008,42鄰,仁德街,,1G-,,,,26I-,121.010671549285,24.8361813021872
新竹縣竹北市竹仁里38鄰仁德街2I-,10004,1000401,1000401-008,38鄰,仁德街,,,,,,2I-,121.011346872008,24.8358750932651
新竹縣竹北市竹仁里41鄰仁德街5I-,10004,1000401,1000401-008,41鄰,仁德街,,,,,,5I-,121.011285052744,24.8360606352881
新竹縣竹北市竹仁里41鄰仁德街7I-,10004,1000401,1000401-008,41鄰,仁德街,,,,,,7I-,121.011304942719,24.8360987343973
新竹縣竹北市竹仁里41鄰仁德街9I-,10004,1000401,1000401-008,41鄰,仁德街,,,,,,9I-,121.011321270783,24.836135118343
新竹縣竹北市竹仁里41鄰仁德街10I-,10004,1000401,1000401-008,41鄰,仁德街,,,,,,10I-,121.011433259418,24.8360358857138
新竹縣竹北市竹仁里41鄰仁德街11I-,10004,1000401,1000401-008,41鄰,仁德街,,,,,,11I-,121.011348777868,24.8361607574271
新竹縣竹北市竹仁里41鄰仁德街12I-,10004,1000401,1000401-008,41鄰,仁德街,,,,,,12I-,121.011469869363,24.8360677538004
新竹縣竹北市竹仁里41鄰仁德街15I-,10004,1000401,1000401-008,41鄰,仁德街,,,,,,15I-,121.01140290823,24.8362840837224
新竹縣竹北市竹仁里41鄰仁德街15I-二樓,10004,1000401,1000401-008,41鄰,仁德街,,,,,,15I-二樓,121.01140290823,24.8362840837224
新竹縣竹北市竹仁里41鄰仁德街15I-三樓,10004,1000401,1000401-008,41鄰,仁德街,,,,,,15I-三樓,121.01140290823,24.8362840837224
新竹縣竹北市竹仁里41鄰仁德街15I-四樓,10004,1000401,1000401-008,41鄰,仁德街,,,,,,15I-四樓,121.01140290823,24.8362840837224
新竹縣竹北市竹仁里41鄰仁德街15I-五樓,10004,1000401,1000401-008,41鄰,仁德街,,,,,,15I-五樓,121.01140290823,24.8362840837224
新竹縣竹北市竹仁里41鄰仁德街19I-,10004,1000401,1000401-008,41鄰,仁德街,,,,,,19I-,121.011419140051,24.8363492688364
新竹縣竹北市竹仁里41鄰仁德街21I-,10004,1000401,1000401-008,41鄰,仁德街,,,,,,21I-,121.01145555348,24.8363949506686
新竹縣竹北市竹仁里41鄰仁德街25I-,10004,1000401,1000401-008,41鄰,仁德街,,,,,,25I-,121.011353458519,24.836495897989
新竹縣竹北市竹仁里41鄰仁德街27I-,10004,1000401,1000401-008,41鄰,仁德街,,,,,,27I-,121.011237904352,24.8365588359271
新竹縣竹北市竹仁里41鄰仁德街35G-2I-,10004,1000401,1000401-008,41鄰,仁德街,,35G-,,,,2I-,121.011031120561,24.836527341584
新竹縣竹北市竹仁里41鄰仁德街35G-6I-,10004,1000401,1000401-008,41鄰,仁德街,,35G-,,,,6I-,121.010972544961,24.8364802167048
新竹縣竹北市竹仁里41鄰仁德街35G-8I-,10004,1000401,1000401-008,41鄰,仁德街,,35G-,,,,8I-,121.010920501646,24.8364595450664
新竹縣竹北市竹仁里41鄰仁德街35G-10I-,10004,1000401,1000401-008,41鄰,仁德街,,35G-,,,,10I-,121.010807611226,24.8364372526769
新竹縣竹北市竹仁里42鄰仁德街35G-11I-,10004,1000401,1000401-008,42鄰,仁德街,,35G-,,,,11I-,121.010891508552,24.8364115151327
新竹縣竹北市竹仁里42鄰仁德街35G-13I-,10004,1000401,1000401-008,42鄰,仁德街,,35G-,,,,13I-,121.01070332474,24.8363716223991
新竹縣竹北市竹仁里41鄰仁德街37I-,10004,1000401,1000401-008,41鄰,仁德街,,,,,,37I-,121.011089208229,24.8366498551226
新竹縣竹北市竹仁里41鄰仁德街39I-,10004,1000401,1000401-008,41鄰,仁德街,,,,,,39I-,121.011045677414,24.8366730617971
新竹縣竹北市竹仁里41鄰仁德街41I-,10004,1000401,1000401-008,41鄰,仁德街,,,,,,41I-,121.011002146727,24.8366978936033
新竹縣竹北市竹仁里41鄰仁德街43I-,10004,1000401,1000401-008,41鄰,仁德街,,,,,,43I-,121.010969498658,24.8367160434491
新竹縣竹北市竹仁里41鄰仁德街45I-,10004,1000401,1000401-008,41鄰,仁德街,,,,,,45I-,121.010931408682,24.836730943397
新竹縣竹北市竹仁里41鄰仁德街47I-,10004,1000401,1000401-008,41鄰,仁德街,,,,,,47I-,121.010893319423,24.8367541496288
新竹縣竹北市竹仁里41鄰仁德街49I-,10004,1000401,1000401-008,41鄰,仁德街,,,,,,49I-,121.010853448967,24.8367740154055
新竹縣竹北市竹仁里43鄰仁德街50I-,10004,1000401,1000401-008,43鄰,仁德街,,,,,,50I-,121.011317279552,24.8368525296555
新竹縣竹北市竹仁里43鄰仁德街50之1I-,10004,1000401,1000401-008,43鄰,仁德街,,,,,,50之1I-,121.011437693203,24.8369121994047
新竹縣竹北市竹仁里41鄰仁德街51I-,10004,1000401,1000401-008,41鄰,仁德街,,,,,,51I-,121.010804475007,24.836780609817
新竹縣竹北市竹仁里42鄰仁德街53G-1I-,10004,1000401,1000401-008,42鄰,仁德街,,53G-,,,,1I-,121.010716907939,24.8367046857607
新竹縣竹北市竹仁里42鄰仁德街53G-3I-,10004,1000401,1000401-008,42鄰,仁德街,,53G-,,,,3I-,121.010739559837,24.836646810935
新竹縣竹北市竹仁里42鄰仁德街53G-5I-,10004,1000401,1000401-008,42鄰,仁德街,,53G-,,,,5I-,121.010676138932,24.8366302028902
新竹縣竹北市竹仁里42鄰仁德街53G-7I-,10004,1000401,1000401-008,42鄰,仁德街,,53G-,,,,7I-,121.010655754629,24.8365950831669
新竹縣竹北市竹仁里42鄰仁德街53G-9I-,10004,1000401,1000401-008,42鄰,仁德街,,53G-,,,,9I-,121.010614888874,24.8365454288818
新竹縣竹北市竹仁里42鄰仁德街53G-11I-,10004,1000401,1000401-008,42鄰,仁德街,,53G-,,,,11I-,121.010578672896,24.8364916211092
新竹縣竹北市竹仁里42鄰仁德街53G-11I-二樓,10004,1000401,1000401-008,42鄰,仁德街,,53G-,,,,11I-二樓,121.010578672896,24.8364916211092
