FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣竹北市中興里24鄰光明六路東二段20之3I-,10004,1000401,1000401-004,24鄰,光明六路東,二段,,,,,20之3I-,121.029196490193,24.8188483616078
新竹縣竹北市中興里24鄰光明六路東二段20之5I-,10004,1000401,1000401-004,24鄰,光明六路東,二段,,,,,20之5I-,121.029275020284,24.8187814443216
新竹縣竹北市中興里24鄰光明六路東二段20I-,10004,1000401,1000401-004,24鄰,光明六路東,二段,,,,,20I-,121.028955751446,24.8190323210148
新竹縣竹北市中興里24鄰光明六路東二段20之3I-三樓,10004,1000401,1000401-004,24鄰,光明六路東,二段,,,,,20之3I-三樓,121.029196490193,24.8188483616078
新竹縣竹北市中興里24鄰光明六路東二段20之5I-三樓,10004,1000401,1000401-004,24鄰,光明六路東,二段,,,,,20之5I-三樓,121.029275020284,24.8187814443216
新竹縣竹北市中興里19鄰光明六路東二段22I-,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,22I-,121.029456714175,24.8186555499434
新竹縣竹北市中興里19鄰光明六路東二段26I-,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,26I-,121.029495978534,24.8186196986572
新竹縣竹北市中興里19鄰光明六路東二段28I-,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,28I-,121.029519513956,24.8185838504658
新竹縣竹北市中興里19鄰光明六路東二段30I-,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,30I-,121.029558777139,24.8185432140042
新竹縣竹北市中興里19鄰光明六路東二段32I-,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,32I-,121.029587558327,24.8185192825191
新竹縣竹北市中興里19鄰光明六路東二段36I-,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,36I-,121.029616337808,24.8184882184334
新竹縣竹北市中興里19鄰光明六路東二段38I-,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,38I-,121.029645117297,24.818457244628
新竹縣竹北市中興里19鄰光明六路東二段40I-,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,40I-,121.029707926687,24.8184267154915
新竹縣竹北市中興里19鄰光明六路東二段46I-二樓,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,46I-二樓,121.029666019116,24.818163088636
新竹縣竹北市中興里19鄰光明六路東二段46I-三樓,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,46I-三樓,121.029666019116,24.818163088636
新竹縣竹北市中興里19鄰光明六路東二段46I-四樓,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,46I-四樓,121.029666019116,24.818163088636
新竹縣竹北市中興里19鄰光明六路東二段46I-五樓,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,46I-五樓,121.029666019116,24.818163088636
新竹縣竹北市中興里19鄰光明六路東二段46I-六樓,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,46I-六樓,121.029666019116,24.818163088636
新竹縣竹北市中興里19鄰光明六路東二段48I-,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,48I-,121.02977109543,24.8182442348885
新竹縣竹北市中興里19鄰光明六路東二段48I-二樓,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,48I-二樓,121.02977109543,24.8182442348885
新竹縣竹北市中興里19鄰光明六路東二段48I-三樓,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,48I-三樓,121.02977109543,24.8182442348885
新竹縣竹北市中興里19鄰光明六路東二段48I-四樓,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,48I-四樓,121.02977109543,24.8182442348885
新竹縣竹北市中興里19鄰光明六路東二段48I-五樓,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,48I-五樓,121.02977109543,24.8182442348885
新竹縣竹北市中興里19鄰光明六路東二段48I-六樓,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,48I-六樓,121.02977109543,24.8182442348885
新竹縣竹北市中興里19鄰光明六路東二段50I-,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,50I-,121.029813610287,24.8181508706754
新竹縣竹北市中興里19鄰光明六路東二段50I-二樓,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,50I-二樓,121.029813610287,24.8181508706754
新竹縣竹北市中興里19鄰光明六路東二段50I-三樓,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,50I-三樓,121.029813610287,24.8181508706754
新竹縣竹北市中興里19鄰光明六路東二段50I-四樓,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,50I-四樓,121.029813610287,24.8181508706754
新竹縣竹北市中興里19鄰光明六路東二段50I-五樓,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,50I-五樓,121.029813610287,24.8181508706754
新竹縣竹北市中興里19鄰光明六路東二段50I-六樓,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,50I-六樓,121.029813610287,24.8181508706754
新竹縣竹北市中興里19鄰光明六路東二段52I-,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,52I-,121.029853753858,24.8180697858213
新竹縣竹北市中興里19鄰光明六路東二段52I-二樓,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,52I-二樓,121.029853753858,24.8180697858213
新竹縣竹北市中興里19鄰光明六路東二段52I-三樓,10004,1000401,1000401-004,19鄰,光明六路東,二段,,,,,52I-三樓,121.029853753858,24.8180697858213
