FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣湖口鄉長安村6鄰南窩路1I-,10004,1000405,1000405-009,6鄰,南窩路,,,,,,1I-,121.104509508182,24.8805403988625
新竹縣湖口鄉長安村6鄰南窩路5I-,10004,1000405,1000405-009,6鄰,南窩路,,,,,,5I-,121.104436453727,24.8804080919167
新竹縣湖口鄉長安村6鄰南窩路17I-,10004,1000405,1000405-009,6鄰,南窩路,,,,,,17I-,121.104255715774,24.8802745058945
新竹縣湖口鄉長安村6鄰南窩路19G-3I-,10004,1000405,1000405-009,6鄰,南窩路,,19G-,,,,3I-,121.1044427734,24.8799198252352
新竹縣湖口鄉長安村6鄰南窩路19G-5I-,10004,1000405,1000405-009,6鄰,南窩路,,19G-,,,,5I-,121.104469674319,24.8800141544298
新竹縣湖口鄉長安村6鄰南窩路23I-,10004,1000405,1000405-009,6鄰,南窩路,,,,,,23I-,121.104293458904,24.8800797343955
新竹縣湖口鄉長安村6鄰南窩路26I-,10004,1000405,1000405-009,6鄰,南窩路,,,,,,26I-,121.103742280731,24.8800813824241
新竹縣湖口鄉長安村6鄰南窩路32I-,10004,1000405,1000405-009,6鄰,南窩路,,,,,,32I-,121.103744445335,24.8793549462975
新竹縣湖口鄉長安村6鄰南窩路163G-29I-,10004,1000405,1000405-009,6鄰,南窩路,,163G-,,,,29I-,121.108068852412,24.8784604929228
新竹縣湖口鄉長安村5鄰南窩路296I-,10004,1000405,1000405-009,5鄰,南窩路,,,,,,296I-,121.107366743263,24.8752474778135
新竹縣湖口鄉長安村4鄰南窩路361G-55H-28I-,10004,1000405,1000405-009,4鄰,南窩路,,361G-,55H-,,,28I-,121.11084996917,24.8740426942512
新竹縣湖口鄉長安村4鄰南窩路361G-55H-39I-,10004,1000405,1000405-009,4鄰,南窩路,,361G-,55H-,,,39I-,121.112484121057,24.8711917082868
新竹縣湖口鄉長安村4鄰南窩路361G-75I-,10004,1000405,1000405-009,4鄰,南窩路,,361G-,,,,75I-,121.111091531233,24.8738002794138
新竹縣湖口鄉長安村4鄰南窩路361G-79I-,10004,1000405,1000405-009,4鄰,南窩路,,361G-,,,,79I-,121.111189082688,24.8740976966807
新竹縣湖口鄉長安村4鄰南窩路361G-81I-,10004,1000405,1000405-009,4鄰,南窩路,,361G-,,,,81I-,121.111391553556,24.8739675350231
新竹縣湖口鄉長安村5鄰南窩路402I-,10004,1000405,1000405-009,5鄰,南窩路,,,,,,402I-,121.109801662347,24.8731036896466
新竹縣湖口鄉長安村4鄰南窩路453G-15I-,10004,1000405,1000405-009,4鄰,南窩路,,453G-,,,,15I-,121.11178858672,24.8726182863814
新竹縣湖口鄉長安村4鄰南窩路477I-,10004,1000405,1000405-009,4鄰,南窩路,,,,,,477I-,121.111713026368,24.8717934967634
新竹縣湖口鄉長安村4鄰南窩路477I-二樓,10004,1000405,1000405-009,4鄰,南窩路,,,,,,477I-二樓,121.111713026368,24.8717934967634
新竹縣湖口鄉長安村4鄰南窩路477I-三樓,10004,1000405,1000405-009,4鄰,南窩路,,,,,,477I-三樓,121.111713026368,24.8717934967634
新竹縣湖口鄉長安村4鄰南窩路477I-四樓,10004,1000405,1000405-009,4鄰,南窩路,,,,,,477I-四樓,121.111713026368,24.8717934967634
新竹縣湖口鄉長安村4鄰南窩路479I-二樓,10004,1000405,1000405-009,4鄰,南窩路,,,,,,479I-二樓,121.111863198591,24.8717285595186
新竹縣湖口鄉長安村4鄰南窩路479I-三樓,10004,1000405,1000405-009,4鄰,南窩路,,,,,,479I-三樓,121.111863198591,24.8717285595186
新竹縣湖口鄉長安村4鄰南窩路479I-,10004,1000405,1000405-009,4鄰,南窩路,,,,,,479I-,121.111863198591,24.8717285595186
新竹縣湖口鄉長安村4鄰南窩路479I-四樓,10004,1000405,1000405-009,4鄰,南窩路,,,,,,479I-四樓,121.111863198591,24.8717285595186
新竹縣湖口鄉長安村4鄰南窩路481I-,10004,1000405,1000405-009,4鄰,南窩路,,,,,,481I-,121.112065495575,24.8717398740656
新竹縣湖口鄉長安村4鄰南窩路489I-,10004,1000405,1000405-009,4鄰,南窩路,,,,,,489I-,121.113498759929,24.8762226273479
新竹縣湖口鄉長安村4鄰南窩路491I-,10004,1000405,1000405-009,4鄰,南窩路,,,,,,491I-,121.112108999667,24.8704875846349
新竹縣湖口鄉長安村5鄰南窩路500I-,10004,1000405,1000405-009,5鄰,南窩路,,,,,,500I-,121.111623856677,24.8710209020779
新竹縣湖口鄉長安村4鄰南窩路503I-,10004,1000405,1000405-009,4鄰,南窩路,,,,,,503I-,121.112117963219,24.8704407198431
