FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣關西鎮南雄里1鄰博愛路2I-,10004,1000404,1000404-003,1鄰,博愛路,,,,,,2I-,121.176830485165,24.7896198056684
新竹縣關西鎮南雄里1鄰博愛路6I-,10004,1000404,1000404-003,1鄰,博愛路,,,,,,6I-,121.176930843094,24.7896012687168
新竹縣關西鎮南雄里1鄰博愛路8I-,10004,1000404,1000404-003,1鄰,博愛路,,,,,,8I-,121.17698376077,24.7896053593192
新竹縣關西鎮南雄里1鄰博愛路10I-,10004,1000404,1000404-003,1鄰,博愛路,,,,,,10I-,121.177035674964,24.7895992487615
新竹縣關西鎮南雄里1鄰博愛路12I-,10004,1000404,1000404-003,1鄰,博愛路,,,,,,12I-,121.177087395538,24.7895264169931
新竹縣關西鎮南雄里2鄰博愛路12之1I-,10004,1000404,1000404-003,2鄰,博愛路,,,,,,12之1I-,121.177042290627,24.7894523454653
新竹縣關西鎮南雄里1鄰博愛路12I-之1,10004,1000404,1000404-003,1鄰,博愛路,,,,,,12I-之1,121.177038742769,24.7894611976985
新竹縣關西鎮南雄里2鄰博愛路12I-之1,10004,1000404,1000404-003,2鄰,博愛路,,,,,,12I-之1,121.177047841607,24.7894611869369
新竹縣關西鎮南雄里1鄰博愛路12I-之2,10004,1000404,1000404-003,1鄰,博愛路,,,,,,12I-之2,121.176993993152,24.7894283864797
新竹縣關西鎮南雄里1鄰博愛路12I-之2二樓,10004,1000404,1000404-003,1鄰,博愛路,,,,,,12I-之2二樓,121.176993993152,24.7894283864797
新竹縣關西鎮南雄里1鄰博愛路12I-之2三樓,10004,1000404,1000404-003,1鄰,博愛路,,,,,,12I-之2三樓,121.176993993152,24.7894283864797
新竹縣關西鎮南雄里1鄰博愛路12I-之2四樓,10004,1000404,1000404-003,1鄰,博愛路,,,,,,12I-之2四樓,121.176993993152,24.7894283864797
新竹縣關西鎮南雄里1鄰博愛路12I-之2五樓,10004,1000404,1000404-003,1鄰,博愛路,,,,,,12I-之2五樓,121.176993993152,24.7894283864797
新竹縣關西鎮南雄里1鄰博愛路12I-之3,10004,1000404,1000404-003,1鄰,博愛路,,,,,,12I-之3,121.177208813635,24.789503972637
新竹縣關西鎮南雄里2鄰博愛路12I-之11,10004,1000404,1000404-003,2鄰,博愛路,,,,,,12I-之11,121.176933672492,24.7894345069596
新竹縣關西鎮南雄里1鄰博愛路14I-,10004,1000404,1000404-003,1鄰,博愛路,,,,,,14I-,121.177181550518,24.7896667907318
新竹縣關西鎮南雄里2鄰博愛路15G-1I-,10004,1000404,1000404-003,2鄰,博愛路,,15G-,,,,1I-,121.177145435654,24.7893072239705
新竹縣關西鎮南雄里2鄰博愛路15G-1I-二樓,10004,1000404,1000404-003,2鄰,博愛路,,15G-,,,,1I-二樓,121.177147300015,24.7892968388633
新竹縣關西鎮南雄里2鄰博愛路15G-1I-三樓,10004,1000404,1000404-003,2鄰,博愛路,,15G-,,,,1I-三樓,121.177147300015,24.7892968388633
新竹縣關西鎮南雄里2鄰博愛路15G-1I-四樓,10004,1000404,1000404-003,2鄰,博愛路,,15G-,,,,1I-四樓,121.177147300015,24.7892968388633
新竹縣關西鎮南雄里2鄰博愛路15G-1I-五樓,10004,1000404,1000404-003,2鄰,博愛路,,15G-,,,,1I-五樓,121.177147300015,24.7892968388633
新竹縣關西鎮南雄里2鄰博愛路15G-1I-六樓,10004,1000404,1000404-003,2鄰,博愛路,,15G-,,,,1I-六樓,121.177147300015,24.7892968388633
新竹縣關西鎮南雄里2鄰博愛路15G-1I-七樓,10004,1000404,1000404-003,2鄰,博愛路,,15G-,,,,1I-七樓,121.177147300015,24.7892968388633
新竹縣關西鎮南雄里2鄰博愛路15G-1I-八樓,10004,1000404,1000404-003,2鄰,博愛路,,15G-,,,,1I-八樓,121.177147300015,24.7892968388633
新竹縣關西鎮南雄里2鄰博愛路15G-3I-,10004,1000404,1000404-003,2鄰,博愛路,,15G-,,,,3I-,121.177166588305,24.7892291014646
新竹縣關西鎮南雄里2鄰博愛路15G-3I-二樓,10004,1000404,1000404-003,2鄰,博愛路,,15G-,,,,3I-二樓,121.177170729677,24.7892203388118
新竹縣關西鎮南雄里2鄰博愛路15G-3I-三樓,10004,1000404,1000404-003,2鄰,博愛路,,15G-,,,,3I-三樓,121.177170729677,24.7892203388118
新竹縣關西鎮南雄里2鄰博愛路15G-3I-四樓,10004,1000404,1000404-003,2鄰,博愛路,,15G-,,,,3I-四樓,121.177170729677,24.7892203388118
新竹縣關西鎮南雄里2鄰博愛路15G-3I-五樓,10004,1000404,1000404-003,2鄰,博愛路,,15G-,,,,3I-五樓,121.177170729677,24.7892203388118
新竹縣關西鎮南雄里2鄰博愛路15G-3I-六樓,10004,1000404,1000404-003,2鄰,博愛路,,15G-,,,,3I-六樓,121.177170729677,24.7892203388118
新竹縣關西鎮南雄里2鄰博愛路15G-3I-七樓,10004,1000404,1000404-003,2鄰,博愛路,,15G-,,,,3I-七樓,121.177170729677,24.7892203388118
