FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣竹北市新社里19鄰國光街2G-1H-22I-,10004,1000401,1000401-011,19鄰,國光街,,2G-,1H-,,,22I-,121.000616724353,24.8450470208721
新竹縣竹北市新社里19鄰國光街2G-1H-36I-,10004,1000401,1000401-011,19鄰,國光街,,2G-,1H-,,,36I-,121.000940672613,24.8453436077136
新竹縣竹北市新社里19鄰國光街2G-1H-50I-,10004,1000401,1000401-011,19鄰,國光街,,2G-,1H-,,,50I-,121.001324282851,24.8452923225289
新竹縣竹北市新社里19鄰國光街2G-1H-51I-,10004,1000401,1000401-011,19鄰,國光街,,2G-,1H-,,,51I-,121.000609009006,24.8455302299722
新竹縣竹北市新社里19鄰國光街2G-1H-51之1I-,10004,1000401,1000401-011,19鄰,國光街,,2G-,1H-,,,51之1I-,121.000520651163,24.8456281902873
新竹縣竹北市新社里19鄰國光街2G-1H-51之9I-,10004,1000401,1000401-011,19鄰,國光街,,2G-,1H-,,,51之9I-,121.000164150637,24.8456820013789
新竹縣竹北市新社里19鄰國光街2G-1H-53I-,10004,1000401,1000401-011,19鄰,國光街,,2G-,1H-,,,53I-,121.000673818165,24.8455146102684
新竹縣竹北市新社里19鄰國光街2G-1H-55I-,10004,1000401,1000401-011,19鄰,國光街,,2G-,1H-,,,55I-,121.000663824828,24.8455423280222
新竹縣竹北市新社里19鄰國光街2G-1H-57I-,10004,1000401,1000401-011,19鄰,國光街,,2G-,1H-,,,57I-,121.00073249307,24.845562732269
新竹縣竹北市新社里19鄰國光街2G-1H-58I-,10004,1000401,1000401-011,19鄰,國光街,,2G-,1H-,,,58I-,121.001487639358,24.8451205073024
新竹縣竹北市新社里19鄰國光街2G-1H-59I-,10004,1000401,1000401-011,19鄰,國光街,,2G-,1H-,,,59I-,121.00075307405,24.8456170841561
新竹縣竹北市新社里19鄰國光街2G-1H-61I-,10004,1000401,1000401-011,19鄰,國光街,,2G-,1H-,,,61I-,121.000829657789,24.8456076940381
新竹縣竹北市新社里19鄰國光街2G-1H-63I-,10004,1000401,1000401-011,19鄰,國光街,,2G-,1H-,,,63I-,121.000877646645,24.845650489184
新竹縣竹北市新社里19鄰國光街2G-1H-65I-,10004,1000401,1000401-011,19鄰,國光街,,2G-,1H-,,,65I-,121.000914850674,24.8457209118035
新竹縣竹北市新社里19鄰國光街2G-1H-69I-,10004,1000401,1000401-011,19鄰,國光街,,2G-,1H-,,,69I-,121.001043776263,24.8456637601134
新竹縣竹北市新社里19鄰國光街2G-1H-71I-,10004,1000401,1000401-011,19鄰,國光街,,2G-,1H-,,,71I-,121.00117072292,24.8456169008965
新竹縣竹北市新社里19鄰國光街2G-1H-73I-,10004,1000401,1000401-011,19鄰,國光街,,2G-,1H-,,,73I-,121.001179331596,24.8456610505342
