FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣湖口鄉中興村25鄰安宅七街10I-,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,10I-,121.026796998596,24.8699124191803
新竹縣湖口鄉中興村25鄰安宅七街20之1I-,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,20之1I-,121.026907116203,24.8697728181558
新竹縣湖口鄉中興村25鄰安宅七街20之2I-,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,20之2I-,121.026922845898,24.8697465422699
新竹縣湖口鄉中興村25鄰安宅七街20之3I-,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,20之3I-,121.026925415889,24.8697322767136
新竹縣湖口鄉中興村25鄰安宅七街20I-,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,20I-,121.026888811876,24.8697919619571
新竹縣湖口鄉中興村25鄰安宅七街20I-二樓之1,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,20I-二樓之1,121.026888811876,24.8697919619571
新竹縣湖口鄉中興村25鄰安宅七街20I-二樓之2,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,20I-二樓之2,121.026888811876,24.8697919619571
新竹縣湖口鄉中興村25鄰安宅七街20I-二樓之3,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,20I-二樓之3,121.026888811876,24.8697919619571
新竹縣湖口鄉中興村25鄰安宅七街20I-二樓之5,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,20I-二樓之5,121.026888811876,24.8697919619571
新竹縣湖口鄉中興村25鄰安宅七街20I-二樓之6,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,20I-二樓之6,121.026888811876,24.8697919619571
新竹縣湖口鄉中興村25鄰安宅七街20I-三樓之1,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,20I-三樓之1,121.026888811876,24.8697919619571
新竹縣湖口鄉中興村25鄰安宅七街20I-三樓之2,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,20I-三樓之2,121.026888811876,24.8697919619571
新竹縣湖口鄉中興村25鄰安宅七街20I-三樓之3,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,20I-三樓之3,121.026888811876,24.8697919619571
新竹縣湖口鄉中興村25鄰安宅七街20I-三樓之5,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,20I-三樓之5,121.026888811876,24.8697919619571
新竹縣湖口鄉中興村25鄰安宅七街20I-三樓之6,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,20I-三樓之6,121.026888811876,24.8697919619571
新竹縣湖口鄉中興村25鄰安宅七街20I-四樓之1,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,20I-四樓之1,121.026888811876,24.8697919619571
新竹縣湖口鄉中興村25鄰安宅七街20I-四樓之2,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,20I-四樓之2,121.026888811876,24.8697919619571
新竹縣湖口鄉中興村25鄰安宅七街20I-四樓之3,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,20I-四樓之3,121.026888811876,24.8697919619571
新竹縣湖口鄉中興村25鄰安宅七街20I-四樓之5,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,20I-四樓之5,121.026888811876,24.8697919619571
新竹縣湖口鄉中興村25鄰安宅七街20I-四樓之6,10004,1000405,1000405-016,25鄰,安宅七街,,,,,,20I-四樓之6,121.026888811876,24.8697919619571
