FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣寶山鄉寶山村11鄰寶山六街2I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,2I-,121.018322589747,24.753162209408
新竹縣寶山鄉寶山村11鄰寶山六街7I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,7I-,121.017890986186,24.7529759095836
新竹縣寶山鄉寶山村11鄰寶山六街8I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,8I-,121.017977329958,24.7531741690847
新竹縣寶山鄉寶山村11鄰寶山六街9I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,9I-,121.017707777232,24.7529818902747
新竹縣寶山鄉寶山村11鄰寶山六街11I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,11I-,121.01759792995,24.7529783820293
新竹縣寶山鄉寶山村11鄰寶山六街13I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,13I-,121.017361228732,24.7529664014936
新竹縣寶山鄉寶山村11鄰寶山六街15I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,15I-,121.017200362375,24.7529545021855
新竹縣寶山鄉寶山村11鄰寶山六街16I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,16I-,121.01756137349,24.7531646480072
新竹縣寶山鄉寶山村11鄰寶山六街17I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,17I-,121.0170511631,24.7529437751061
新竹縣寶山鄉寶山村11鄰寶山六街18I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,18I-,121.017441048099,24.7531790176627
新竹縣寶山鄉寶山村11鄰寶山六街19I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,19I-,121.016967507843,24.7528732706012
新竹縣寶山鄉寶山村11鄰寶山六街22I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,22I-,121.017145413814,24.7531312900577
新竹縣寶山鄉寶山村11鄰寶山六街23I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,23I-,121.016773877207,24.7525794991061
新竹縣寶山鄉寶山村11鄰寶山六街26I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,26I-,121.016983265498,24.7531456641252
新竹縣寶山鄉寶山村11鄰寶山六街28I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,28I-,121.016860259865,24.7530811229464
新竹縣寶山鄉寶山村11鄰寶山六街30I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,30I-,121.01674515421,24.7529426358849
新竹縣寶山鄉寶山村11鄰寶山六街33I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,33I-,121.016279637639,24.7519737290511
新竹縣寶山鄉寶山村11鄰寶山六街36I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,36I-,121.016605722088,24.7527721898979
新竹縣寶山鄉寶山村11鄰寶山六街53I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,53I-,121.015784911292,24.7513899873531
新竹縣寶山鄉寶山村11鄰寶山六街56I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,56I-,121.016373120274,24.7523503954855
新竹縣寶山鄉寶山村11鄰寶山六街60I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,60I-,121.015999436386,24.751971592345
新竹縣寶山鄉寶山村11鄰寶山六街62I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,62I-,121.015839834813,24.7517865213087
新竹縣寶山鄉寶山村11鄰寶山六街66I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,66I-,121.015706436149,24.7516145389437
新竹縣寶山鄉寶山村11鄰寶山六街78I-,10004,1000410,1000410-008,11鄰,寶山六街,,,,,,78I-,121.015186222254,24.7511701104946
