FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣竹東鎮上?里31鄰幸福路40I-,10004,1000402,1000402-000,31鄰,幸福路,,,,,,40I-,121.093236652849,24.724859264314
新竹縣竹東鎮上?里30鄰幸福路41I-,10004,1000402,1000402-000,30鄰,幸福路,,,,,,41I-,121.092938282799,24.7245369440675
新竹縣竹東鎮上?里31鄰幸福路42I-,10004,1000402,1000402-000,31鄰,幸福路,,,,,,42I-,121.093197389974,24.7248330151788
新竹縣竹東鎮上?里30鄰幸福路43I-,10004,1000402,1000402-000,30鄰,幸福路,,,,,,43I-,121.092878563029,24.7245171179053
新竹縣竹東鎮上?里31鄰幸福路44I-,10004,1000402,1000402-000,31鄰,幸福路,,,,,,44I-,121.093142907236,24.7248107481176
新竹縣竹東鎮上?里30鄰幸福路45I-,10004,1000402,1000402-000,30鄰,幸福路,,,,,,45I-,121.092839300337,24.7244908686747
新竹縣竹東鎮上?里31鄰幸福路46I-,10004,1000402,1000402-000,31鄰,幸福路,,,,,,46I-,121.093095845961,24.7247988594436
新竹縣竹東鎮上?里30鄰幸福路47I-,10004,1000402,1000402-000,30鄰,幸福路,,,,,,47I-,121.09279737047,24.724466968548
新竹縣竹東鎮上?里32鄰幸福路48G-3H-1I-,10004,1000402,1000402-000,32鄰,幸福路,,48G-,3H-,,,1I-,121.092918870788,24.7248857350728
新竹縣竹東鎮上?里32鄰幸福路48G-3H-2I-,10004,1000402,1000402-000,32鄰,幸福路,,48G-,3H-,,,2I-,121.092875781185,24.7248976796568
新竹縣竹東鎮上?里32鄰幸福路48G-3H-3I-,10004,1000402,1000402-000,32鄰,幸福路,,48G-,3H-,,,3I-,121.092828721644,24.724888138362
新竹縣竹東鎮上?里32鄰幸福路48G-3H-4I-,10004,1000402,1000402-000,32鄰,幸福路,,48G-,3H-,,,4I-,121.092776244561,24.7247711587838
新竹縣竹東鎮上?里32鄰幸福路48G-3H-5I-,10004,1000402,1000402-000,32鄰,幸福路,,48G-,3H-,,,5I-,121.092763222993,24.7248070108076
新竹縣竹東鎮上?里32鄰幸福路48G-3H-6I-,10004,1000402,1000402-000,32鄰,幸福路,,48G-,3H-,,,6I-,121.092752778602,24.7248524316663
新竹縣竹東鎮上?里32鄰幸福路48G-3H-7I-,10004,1000402,1000402-000,32鄰,幸福路,,48G-,3H-,,,7I-,121.092745008432,24.7249049835492
新竹縣竹東鎮上?里31鄰幸福路48G-4H-2I-,10004,1000402,1000402-000,31鄰,幸福路,,48G-,4H-,,,2I-,121.093031391904,24.7249262945009
新竹縣竹東鎮上?里31鄰幸福路48G-4H-4I-,10004,1000402,1000402-000,31鄰,幸福路,,48G-,4H-,,,4I-,121.093100708646,24.7249573102406
新竹縣竹東鎮上?里31鄰幸福路48G-4H-5I-,10004,1000402,1000402-000,31鄰,幸福路,,48G-,4H-,,,5I-,121.093077507173,24.7249952452123
新竹縣竹東鎮上?里31鄰幸福路48G-4H-6I-,10004,1000402,1000402-000,31鄰,幸福路,,48G-,4H-,,,6I-,121.093160916993,24.7249691907467
新竹縣竹東鎮上?里31鄰幸福路48G-4H-7I-,10004,1000402,1000402-000,31鄰,幸福路,,48G-,4H-,,,7I-,121.093123283541,24.7250072249765
新竹縣竹東鎮上?里31鄰幸福路48G-4H-8I-,10004,1000402,1000402-000,31鄰,幸福路,,48G-,4H-,,,8I-,121.093228932732,24.7249787189117
新竹縣竹東鎮上?里31鄰幸福路48G-5I-,10004,1000402,1000402-000,31鄰,幸福路,,48G-,,,,5I-,121.092867926421,24.7249693724576
新竹縣竹東鎮上?里31鄰幸福路48G-6I-,10004,1000402,1000402-000,31鄰,幸福路,,48G-,,,,6I-,121.093171516017,24.7251316106054
新竹縣竹東鎮上?里31鄰幸福路48G-6I-之1,10004,1000402,1000402-000,31鄰,幸福路,,48G-,,,,6I-之1,121.093028940768,24.7250862847146
新竹縣竹東鎮上?里31鄰幸福路48G-7I-,10004,1000402,1000402-000,31鄰,幸福路,,48G-,,,,7I-,121.09285234897,24.7250243669303
新竹縣竹東鎮上?里31鄰幸福路48G-8I-,10004,1000402,1000402-000,31鄰,幸福路,,48G-,,,,8I-,121.09315366688,24.7251889539831
新竹縣竹東鎮上?里31鄰幸福路48G-9I-,10004,1000402,1000402-000,31鄰,幸福路,,48G-,,,,9I-,121.092831435357,24.725081712168
新竹縣竹東鎮上?里31鄰幸福路48G-10I-,10004,1000402,1000402-000,31鄰,幸福路,,48G-,,,,10I-,121.092970143483,24.7252440526879
新竹縣竹東鎮上?里31鄰幸福路48G-11I-,10004,1000402,1000402-000,31鄰,幸福路,,48G-,,,,11I-,121.092820994452,24.7251318279553
新竹縣竹東鎮上?里31鄰幸福路48G-12I-,10004,1000402,1000402-000,31鄰,幸福路,,48G-,,,,12I-,121.093067424247,24.7252606954596
新竹縣竹東鎮上?里31鄰幸福路48G-13I-,10004,1000402,1000402-000,31鄰,幸福路,,48G-,,,,13I-,121.092807992348,24.725193953507
新竹縣竹東鎮上?里31鄰幸福路48G-14I-,10004,1000402,1000402-000,31鄰,幸福路,,48G-,,,,14I-,121.093147997644,24.725275001082
