FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣新豐鄉明新村2鄰康樂路一段15I-,10004,1000406,1000406-000,2鄰,康樂路,一段,,,,,15I-,120.991136082616,24.8648518950362
新竹縣新豐鄉明新村2鄰康樂路一段21I-,10004,1000406,1000406-000,2鄰,康樂路,一段,,,,,21I-,120.990977532443,24.865058548965
新竹縣新豐鄉明新村2鄰康樂路一段23I-,10004,1000406,1000406-000,2鄰,康樂路,一段,,,,,23I-,120.990857385049,24.8651782601787
新竹縣新豐鄉明新村2鄰康樂路一段25I-,10004,1000406,1000406-000,2鄰,康樂路,一段,,,,,25I-,120.990904487705,24.8652165440892
新竹縣新豐鄉明新村2鄰康樂路一段27I-,10004,1000406,1000406-000,2鄰,康樂路,一段,,,,,27I-,120.990914281796,24.8652583468527
新竹縣新豐鄉明新村2鄰康樂路一段39I-,10004,1000406,1000406-000,2鄰,康樂路,一段,,,,,39I-,120.990650933588,24.8654272546907
新竹縣新豐鄉明新村5鄰康樂路一段115I-,10004,1000406,1000406-000,5鄰,康樂路,一段,,,,,115I-,120.989920392027,24.8667671335086
新竹縣新豐鄉明新村5鄰康樂路一段117I-,10004,1000406,1000406-000,5鄰,康樂路,一段,,,,,117I-,120.989830529178,24.8668291535136
新竹縣新豐鄉明新村5鄰康樂路一段183G-1I-,10004,1000406,1000406-000,5鄰,康樂路,一段,183G-,,,,1I-,120.988611278461,24.8682856403589
新竹縣新豐鄉明新村5鄰康樂路一段183G-2I-,10004,1000406,1000406-000,5鄰,康樂路,一段,183G-,,,,2I-,120.988545769672,24.8682307418125
新竹縣新豐鄉明新村5鄰康樂路一段191I-,10004,1000406,1000406-000,5鄰,康樂路,一段,,,,,191I-,120.988634811676,24.8685054871494
新竹縣新豐鄉明新村5鄰康樂路一段193I-,10004,1000406,1000406-000,5鄰,康樂路,一段,,,,,193I-,120.988608581044,24.8685628163915
新竹縣新豐鄉明新村5鄰康樂路一段195I-,10004,1000406,1000406-000,5鄰,康樂路,一段,,,,,195I-,120.988617085708,24.868630711674
新竹縣新豐鄉松林村3鄰康樂路一段2I-,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,2I-,120.991521037868,24.8648840590111
新竹縣新豐鄉松林村3鄰康樂路一段2I-二樓,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,2I-二樓,120.991521037868,24.8648840590111
新竹縣新豐鄉松林村3鄰康樂路一段6I-,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,6I-,120.991471556783,24.8648939875948
新竹縣新豐鄉松林村3鄰康樂路一段6I-二樓,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,6I-二樓,120.991471556783,24.8648939875948
新竹縣新豐鄉松林村3鄰康樂路一段8I-,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,8I-,120.991462250498,24.8649517697591
新竹縣新豐鄉松林村3鄰康樂路一段10I-,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,10I-,120.991407721503,24.8649743379975
新竹縣新豐鄉松林村3鄰康樂路一段12I-,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,12I-,120.991401186862,24.8650209249196
新竹縣新豐鄉松林村3鄰康樂路一段12I-二樓,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,12I-二樓,120.991401186862,24.8650209249196
新竹縣新豐鄉松林村3鄰康樂路一段12I-三樓,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,12I-三樓,120.991401186862,24.8650209249196
新竹縣新豐鄉松林村3鄰康樂路一段12I-四樓,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,12I-四樓,120.991401186862,24.8650209249196
新竹縣新豐鄉松林村3鄰康樂路一段12之1I-,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,12之1I-,120.991369715467,24.8650471961736
新竹縣新豐鄉松林村3鄰康樂路一段12之1I-二樓,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,12之1I-二樓,120.991369715467,24.8650471961736
新竹縣新豐鄉松林村3鄰康樂路一段12之1I-三樓,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,12之1I-三樓,120.991369715467,24.8650471961736
新竹縣新豐鄉松林村3鄰康樂路一段12之1I-四樓,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,12之1I-四樓,120.991369715467,24.8650471961736
新竹縣新豐鄉松林村3鄰康樂路一段18I-,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,18I-,120.991542593076,24.8651522983389
新竹縣新豐鄉松林村3鄰康樂路一段18I-二樓,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,18I-二樓,120.991542593076,24.8651522983389
新竹縣新豐鄉松林村3鄰康樂路一段18I-三樓,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,18I-三樓,120.991542593076,24.8651522983389
新竹縣新豐鄉松林村3鄰康樂路一段18I-四樓,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,18I-四樓,120.991542593076,24.8651522983389
新竹縣新豐鄉松林村3鄰康樂路一段20G-1I-,10004,1000406,1000406-011,3鄰,康樂路,一段,20G-,,,,1I-,120.991691327021,24.8652192082124
新竹縣新豐鄉松林村3鄰康樂路一段22I-,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,22I-,120.991309049906,24.8650830359837
新竹縣新豐鄉松林村3鄰康樂路一段40I-,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,40I-,120.991011726903,24.8656951537835
新竹縣新豐鄉松林村21鄰康樂路一段42I-,10004,1000406,1000406-011,21鄰,康樂路,一段,,,,,42I-,120.991639662697,24.8653179776208
新竹縣新豐鄉松林村21鄰康樂路一段46I-,10004,1000406,1000406-011,21鄰,康樂路,一段,,,,,46I-,120.991177417647,24.865282739702
新竹縣新豐鄉松林村21鄰康樂路一段48I-,10004,1000406,1000406-011,21鄰,康樂路,一段,,,,,48I-,120.991142975013,24.8653411523546
新竹縣新豐鄉松林村21鄰康樂路一段50I-,10004,1000406,1000406-011,21鄰,康樂路,一段,,,,,50I-,120.991108532354,24.8653994747133
新竹縣新豐鄉松林村21鄰康樂路一段52I-,10004,1000406,1000406-011,21鄰,康樂路,一段,,,,,52I-,120.991074089656,24.8654578873491
新竹縣新豐鄉松林村21鄰康樂路一段56I-,10004,1000406,1000406-011,21鄰,康樂路,一段,,,,,56I-,120.991039547964,24.8655162999706
新竹縣新豐鄉松林村21鄰康樂路一段58I-,10004,1000406,1000406-011,21鄰,康樂路,一段,,,,,58I-,120.991005105201,24.8655747125895
新竹縣新豐鄉松林村21鄰康樂路一段60I-,10004,1000406,1000406-011,21鄰,康樂路,一段,,,,,60I-,120.990970662405,24.8656331252
新竹縣新豐鄉松林村3鄰康樂路一段61I-,10004,1000406,1000406-011,3鄰,康樂路,一段,,,,,61I-,120.990529685951,24.8656913320066
新竹縣新豐鄉松林村21鄰康樂路一段62I-,10004,1000406,1000406-011,21鄰,康樂路,一段,,,,,62I-,120.990936219577,24.8656915378022
新竹縣新豐鄉松林村21鄰康樂路一段66I-,10004,1000406,1000406-011,21鄰,康樂路,一段,,,,,66I-,120.990901677756,24.8657499503899
新竹縣新豐鄉松林村21鄰康樂路一段68I-,10004,1000406,1000406-011,21鄰,康樂路,一段,,,,,68I-,120.990867234863,24.8658083629751
新竹縣新豐鄉松林村5鄰康樂路一段90I-,10004,1000406,1000406-011,5鄰,康樂路,一段,,,,,90I-,120.990420865509,24.8664934209883
新竹縣新豐鄉松林村5鄰康樂路一段92I-,10004,1000406,1000406-011,5鄰,康樂路,一段,,,,,92I-,120.990405127951,24.8665269158775
新竹縣新豐鄉松林村5鄰康樂路一段94I-,10004,1000406,1000406-011,5鄰,康樂路,一段,,,,,94I-,120.990386817558,24.8665579728923
新竹縣新豐鄉松林村5鄰康樂路一段96I-,10004,1000406,1000406-011,5鄰,康樂路,一段,,,,,96I-,120.990358017166,24.8665890292279
新竹縣新豐鄉松林村5鄰康樂路一段98I-,10004,1000406,1000406-011,5鄰,康樂路,一段,,,,,98I-,120.990342279768,24.8666200864031
新竹縣新豐鄉松林村5鄰康樂路一段100I-,10004,1000406,1000406-011,5鄰,康樂路,一段,,,,,100I-,120.990326541991,24.8666559287049
新竹縣新豐鄉松林村5鄰康樂路一段102I-,10004,1000406,1000406-011,5鄰,康樂路,一段,,,,,102I-,120.990316048838,24.8666964661879
新竹縣新豐鄉松林村5鄰康樂路一段104I-,10004,1000406,1000406-011,5鄰,康樂路,一段,,,,,104I-,120.990295165561,24.8667251756025
新竹縣新豐鄉松林村5鄰康樂路一段106I-,10004,1000406,1000406-011,5鄰,康樂路,一段,,,,,106I-,120.990284672385,24.8667658033684
新竹縣新豐鄉松林村5鄰康樂路一段108I-,10004,1000406,1000406-011,5鄰,康樂路,一段,,,,,108I-,120.990253199193,24.8668063394801
新竹縣新豐鄉松林村6鄰康樂路一段110I-,10004,1000406,1000406-011,6鄰,康樂路,一段,,,,,110I-,120.990082675142,24.8669560215111
新竹縣新豐鄉松林村6鄰康樂路一段114I-,10004,1000406,1000406-011,6鄰,康樂路,一段,,,,,114I-,120.989991425599,24.8670324871891
新竹縣新豐鄉松林村6鄰康樂路一段116I-,10004,1000406,1000406-011,6鄰,康樂路,一段,,,,,116I-,120.989956786237,24.8670631819122
新竹縣新豐鄉松林村6鄰康樂路一段118I-,10004,1000406,1000406-011,6鄰,康樂路,一段,,,,,118I-,120.989920661908,24.8671001965073
新竹縣新豐鄉松林村6鄰康樂路一段120I-,10004,1000406,1000406-011,6鄰,康樂路,一段,,,,,120I-,120.989914125243,24.8671634861563
新竹縣新豐鄉松林村6鄰康樂路一段122I-,10004,1000406,1000406-011,6鄰,康樂路,一段,,,,,122I-,120.989901059066,24.8672017662977
新竹縣新豐鄉松林村6鄰康樂路一段124I-,10004,1000406,1000406-011,6鄰,康樂路,一段,,,,,124I-,120.989860977682,24.8672202720961
新竹縣新豐鄉松林村6鄰康樂路一段126I-,10004,1000406,1000406-011,6鄰,康樂路,一段,,,,,126I-,120.989829703234,24.8672477167416
新竹縣新豐鄉松林村6鄰康樂路一段128I-,10004,1000406,1000406-011,6鄰,康樂路,一段,,,,,128I-,120.989787048148,24.8672740771775
新竹縣新豐鄉松林村6鄰康樂路一段130I-,10004,1000406,1000406-011,6鄰,康樂路,一段,,,,,130I-,120.989746272361,24.8673122651219
新竹縣新豐鄉松林村6鄰康樂路一段134I-,10004,1000406,1000406-011,6鄰,康樂路,一段,,,,,134I-,120.989731816597,24.8673994798567
新竹縣新豐鄉松林村6鄰康樂路一段136I-,10004,1000406,1000406-011,6鄰,康樂路,一段,,,,,136I-,120.989705489835,24.8674315293727
新竹縣新豐鄉松林村6鄰康樂路一段138I-,10004,1000406,1000406-011,6鄰,康樂路,一段,,,,,138I-,120.989671839545,24.8674667383677
新竹縣新豐鄉松林村6鄰康樂路一段140G-1I-,10004,1000406,1000406-011,6鄰,康樂路,一段,140G-,,,,1I-,120.989733772789,24.8676787328279
