FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣湖口鄉和興村9鄰德興北路2I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,2I-,121.037983799997,24.9288426455477
新竹縣湖口鄉和興村9鄰德興北路6I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,6I-,121.03802312086,24.9288856110297
新竹縣湖口鄉和興村9鄰德興北路8I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,8I-,121.038795960467,24.9290526191236
新竹縣湖口鄉和興村9鄰德興北路10G-8H-10I-,10004,1000405,1000405-007,9鄰,德興北路,,10G-,8H-,,,10I-,121.038621227875,24.9288103404259
新竹縣湖口鄉和興村9鄰德興北路10G-20I-,10004,1000405,1000405-007,9鄰,德興北路,,10G-,,,,20I-,121.038326975581,24.9288449051145
新竹縣湖口鄉和興村9鄰德興北路10G-28I-,10004,1000405,1000405-007,9鄰,德興北路,,10G-,,,,28I-,121.038680160149,24.9291925904583
新竹縣湖口鄉和興村9鄰德興北路12I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,12I-,121.038051952369,24.9289477195302
新竹縣湖口鄉和興村9鄰德興北路16I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,16I-,121.03814634083,24.9290456542796
新竹縣湖口鄉和興村9鄰德興北路18I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,18I-,121.038180422995,24.9291172413009
新竹縣湖口鄉和興村9鄰德興北路20I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,20I-,121.038204008472,24.929184136201
新竹縣湖口鄉和興村9鄰德興北路22I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,22I-,121.038251161812,24.9292605952266
新竹縣湖口鄉和興村9鄰德興北路26I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,26I-,121.038287911541,24.9293131314711
新竹縣湖口鄉和興村9鄰德興北路28I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,28I-,121.038319315367,24.9293680164817
新竹縣湖口鄉和興村9鄰德興北路30I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,30I-,121.038335071627,24.9294110782184
新竹縣湖口鄉和興村9鄰德興北路32I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,32I-,121.038342908368,24.929458836793
新竹縣湖口鄉和興村9鄰德興北路36I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,36I-,121.038361235252,24.9294898900042
新竹縣湖口鄉和興村9鄰德興北路38G-1I-,10004,1000405,1000405-007,9鄰,德興北路,,38G-,,,,1I-,121.038062886096,24.9197336181966
新竹縣湖口鄉和興村9鄰德興北路38G-2I-,10004,1000405,1000405-007,9鄰,德興北路,,38G-,,,,2I-,121.038465486748,24.9294625971704
新竹縣湖口鄉和興村9鄰德興北路38G-6I-,10004,1000405,1000405-007,9鄰,德興北路,,38G-,,,,6I-,121.038517463988,24.9294490410492
新竹縣湖口鄉和興村9鄰德興北路38G-8I-,10004,1000405,1000405-007,9鄰,德興北路,,38G-,,,,8I-,121.038568258829,24.9294539935729
新竹縣湖口鄉和興村9鄰德興北路38G-9I-,10004,1000405,1000405-007,9鄰,德興北路,,38G-,,,,9I-,121.038855569716,24.9296972361413
新竹縣湖口鄉和興村9鄰德興北路38G-10I-,10004,1000405,1000405-007,9鄰,德興北路,,38G-,,,,10I-,121.038621820391,24.9294408884288
新竹縣湖口鄉和興村9鄰德興北路38G-12I-,10004,1000405,1000405-007,9鄰,德興北路,,38G-,,,,12I-,121.038672314675,24.9294345554113
新竹縣湖口鄉和興村9鄰德興北路38G-16I-,10004,1000405,1000405-007,9鄰,德興北路,,38G-,,,,16I-,121.038721822357,24.9294395082167
新竹縣湖口鄉和興村9鄰德興北路40I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,40I-,121.038395314727,24.9295519970824
新竹縣湖口鄉和興村9鄰德興北路42I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,42I-,121.03840324682,24.9295878380523
新竹縣湖口鄉和興村9鄰德興北路46I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,46I-,121.038411084327,24.9296379440234
新竹縣湖口鄉和興村9鄰德興北路48I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,48I-,121.03842416435,24.9296714362638
新竹縣湖口鄉和興村9鄰德興北路50I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,50I-,121.038432103122,24.9297287649804
新竹縣湖口鄉和興村9鄰德興北路52I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,52I-,121.038447860168,24.9297740838193
新竹縣湖口鄉和興村9鄰德興北路56I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,56I-,121.038471436276,24.9298099207489
新竹縣湖口鄉和興村9鄰德興北路58I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,58I-,121.038502834391,24.9298457556543
新竹縣湖口鄉和興村9鄰德興北路60I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,60I-,121.038542157241,24.9298935060799
新竹縣湖口鄉和興村9鄰德興北路66I-,10004,1000405,1000405-007,9鄰,德興北路,,,,,,66I-,121.038735228732,24.9298834344387
新竹縣湖口鄉和興村9鄰德興北路158G-19I-,10004,1000405,1000405-007,9鄰,德興北路,,158G-,,,,19I-,121.040746213546,24.9321084149257
新竹縣湖口鄉和興村9鄰德興北路158G-20I-,10004,1000405,1000405-007,9鄰,德興北路,,158G-,,,,20I-,121.040960979236,24.9318192646566
新竹縣湖口鄉和興村9鄰德興北路158G-21I-,10004,1000405,1000405-007,9鄰,德興北路,,158G-,,,,21I-,121.041090102749,24.9321451566571
新竹縣湖口鄉和興村3鄰德興北路183I-,10004,1000405,1000405-007,3鄰,德興北路,,,,,,183I-,121.045457970795,24.9306466984243
新竹縣湖口鄉和興村3鄰德興北路191I-,10004,1000405,1000405-007,3鄰,德興北路,,,,,,191I-,121.040798802639,24.9330485343898
新竹縣湖口鄉和興村3鄰德興北路195I-,10004,1000405,1000405-007,3鄰,德興北路,,,,,,195I-,121.040840704135,24.933103415966
新竹縣湖口鄉和興村3鄰德興北路209G-17I-,10004,1000405,1000405-007,3鄰,德興北路,,209G-,,,,17I-,121.040557965892,24.9332536364939
新竹縣湖口鄉和興村3鄰德興北路209G-17之1I-,10004,1000405,1000405-007,3鄰,德興北路,,209G-,,,,17之1I-,121.040523896831,24.93322981062
新竹縣湖口鄉和興村3鄰德興北路290G-18I-,10004,1000405,1000405-007,3鄰,德興北路,,290G-,,,,18I-,121.043293632261,24.9354413658766
新竹縣湖口鄉和興村3鄰德興北路290G-36I-,10004,1000405,1000405-007,3鄰,德興北路,,290G-,,,,36I-,121.044299576988,24.934695409799
新竹縣湖口鄉和興村3鄰德興北路290G-52I-,10004,1000405,1000405-007,3鄰,德興北路,,290G-,,,,52I-,121.044814773505,24.9344598838269
新竹縣湖口鄉和興村3鄰德興北路290G-55I-臨,10004,1000405,1000405-007,3鄰,德興北路,,290G-,,,,55I-臨,121.045161300159,24.934648383769
新竹縣湖口鄉和興村3鄰德興北路290G-61I-,10004,1000405,1000405-007,3鄰,德興北路,,290G-,,,,61I-,121.045556223609,24.9345039887925
新竹縣湖口鄉和興村3鄰德興北路290G-72I-,10004,1000405,1000405-007,3鄰,德興北路,,290G-,,,,72I-,121.046533132031,24.9337488174116
新竹縣湖口鄉和興村3鄰德興北路290G-81I-,10004,1000405,1000405-007,3鄰,德興北路,,290G-,,,,81I-,121.047407186958,24.933603093469
新竹縣湖口鄉和興村3鄰德興北路290G-186I-,10004,1000405,1000405-007,3鄰,德興北路,,290G-,,,,186I-,121.050008799018,24.9318295047905
