FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣竹東鎮五豐里3鄰自強路3I-,10004,1000402,1000402-014,3鄰,自強路,,,,,,3I-,121.080328079432,24.747959970031
新竹縣竹東鎮五豐里3鄰自強路5I-,10004,1000402,1000402-014,3鄰,自強路,,,,,,5I-,121.080376350148,24.7479959685912
新竹縣竹東鎮五豐里3鄰自強路7I-,10004,1000402,1000402-014,3鄰,自強路,,,,,,7I-,121.080435694165,24.7480320514799
新竹縣竹東鎮五豐里6鄰自強路8I-一樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,8I-一樓,121.08067548251,24.7479306207887
新竹縣竹東鎮五豐里6鄰自強路8I-二樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,8I-二樓,121.08067548251,24.7479306207887
新竹縣竹東鎮五豐里6鄰自強路8I-三樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,8I-三樓,121.08067548251,24.7479306207887
新竹縣竹東鎮五豐里6鄰自強路8I-四樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,8I-四樓,121.08067548251,24.7479306207887
新竹縣竹東鎮五豐里6鄰自強路8I-五樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,8I-五樓,121.08067548251,24.7479306207887
新竹縣竹東鎮五豐里6鄰自強路8I-六樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,8I-六樓,121.08067548251,24.7479306207887
新竹縣竹東鎮五豐里6鄰自強路8I-七樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,8I-七樓,121.08067548251,24.7479306207887
新竹縣竹東鎮五豐里6鄰自強路8I-八樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,8I-八樓,121.08067548251,24.7479306207887
新竹縣竹東鎮五豐里6鄰自強路8I-九樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,8I-九樓,121.08067548251,24.7479306207887
新竹縣竹東鎮五豐里6鄰自強路8I-十樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,8I-十樓,121.08067548251,24.7479306207887
新竹縣竹東鎮五豐里4鄰自強路8之1I-,10004,1000402,1000402-014,4鄰,自強路,,,,,,8之1I-,121.080641414921,24.7478422483293
新竹縣竹東鎮五豐里8鄰自強路9I-三樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,9I-三樓,121.080916400663,24.7483532137719
新竹縣竹東鎮五豐里8鄰自強路9I-四樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,9I-四樓,121.080916400663,24.7483532137719
新竹縣竹東鎮五豐里8鄰自強路9I-五樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,9I-五樓,121.080916400663,24.7483532137719
新竹縣竹東鎮五豐里8鄰自強路9I-六樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,9I-六樓,121.080916400663,24.7483532137719
新竹縣竹東鎮五豐里8鄰自強路9I-七樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,9I-七樓,121.080916400663,24.7483532137719
新竹縣竹東鎮五豐里8鄰自強路9I-八樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,9I-八樓,121.080916400663,24.7483532137719
新竹縣竹東鎮五豐里8鄰自強路9I-九樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,9I-九樓,121.080916400663,24.7483532137719
新竹縣竹東鎮五豐里6鄰自強路10I-一樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,10I-一樓,121.080670463417,24.7478133409151
新竹縣竹東鎮五豐里6鄰自強路10I-二樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,10I-二樓,121.080670463417,24.7478133409151
新竹縣竹東鎮五豐里6鄰自強路10I-三樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,10I-三樓,121.080670463417,24.7478133409151
新竹縣竹東鎮五豐里6鄰自強路10I-四樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,10I-四樓,121.080670463417,24.7478133409151
新竹縣竹東鎮五豐里6鄰自強路10I-五樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,10I-五樓,121.080670463417,24.7478133409151
新竹縣竹東鎮五豐里6鄰自強路10I-六樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,10I-六樓,121.080670463417,24.7478133409151
新竹縣竹東鎮五豐里6鄰自強路10I-七樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,10I-七樓,121.080670463417,24.7478133409151
新竹縣竹東鎮五豐里6鄰自強路10I-八樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,10I-八樓,121.080670463417,24.7478133409151
新竹縣竹東鎮五豐里6鄰自強路10I-九樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,10I-九樓,121.080670463417,24.7478133409151
新竹縣竹東鎮五豐里6鄰自強路10I-十樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,10I-十樓,121.080670463417,24.7478133409151
新竹縣竹東鎮五豐里6鄰自強路10I-十一樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,10I-十一樓,121.080670463417,24.7478133409151
新竹縣竹東鎮五豐里8鄰自強路11I-三樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,11I-三樓,121.08082744091,24.748386758182
新竹縣竹東鎮五豐里8鄰自強路11I-四樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,11I-四樓,121.08082744091,24.748386758182
新竹縣竹東鎮五豐里8鄰自強路11I-五樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,11I-五樓,121.08082744091,24.748386758182
新竹縣竹東鎮五豐里8鄰自強路11I-六樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,11I-六樓,121.08082744091,24.748386758182
新竹縣竹東鎮五豐里8鄰自強路11I-七樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,11I-七樓,121.08082744091,24.748386758182
新竹縣竹東鎮五豐里8鄰自強路11I-八樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,11I-八樓,121.08082744091,24.748386758182
新竹縣竹東鎮五豐里8鄰自強路11I-九樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,11I-九樓,121.08082744091,24.748386758182
新竹縣竹東鎮五豐里8鄰自強路11I-十樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,11I-十樓,121.08082744091,24.748386758182
新竹縣竹東鎮五豐里6鄰自強路12I-一樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,12I-一樓,121.080699810427,24.7477874127994
新竹縣竹東鎮五豐里6鄰自強路12I-地下一層,10004,1000402,1000402-014,6鄰,自強路,,,,,,12I-地下一層,121.080699810427,24.7477874127994
新竹縣竹東鎮五豐里6鄰自強路12I-二樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,12I-二樓,121.080699810427,24.7477874127994
新竹縣竹東鎮五豐里6鄰自強路12I-三樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,12I-三樓,121.080699810427,24.7477874127994
新竹縣竹東鎮五豐里6鄰自強路12I-四樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,12I-四樓,121.080699810427,24.7477874127994
新竹縣竹東鎮五豐里6鄰自強路12I-五樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,12I-五樓,121.080699810427,24.7477874127994
新竹縣竹東鎮五豐里6鄰自強路12I-六樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,12I-六樓,121.080699810427,24.7477874127994
新竹縣竹東鎮五豐里6鄰自強路12I-七樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,12I-七樓,121.080699810427,24.7477874127994
新竹縣竹東鎮五豐里6鄰自強路12I-八樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,12I-八樓,121.080699810427,24.7477874127994
新竹縣竹東鎮五豐里6鄰自強路12I-九樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,12I-九樓,121.080699810427,24.7477874127994
新竹縣竹東鎮五豐里6鄰自強路12I-十樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,12I-十樓,121.080699810427,24.7477874127994
新竹縣竹東鎮五豐里6鄰自強路12I-十一樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,12I-十一樓,121.080699810427,24.7477874127994
新竹縣竹東鎮五豐里6鄰自強路12I-十二樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,12I-十二樓,121.080699810427,24.7477874127994
新竹縣竹東鎮五豐里8鄰自強路13I-三樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,13I-三樓,121.080856361435,24.7484655629672
新竹縣竹東鎮五豐里8鄰自強路13I-四樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,13I-四樓,121.080856361435,24.7484655629672
新竹縣竹東鎮五豐里8鄰自強路13I-五樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,13I-五樓,121.080856361435,24.7484655629672
新竹縣竹東鎮五豐里8鄰自強路13I-六樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,13I-六樓,121.080856361435,24.7484655629672
新竹縣竹東鎮五豐里8鄰自強路13I-七樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,13I-七樓,121.080856361435,24.7484655629672
新竹縣竹東鎮五豐里8鄰自強路13I-八樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,13I-八樓,121.080856361435,24.7484655629672
新竹縣竹東鎮五豐里8鄰自強路13I-九樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,13I-九樓,121.080856361435,24.7484655629672
新竹縣竹東鎮五豐里8鄰自強路13I-十樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,13I-十樓,121.080856361435,24.7484655629672
新竹縣竹東鎮五豐里6鄰自強路14I-一樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,14I-一樓,121.080756295554,24.7478363178295
新竹縣竹東鎮五豐里6鄰自強路14I-二樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,14I-二樓,121.080756295554,24.7478363178295
新竹縣竹東鎮五豐里6鄰自強路14I-三樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,14I-三樓,121.080756295554,24.7478363178295
新竹縣竹東鎮五豐里6鄰自強路14I-四樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,14I-四樓,121.080756295554,24.7478363178295
新竹縣竹東鎮五豐里6鄰自強路14I-五樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,14I-五樓,121.080756295554,24.7478363178295
新竹縣竹東鎮五豐里6鄰自強路14I-六樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,14I-六樓,121.080756295554,24.7478363178295
新竹縣竹東鎮五豐里6鄰自強路14I-七樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,14I-七樓,121.080756295554,24.7478363178295
新竹縣竹東鎮五豐里6鄰自強路14I-八樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,14I-八樓,121.080756295554,24.7478363178295
新竹縣竹東鎮五豐里6鄰自強路14I-九樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,14I-九樓,121.080756295554,24.7478363178295
新竹縣竹東鎮五豐里6鄰自強路14I-十樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,14I-十樓,121.080756295554,24.7478363178295
新竹縣竹東鎮五豐里6鄰自強路14I-十一樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,14I-十一樓,121.080756295554,24.7478363178295
新竹縣竹東鎮五豐里6鄰自強路14I-十二樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,14I-十二樓,121.080756295554,24.7478363178295
新竹縣竹東鎮五豐里8鄰自強路15I-三樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,15I-三樓,121.080988041767,24.748599116344
新竹縣竹東鎮五豐里8鄰自強路15I-四樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,15I-四樓,121.080988041767,24.748599116344
新竹縣竹東鎮五豐里8鄰自強路15I-五樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,15I-五樓,121.080988041767,24.748599116344
新竹縣竹東鎮五豐里8鄰自強路15I-六樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,15I-六樓,121.080988041767,24.748599116344
新竹縣竹東鎮五豐里8鄰自強路15I-七樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,15I-七樓,121.080988041767,24.748599116344
新竹縣竹東鎮五豐里8鄰自強路15I-八樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,15I-八樓,121.080988041767,24.748599116344
新竹縣竹東鎮五豐里8鄰自強路15I-九樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,15I-九樓,121.080988041767,24.748599116344
新竹縣竹東鎮五豐里8鄰自強路15I-十樓,10004,1000402,1000402-014,8鄰,自強路,,,,,,15I-十樓,121.080988041767,24.748599116344
新竹縣竹東鎮五豐里6鄰自強路16I-一樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,16I-一樓,121.080816343704,24.747890999273
新竹縣竹東鎮五豐里6鄰自強路16I-二樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,16I-二樓,121.080816343704,24.747890999273
新竹縣竹東鎮五豐里6鄰自強路16I-三樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,16I-三樓,121.080816343704,24.747890999273
新竹縣竹東鎮五豐里6鄰自強路16I-四樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,16I-四樓,121.080816343704,24.747890999273
新竹縣竹東鎮五豐里6鄰自強路16I-五樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,16I-五樓,121.080816343704,24.747890999273
新竹縣竹東鎮五豐里6鄰自強路16I-六樓,10004,1000402,1000402-014,6鄰,自強路,,,,,,16I-六樓,121.080816343704,24.747890999273
