FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣竹東鎮二重里6鄰雲南路56G-31I-,10004,1000402,1000402-019,6鄰,雲南路,,56G-,,,,31I-,121.051653462229,24.7627037837372
新竹縣竹東鎮二重里6鄰雲南路56G-35I-,10004,1000402,1000402-019,6鄰,雲南路,,56G-,,,,35I-,121.051466455772,24.7628830671435
新竹縣竹東鎮二重里6鄰雲南路56G-49I-,10004,1000402,1000402-019,6鄰,雲南路,,56G-,,,,49I-,121.051363645884,24.762944136218
新竹縣竹東鎮二重里6鄰雲南路56G-79I-,10004,1000402,1000402-019,6鄰,雲南路,,56G-,,,,79I-,121.050186221577,24.7630363568326
新竹縣竹東鎮二重里6鄰雲南路56G-108I-,10004,1000402,1000402-019,6鄰,雲南路,,56G-,,,,108I-,121.050276718307,24.7640725465296
新竹縣竹東鎮二重里6鄰雲南路56G-112之1I-(臨),10004,1000402,1000402-019,6鄰,雲南路,,56G-,,,,112之1I-(臨),121.050462652235,24.7644116006886
新竹縣竹東鎮二重里7鄰雲南路56G-146I-,10004,1000402,1000402-019,7鄰,雲南路,,56G-,,,,146I-,121.0499629846,24.7641098495995
新竹縣竹東鎮二重里7鄰雲南路56G-150I-,10004,1000402,1000402-019,7鄰,雲南路,,56G-,,,,150I-,121.049786698617,24.764900277651
新竹縣竹東鎮二重里7鄰雲南路56G-160I-,10004,1000402,1000402-019,7鄰,雲南路,,56G-,,,,160I-,121.04922106089,24.7653105465238
新竹縣竹東鎮二重里7鄰雲南路56G-160之10I-(臨),10004,1000402,1000402-019,7鄰,雲南路,,56G-,,,,160之10I-(臨),121.049237205266,24.7648765333096
新竹縣竹東鎮二重里7鄰雲南路56G-164I-,10004,1000402,1000402-019,7鄰,雲南路,,56G-,,,,164I-,121.04955810888,24.7657085091954
新竹縣竹東鎮二重里7鄰雲南路56G-164之10I-(臨),10004,1000402,1000402-019,7鄰,雲南路,,56G-,,,,164之10I-(臨),121.048805808997,24.76544204946
新竹縣竹東鎮二重里7鄰雲南路56G-170I-,10004,1000402,1000402-019,7鄰,雲南路,,56G-,,,,170I-,121.049630067415,24.7658878849199
新竹縣竹東鎮二重里7鄰雲南路56G-178I-,10004,1000402,1000402-019,7鄰,雲南路,,56G-,,,,178I-,121.048713365663,24.7657242253034
新竹縣竹東鎮二重里6鄰雲南路91G-12I-,10004,1000402,1000402-019,6鄰,雲南路,,91G-,,,,12I-,121.050986198723,24.7616772722006
新竹縣竹東鎮二重里6鄰雲南路91G-16I-,10004,1000402,1000402-019,6鄰,雲南路,,91G-,,,,16I-,121.050954788864,24.761517294878
新竹縣竹東鎮二重里6鄰雲南路91G-18I-,10004,1000402,1000402-019,6鄰,雲南路,,91G-,,,,18I-,121.051164013268,24.7615100006352
新竹縣竹東鎮二重里6鄰雲南路127G-31I-,10004,1000402,1000402-019,6鄰,雲南路,,127G-,,,,31I-,121.050421240185,24.7620095378342
新竹縣竹東鎮二重里6鄰雲南路127G-51I-,10004,1000402,1000402-019,6鄰,雲南路,,127G-,,,,51I-,121.04809309067,24.7606199785349
新竹縣竹東鎮二重里6鄰雲南路127G-61I-,10004,1000402,1000402-019,6鄰,雲南路,,127G-,,,,61I-,121.0469485314,24.7597079041116
新竹縣竹東鎮二重里6鄰雲南路127G-73I-,10004,1000402,1000402-019,6鄰,雲南路,,127G-,,,,73I-,121.048336440301,24.7616700247645
新竹縣竹東鎮二重里6鄰雲南路142I-,10004,1000402,1000402-019,6鄰,雲南路,,,,,,142I-,121.049875716487,24.7622381457491
新竹縣竹東鎮二重里6鄰雲南路148I-,10004,1000402,1000402-019,6鄰,雲南路,,,,,,148I-,121.049403771929,24.762254192584
新竹縣竹東鎮二重里8鄰雲南路180I-,10004,1000402,1000402-019,8鄰,雲南路,,,,,,180I-,121.049366099633,24.7627563795019
新竹縣竹東鎮二重里7鄰雲南路207I-,10004,1000402,1000402-019,7鄰,雲南路,,,,,,207I-,121.047963400631,24.7627787748271
新竹縣竹東鎮二重里7鄰雲南路293G-6I-,10004,1000402,1000402-019,7鄰,雲南路,,293G-,,,,6I-,121.045434109048,24.7623779681165
新竹縣竹東鎮二重里7鄰雲南路293G-12I-,10004,1000402,1000402-019,7鄰,雲南路,,293G-,,,,12I-,121.045266464216,24.7619831049069
新竹縣竹東鎮二重里7鄰雲南路293G-18I-,10004,1000402,1000402-019,7鄰,雲南路,,293G-,,,,18I-,121.045821040459,24.7616136637543
新竹縣竹東鎮二重里7鄰雲南路293G-25I-,10004,1000402,1000402-019,7鄰,雲南路,,293G-,,,,25I-,121.046849994273,24.7619330506738
新竹縣竹東鎮二重里7鄰雲南路293G-26H-1之1I-(臨),10004,1000402,1000402-019,7鄰,雲南路,,293G-,26H-,,,1之1I-(臨),121.046747916583,24.7610482729816
新竹縣竹東鎮二重里7鄰雲南路293G-26H-5I-,10004,1000402,1000402-019,7鄰,雲南路,,293G-,26H-,,,5I-,121.046906700852,24.7607466657769
新竹縣竹東鎮二重里7鄰雲南路293G-26H-5之1I-,10004,1000402,1000402-019,7鄰,雲南路,,293G-,26H-,,,5之1I-,121.046973275878,24.7605636337736
新竹縣竹東鎮二重里7鄰雲南路293G-26H-6I-,10004,1000402,1000402-019,7鄰,雲南路,,293G-,26H-,,,6I-,121.047069793147,24.7608588409929
新竹縣竹東鎮二重里7鄰雲南路293G-26H-7I-,10004,1000402,1000402-019,7鄰,雲南路,,293G-,26H-,,,7I-,121.046762916239,24.7604402776572
新竹縣竹東鎮二重里7鄰雲南路293G-26H-9I-,10004,1000402,1000402-019,7鄰,雲南路,,293G-,26H-,,,9I-,121.046671768313,24.760751704917
新竹縣竹東鎮二重里7鄰雲南路293G-26H-11I-,10004,1000402,1000402-019,7鄰,雲南路,,293G-,26H-,,,11I-,121.046460042562,24.7606772841967
新竹縣竹東鎮二重里7鄰雲南路293G-27I-,10004,1000402,1000402-019,7鄰,雲南路,,293G-,,,,27I-,121.047037483111,24.7614454438023
新竹縣竹東鎮二重里7鄰雲南路313G-6I-,10004,1000402,1000402-019,7鄰,雲南路,,313G-,,,,6I-,121.045075662091,24.7626268162032
新竹縣竹東鎮二重里7鄰雲南路313G-8I-,10004,1000402,1000402-019,7鄰,雲南路,,313G-,,,,8I-,121.045294858033,24.7625712237814
新竹縣竹東鎮二重里7鄰雲南路357I-,10004,1000402,1000402-019,7鄰,雲南路,,,,,,357I-,121.044360633378,24.7625417087274
新竹縣竹東鎮二重里7鄰雲南路357之60I-(臨),10004,1000402,1000402-019,7鄰,雲南路,,,,,,357之60I-(臨),121.043784243311,24.7596603783
新竹縣竹東鎮二重里7鄰雲南路358G-41I-,10004,1000402,1000402-019,7鄰,雲南路,,358G-,,,,41I-,121.04458675366,24.7641553352737
新竹縣竹東鎮二重里7鄰雲南路358G-43I-,10004,1000402,1000402-019,7鄰,雲南路,,358G-,,,,43I-,121.044243289804,24.7640120618877
新竹縣竹東鎮二重里7鄰雲南路358G-45I-,10004,1000402,1000402-019,7鄰,雲南路,,358G-,,,,45I-,121.044343151554,24.7639901829882
新竹縣竹東鎮二重里7鄰雲南路358G-47I-,10004,1000402,1000402-019,7鄰,雲南路,,358G-,,,,47I-,121.044188007077,24.7642677700316
新竹縣竹東鎮二重里7鄰雲南路458G-47I-,10004,1000402,1000402-019,7鄰,雲南路,,458G-,,,,47I-,121.042771115416,24.7613012707093
新竹縣竹東鎮柯湖里1鄰雲南路358G-182I-,10004,1000402,1000402-018,1鄰,雲南路,,358G-,,,,182I-,121.043130159576,24.7656429634893
新竹縣竹東鎮柯湖里1鄰雲南路358G-183I-,10004,1000402,1000402-018,1鄰,雲南路,,358G-,,,,183I-,121.042630211713,24.7659313015693
新竹縣竹東鎮柯湖里1鄰雲南路358G-185I-,10004,1000402,1000402-018,1鄰,雲南路,,358G-,,,,185I-,121.042078095334,24.7660559629582
新竹縣竹東鎮柯湖里1鄰雲南路377G-99I-,10004,1000402,1000402-018,1鄰,雲南路,,377G-,,,,99I-,121.043803530831,24.7599607565611
新竹縣竹東鎮柯湖里1鄰雲南路377G-121I-,10004,1000402,1000402-018,1鄰,雲南路,,377G-,,,,121I-,121.043610024455,24.7593854157695
新竹縣竹東鎮柯湖里1鄰雲南路377G-123I-,10004,1000402,1000402-018,1鄰,雲南路,,377G-,,,,123I-,121.043587251769,24.7592966705503
新竹縣竹東鎮柯湖里1鄰雲南路377G-125I-,10004,1000402,1000402-018,1鄰,雲南路,,377G-,,,,125I-,121.043814825909,24.7594626414481
新竹縣竹東鎮柯湖里1鄰雲南路393I-,10004,1000402,1000402-018,1鄰,雲南路,,,,,,393I-,121.043003709144,24.7613923034015
新竹縣竹東鎮柯湖里4鄰雲南路577G-23I-,10004,1000402,1000402-018,4鄰,雲南路,,577G-,,,,23I-,121.04025396349,24.7606868448874
新竹縣竹東鎮柯湖里4鄰雲南路577G-27I-,10004,1000402,1000402-018,4鄰,雲南路,,577G-,,,,27I-,121.040181621292,24.7604931090324
新竹縣竹東鎮柯湖里4鄰雲南路577G-29I-,10004,1000402,1000402-018,4鄰,雲南路,,577G-,,,,29I-,121.040042856238,24.7603704465467
新竹縣竹東鎮柯湖里4鄰雲南路599I-,10004,1000402,1000402-018,4鄰,雲南路,,,,,,599I-,121.039698443634,24.7609262528881
