FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣竹北市麻園里7鄰麻園二街31I-,10004,1000401,1000401-013,7鄰,麻園二街,,,,,,31I-,120.980335356599,24.8451240060521
新竹縣竹北市麻園里7鄰麻園二街75I-,10004,1000401,1000401-013,7鄰,麻園二街,,,,,,75I-,120.979303570031,24.8456421066132
新竹縣竹北市麻園里7鄰麻園二街80I-,10004,1000401,1000401-013,7鄰,麻園二街,,,,,,80I-,120.979129722642,24.8462329119821
新竹縣竹北市麻園里7鄰麻園二街89I-,10004,1000401,1000401-013,7鄰,麻園二街,,,,,,89I-,120.978551176359,24.8457124233577
新竹縣竹北市麻園里7鄰麻園二街91I-,10004,1000401,1000401-013,7鄰,麻園二街,,,,,,91I-,120.978585500582,24.8457698499796
新竹縣竹北市麻園里7鄰麻園二街108I-,10004,1000401,1000401-013,7鄰,麻園二街,,,,,,108I-,120.978641246989,24.8461130338593
新竹縣竹北市麻園里7鄰麻園二街110I-,10004,1000401,1000401-013,7鄰,麻園二街,,,,,,110I-,120.97860965746,24.8462630841501
新竹縣竹北市麻園里7鄰麻園二街112I-,10004,1000401,1000401-013,7鄰,麻園二街,,,,,,112I-,120.978680383157,24.8463838062162
新竹縣竹北市麻園里7鄰麻園二街116I-,10004,1000401,1000401-013,7鄰,麻園二街,,,,,,116I-,120.978502374833,24.8464087898487
新竹縣竹北市麻園里7鄰麻園二街120I-,10004,1000401,1000401-013,7鄰,麻園二街,,,,,,120I-,120.978504930914,24.8465044027538
新竹縣竹北市麻園里3鄰麻園二街158G-21H-2I-,10004,1000401,1000401-013,3鄰,麻園二街,,158G-,21H-,,,2I-,120.977970988797,24.8472243532716
新竹縣竹北市麻園里3鄰麻園二街158G-21H-7I-,10004,1000401,1000401-013,3鄰,麻園二街,,158G-,21H-,,,7I-,120.977732520049,24.8472638630516
新竹縣竹北市麻園里3鄰麻園二街158G-21H-9I-,10004,1000401,1000401-013,3鄰,麻園二街,,158G-,21H-,,,9I-,120.977721030566,24.8473289573084
新竹縣竹北市麻園里3鄰麻園二街158G-21H-10I-,10004,1000401,1000401-013,3鄰,麻園二街,,158G-,21H-,,,10I-,120.977766731548,24.8473986646529
新竹縣竹北市麻園里3鄰麻園二街158G-21H-11I-,10004,1000401,1000401-013,3鄰,麻園二街,,158G-,21H-,,,11I-,120.977612278459,24.8473819387438
新竹縣竹北市麻園里3鄰麻園二街158G-21H-12I-,10004,1000401,1000401-013,3鄰,麻園二街,,158G-,21H-,,,12I-,120.977638486075,24.8474559769175
新竹縣竹北市麻園里3鄰麻園二街158G-21H-16I-,10004,1000401,1000401-013,3鄰,麻園二街,,158G-,21H-,,,16I-,120.97758346857,24.8474726715232
新竹縣竹北市麻園里3鄰麻園二街158G-21H-18I-,10004,1000401,1000401-013,3鄰,麻園二街,,158G-,21H-,,,18I-,120.977536366367,24.8474918050119
新竹縣竹北市麻園里3鄰麻園二街158G-21H-20I-,10004,1000401,1000401-013,3鄰,麻園二街,,158G-,21H-,,,20I-,120.977478775769,24.8475109369053
新竹縣竹北市麻園里7鄰麻園二街235I-,10004,1000401,1000401-013,7鄰,麻園二街,,,,,,235I-,120.975884100103,24.8467279112749
新竹縣竹北市麻園里3鄰麻園二街236I-,10004,1000401,1000401-013,3鄰,麻園二街,,,,,,236I-,120.976615983092,24.8463249923156
新竹縣竹北市麻園里7鄰麻園二街237I-,10004,1000401,1000401-013,7鄰,麻園二街,,,,,,237I-,120.975999256157,24.8468186669201
新竹縣竹北市麻園里7鄰麻園二街239I-,10004,1000401,1000401-013,7鄰,麻園二街,,,,,,239I-,120.976064738006,24.846926207663
新竹縣竹北市麻園里3鄰麻園二街266I-,10004,1000401,1000401-013,3鄰,麻園二街,,,,,,266I-,120.976364270059,24.8468159262429
新竹縣竹北市麻園里3鄰麻園二街268I-,10004,1000401,1000401-013,3鄰,麻園二街,,,,,,268I-,120.976391961387,24.84688797859
新竹縣竹北市麻園里3鄰麻園二街272I-,10004,1000401,1000401-013,3鄰,麻園二街,,,,,,272I-,120.976511356401,24.8470648670419
新竹縣竹北市麻園里3鄰麻園二街276I-,10004,1000401,1000401-013,3鄰,麻園二街,,,,,,276I-,120.976548849837,24.847103786056
新竹縣竹北市麻園里3鄰麻園二街278I-,10004,1000401,1000401-013,3鄰,麻園二街,,,,,,278I-,120.976575755082,24.8471475788274
新竹縣竹北市麻園里3鄰麻園二街287I-,10004,1000401,1000401-013,3鄰,麻園二街,,,,,,287I-,120.976109123127,24.847659514986
新竹縣竹北市麻園里3鄰麻園二街293I-,10004,1000401,1000401-013,3鄰,麻園二街,,,,,,293I-,120.975938941054,24.847623644271
新竹縣竹北市麻園里3鄰麻園二街295I-,10004,1000401,1000401-013,3鄰,麻園二街,,,,,,295I-,120.975816036582,24.8476864632547
新竹縣竹北市麻園里3鄰麻園二街296I-,10004,1000401,1000401-013,3鄰,麻園二街,,,,,,296I-,120.976586639145,24.847673765417
新竹縣竹北市麻園里3鄰麻園二街298I-,10004,1000401,1000401-013,3鄰,麻園二街,,,,,,298I-,120.976555171719,24.8476856781913
新竹縣竹北市麻園里3鄰麻園二街300I-,10004,1000401,1000401-013,3鄰,麻園二街,,,,,,300I-,120.976515885658,24.847707160011
