FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣銅鑼鄉福興村7鄰中華街1號,10005,1000510,1000510-001,7鄰,中華街,,,,,,1號,120.788208671576,24.4932253804814
苗栗縣銅鑼鄉福興村6鄰中華街2之1號,10005,1000510,1000510-001,6鄰,中華街,,,,,,2之1號,120.788389538326,24.4934556917211
苗栗縣銅鑼鄉福興村6鄰中華街4號,10005,1000510,1000510-001,6鄰,中華街,,,,,,4號,120.788194655228,24.4933465293641
苗栗縣銅鑼鄉福興村6鄰中華街6之1號,10005,1000510,1000510-001,6鄰,中華街,,,,,,6之1號,120.788234951829,24.4933873154772
苗栗縣銅鑼鄉福興村6鄰中華街6號,10005,1000510,1000510-001,6鄰,中華街,,,,,,6號,120.788311242952,24.4934277728215
苗栗縣銅鑼鄉福興村6鄰中華街8號,10005,1000510,1000510-001,6鄰,中華街,,,,,,8號,120.788173026703,24.4935353847068
苗栗縣銅鑼鄉福興村6鄰中華街10號,10005,1000510,1000510-001,6鄰,中華街,,,,,,10號,120.788051671617,24.4935316931508
苗栗縣銅鑼鄉福興村6鄰中華街12號,10005,1000510,1000510-001,6鄰,中華街,,,,,,12號,120.788033774828,24.4933777244009
苗栗縣銅鑼鄉福興村6鄰中華街14號,10005,1000510,1000510-001,6鄰,中華街,,,,,,14號,120.787940342544,24.4932565149875
苗栗縣銅鑼鄉福興村6鄰中華街16之2號,10005,1000510,1000510-001,6鄰,中華街,,,,,,16之2號,120.787809877563,24.4933899602288
苗栗縣銅鑼鄉福興村6鄰中華街16號,10005,1000510,1000510-001,6鄰,中華街,,,,,,16號,120.787787604682,24.4933274305272
苗栗縣銅鑼鄉福興村6鄰中華街16之1號,10005,1000510,1000510-001,6鄰,中華街,,,,,,16之1號,120.787822458711,24.4934775587392
苗栗縣銅鑼鄉福興村6鄰中華街16之3號,10005,1000510,1000510-001,6鄰,中華街,,,,,,16之3號,120.787913351791,24.4935243660931
苗栗縣銅鑼鄉福興村6鄰中華街18號,10005,1000510,1000510-001,6鄰,中華街,,,,,,18號,120.787830621931,24.4931991173257
