FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣苗栗市嘉新里20鄰嘉盛街49號,10005,1000501,1000501-026,20鄰,嘉盛街,,,,,,49號,120.831859415225,24.5736103929853
苗栗縣苗栗市嘉新里20鄰嘉盛街51號,10005,1000501,1000501-026,20鄰,嘉盛街,,,,,,51號,120.83188581614,24.5736545013973
苗栗縣苗栗市嘉新里20鄰嘉盛街55號,10005,1000501,1000501-026,20鄰,嘉盛街,,,,,,55號,120.831921435178,24.5737825163598
苗栗縣苗栗市嘉新里20鄰嘉盛街57號,10005,1000501,1000501-026,20鄰,嘉盛街,,,,,,57號,120.831983601299,24.5738451557788
苗栗縣苗栗市嘉新里20鄰嘉盛街59號,10005,1000501,1000501-026,20鄰,嘉盛街,,,,,,59號,120.832031759516,24.5739063529933
苗栗縣苗栗市嘉新里20鄰嘉盛街61號,10005,1000501,1000501-026,20鄰,嘉盛街,,,,,,61號,120.832055054319,24.5739476228459
苗栗縣苗栗市嘉新里20鄰嘉盛街63號,10005,1000501,1000501-026,20鄰,嘉盛街,,,,,,63號,120.83207073982,24.5739867714573
苗栗縣苗栗市嘉新里20鄰嘉盛街65巷1號,10005,1000501,1000501-026,20鄰,嘉盛街,,65巷,,,,1號,120.831862004666,24.5740670671433
苗栗縣苗栗市嘉新里20鄰嘉盛街69號,10005,1000501,1000501-026,20鄰,嘉盛街,,,,,,69號,120.831936650204,24.5741743231281
苗栗縣苗栗市嘉新里20鄰嘉盛街71號,10005,1000501,1000501-026,20鄰,嘉盛街,,,,,,71號,120.832191811175,24.5742330424089
苗栗縣苗栗市嘉新里20鄰嘉盛街73號,10005,1000501,1000501-026,20鄰,嘉盛街,,,,,,73號,120.83222089842,24.5742915277138
苗栗縣苗栗市嘉新里19鄰嘉盛街79號,10005,1000501,1000501-026,19鄰,嘉盛街,,,,,,79號,120.832288118269,24.5744963683137
苗栗縣苗栗市嘉新里19鄰嘉盛街81號,10005,1000501,1000501-026,19鄰,嘉盛街,,,,,,81號,120.832333514442,24.5745560364742
苗栗縣苗栗市嘉新里19鄰嘉盛街83號,10005,1000501,1000501-026,19鄰,嘉盛街,,,,,,83號,120.83237297907,24.574606660122
苗栗縣苗栗市嘉新里19鄰嘉盛街85號,10005,1000501,1000501-026,19鄰,嘉盛街,,,,,,85號,120.83238675387,24.5746572642082
苗栗縣苗栗市嘉新里19鄰嘉盛街87號,10005,1000501,1000501-026,19鄰,嘉盛街,,,,,,87號,120.832237151638,24.5748979608548
苗栗縣苗栗市嘉新里19鄰嘉盛街93號,10005,1000501,1000501-026,19鄰,嘉盛街,,,,,,93號,120.832531532195,24.5748290459803
苗栗縣苗栗市嘉新里19鄰嘉盛街95號,10005,1000501,1000501-026,19鄰,嘉盛街,,,,,,95號,120.832556147353,24.5748725563792
苗栗縣苗栗市嘉新里19鄰嘉盛街97號,10005,1000501,1000501-026,19鄰,嘉盛街,,,,,,97號,120.832570199115,24.5749079922536
苗栗縣苗栗市嘉新里19鄰嘉盛街99號,10005,1000501,1000501-026,19鄰,嘉盛街,,,,,,99號,120.832578935343,24.5749611368622
苗栗縣苗栗市嘉新里19鄰嘉盛街103號,10005,1000501,1000501-026,19鄰,嘉盛街,,,,,,103號,120.832624646168,24.5750368676417
苗栗縣苗栗市嘉新里19鄰嘉盛街105巷1號,10005,1000501,1000501-026,19鄰,嘉盛街,,105巷,,,,1號,120.832540017976,24.5750705957409
苗栗縣苗栗市嘉新里19鄰嘉盛街105巷2號,10005,1000501,1000501-026,19鄰,嘉盛街,,105巷,,,,2號,120.832546627909,24.5752081308313
苗栗縣苗栗市嘉新里19鄰嘉盛街105巷3號,10005,1000501,1000501-026,19鄰,嘉盛街,,105巷,,,,3號,120.832492427745,24.5750866413079
苗栗縣苗栗市嘉新里19鄰嘉盛街105巷5號,10005,1000501,1000501-026,19鄰,嘉盛街,,105巷,,,,5號,120.832367309615,24.5750832788312
苗栗縣苗栗市嘉新里19鄰嘉盛街107號,10005,1000501,1000501-026,19鄰,嘉盛街,,,,,,107號,120.832654506755,24.5751452382228
苗栗縣苗栗市嘉新里19鄰嘉盛街109號,10005,1000501,1000501-026,19鄰,嘉盛街,,,,,,109號,120.832666735673,24.5752225389308
苗栗縣苗栗市嘉新里19鄰嘉盛街113號,10005,1000501,1000501-026,19鄰,嘉盛街,,,,,,113號,120.832620442387,24.5753622092597
苗栗縣苗栗市嘉新里19鄰嘉盛街115號,10005,1000501,1000501-026,19鄰,嘉盛街,,,,,,115號,120.8326203761,24.5754121027184
苗栗縣苗栗市嘉新里19鄰嘉盛街117號,10005,1000501,1000501-026,19鄰,嘉盛街,,,,,,117號,120.832617512309,24.5754645482386
苗栗縣苗栗市嘉新里19鄰嘉盛街119號,10005,1000501,1000501-026,19鄰,嘉盛街,,,,,,119號,120.832617451131,24.575510595404
苗栗縣苗栗市嘉新里19鄰嘉盛街125號,10005,1000501,1000501-026,19鄰,嘉盛街,,,,,,125號,120.832634092471,24.5756257410041
苗栗縣苗栗市嘉新里14鄰嘉盛街131巷12號,10005,1000501,1000501-026,14鄰,嘉盛街,,131巷,,,,12號,120.832488304702,24.5758633632599
苗栗縣苗栗市嘉新里14鄰嘉盛街131巷16號,10005,1000501,1000501-026,14鄰,嘉盛街,,131巷,,,,16號,120.832443825116,24.5759232835406
苗栗縣苗栗市嘉新里14鄰嘉盛街131巷18號,10005,1000501,1000501-026,14鄰,嘉盛街,,131巷,,,,18號,120.832390542338,24.5758616293251
苗栗縣苗栗市嘉新里14鄰嘉盛街131巷20號,10005,1000501,1000501-026,14鄰,嘉盛街,,131巷,,,,20號,120.832340806068,24.5758355888961
苗栗縣苗栗市嘉新里14鄰嘉盛街131巷22號,10005,1000501,1000501-026,14鄰,嘉盛街,,131巷,,,,22號,120.832282159214,24.575835523615
苗栗縣苗栗市嘉新里14鄰嘉盛街131巷26號,10005,1000501,1000501-026,14鄰,嘉盛街,,131巷,,,,26號,120.832235927591,24.5758468394833
苗栗縣苗栗市嘉新里14鄰嘉盛街131巷28號,10005,1000501,1000501-026,14鄰,嘉盛街,,131巷,,,,28號,120.83213996623,24.5758272392604
苗栗縣苗栗市嘉新里14鄰嘉盛街135號,10005,1000501,1000501-026,14鄰,嘉盛街,,,,,,135號,120.832793946642,24.5758287881718
苗栗縣苗栗市嘉新里14鄰嘉盛街137號,10005,1000501,1000501-026,14鄰,嘉盛街,,,,,,137號,120.832810532325,24.5758744294543
苗栗縣苗栗市嘉新里14鄰嘉盛街139號,10005,1000501,1000501-026,14鄰,嘉盛街,,,,,,139號,120.832820718055,24.5759142219544
苗栗縣苗栗市嘉新里14鄰嘉盛街141號,10005,1000501,1000501-026,14鄰,嘉盛街,,,,,,141號,120.832836018682,24.5759610355604
苗栗縣苗栗市嘉新里14鄰嘉盛街143號,10005,1000501,1000501-026,14鄰,嘉盛街,,,,,,143號,120.832614275342,24.5760356567203
苗栗縣苗栗市嘉新里14鄰嘉盛街145號,10005,1000501,1000501-026,14鄰,嘉盛街,,,,,,145號,120.832848740438,24.5760242156423
苗栗縣苗栗市嘉新里14鄰嘉盛街147號,10005,1000501,1000501-026,14鄰,嘉盛街,,,,,,147號,120.832858920552,24.5760757005179
苗栗縣苗栗市嘉新里14鄰嘉盛街149號,10005,1000501,1000501-026,14鄰,嘉盛街,,,,,,149號,120.832865260979,24.5761189919486
苗栗縣苗栗市嘉新里14鄰嘉盛街151號,10005,1000501,1000501-026,14鄰,嘉盛街,,,,,,151號,120.832854960352,24.576165777146
