FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣苗栗市建功里25鄰民族路52號,10005,1000501,1000501-002,25鄰,民族路,,,,,,52號,120.81960797675,24.5631718542714
苗栗縣苗栗市建功里25鄰民族路54號,10005,1000501,1000501-002,25鄰,民族路,,,,,,54號,120.819542392933,24.563187476976
苗栗縣苗栗市建功里17鄰民族路55號,10005,1000501,1000501-002,17鄰,民族路,,,,,,55號,120.819346253644,24.5629035636051
苗栗縣苗栗市建功里25鄰民族路56號,10005,1000501,1000501-002,25鄰,民族路,,,,,,56號,120.819476730225,24.5632030273264
苗栗縣苗栗市建功里25鄰民族路58之2號,10005,1000501,1000501-002,25鄰,民族路,,,,,,58之2號,120.819411156364,24.5632185687257
苗栗縣苗栗市建功里25鄰民族路58之3號,10005,1000501,1000501-002,25鄰,民族路,,,,,,58之3號,120.819411156364,24.5632185687257
苗栗縣苗栗市建功里25鄰民族路58號,10005,1000501,1000501-002,25鄰,民族路,,,,,,58號,120.819411156364,24.5632185687257
苗栗縣苗栗市建功里25鄰民族路58之1號,10005,1000501,1000501-002,25鄰,民族路,,,,,,58之1號,120.819411156364,24.5632185687257
苗栗縣苗栗市建功里25鄰民族路58之4號,10005,1000501,1000501-002,25鄰,民族路,,,,,,58之4號,120.819411156364,24.5632185687257
苗栗縣苗栗市建功里25鄰民族路59號,10005,1000501,1000501-002,25鄰,民族路,,,,,,59號,120.818946589229,24.5629297191861
苗栗縣苗栗市建功里25鄰民族路60之1號,10005,1000501,1000501-002,25鄰,民族路,,,,,,60之1號,120.819345582487,24.5632341100963
苗栗縣苗栗市建功里25鄰民族路60號,10005,1000501,1000501-002,25鄰,民族路,,,,,,60號,120.819345582487,24.5632341100963
苗栗縣苗栗市建功里25鄰民族路60之2號,10005,1000501,1000501-002,25鄰,民族路,,,,,,60之2號,120.819345582487,24.5632341100963
苗栗縣苗栗市建功里25鄰民族路60之3號,10005,1000501,1000501-002,25鄰,民族路,,,,,,60之3號,120.819345582487,24.5632341100963
苗栗縣苗栗市建功里25鄰民族路60之4號,10005,1000501,1000501-002,25鄰,民族路,,,,,,60之4號,120.819345582487,24.5632341100963
苗栗縣苗栗市建功里25鄰民族路61號,10005,1000501,1000501-002,25鄰,民族路,,,,,,61號,120.818664893212,24.5630961439114
苗栗縣苗栗市建功里25鄰民族路62之4號,10005,1000501,1000501-002,25鄰,民族路,,,,,,62之4號,120.819280008595,24.5632496514383
苗栗縣苗栗市建功里25鄰民族路62號,10005,1000501,1000501-002,25鄰,民族路,,,,,,62號,120.819280008595,24.5632496514383
苗栗縣苗栗市建功里25鄰民族路62之1號,10005,1000501,1000501-002,25鄰,民族路,,,,,,62之1號,120.819280008595,24.5632496514383
苗栗縣苗栗市建功里25鄰民族路62之2號,10005,1000501,1000501-002,25鄰,民族路,,,,,,62之2號,120.819280008595,24.5632496514383
苗栗縣苗栗市建功里25鄰民族路62之3號,10005,1000501,1000501-002,25鄰,民族路,,,,,,62之3號,120.819280008595,24.5632496514383
苗栗縣苗栗市建功里25鄰民族路64號,10005,1000501,1000501-002,25鄰,民族路,,,,,,64號,120.819214434686,24.5632651927516
苗栗縣苗栗市建功里25鄰民族路64之1號,10005,1000501,1000501-002,25鄰,民族路,,,,,,64之1號,120.819214434686,24.5632651927516
苗栗縣苗栗市建功里25鄰民族路64之2號,10005,1000501,1000501-002,25鄰,民族路,,,,,,64之2號,120.819214434686,24.5632651927516
苗栗縣苗栗市建功里25鄰民族路64之3號,10005,1000501,1000501-002,25鄰,民族路,,,,,,64之3號,120.819214434686,24.5632651927516
苗栗縣苗栗市建功里25鄰民族路64之4號,10005,1000501,1000501-002,25鄰,民族路,,,,,,64之4號,120.819214434686,24.5632651927516
