FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣苗栗市建功里15鄰民權街2號,10005,1000501,1000501-002,15鄰,民權街,,,,,,2號,120.822840320628,24.5620625178778
苗栗縣苗栗市建功里15鄰民權街4號,10005,1000501,1000501-002,15鄰,民權街,,,,,,4號,120.822801998409,24.562082571117
苗栗縣竹南鎮竹南里4鄰民權街6號,10005,1000504,1000504-001,4鄰,民權街,,,,,,6號,120.879667029836,24.6858212859913
苗栗縣竹南鎮竹南里5鄰民權街7號,10005,1000504,1000504-001,5鄰,民權街,,,,,,7號,120.87964663677,24.6856327674192
苗栗縣竹南鎮竹南里4鄰民權街8號,10005,1000504,1000504-001,4鄰,民權街,,,,,,8號,120.87962607064,24.6858200342794
苗栗縣竹南鎮竹南里6鄰民權街9號,10005,1000504,1000504-001,6鄰,民權街,,,,,,9號,120.879602535698,24.6856721515836
苗栗縣竹南鎮竹南里4鄰民權街10號,10005,1000504,1000504-001,4鄰,民權街,,,,,,10號,120.879582340863,24.6858328742119
苗栗縣竹南鎮竹南里6鄰民權街11號,10005,1000504,1000504-001,6鄰,民權街,,,,,,11號,120.879559989711,24.6856768756135
苗栗縣竹南鎮竹南里6鄰民權街11號二樓,10005,1000504,1000504-001,6鄰,民權街,,,,,,11號二樓,120.879559989711,24.6856768756135
苗栗縣竹南鎮竹南里6鄰民權街11號三樓,10005,1000504,1000504-001,6鄰,民權街,,,,,,11號三樓,120.879559989711,24.6856768756135
苗栗縣竹南鎮竹南里6鄰民權街11號四樓,10005,1000504,1000504-001,6鄰,民權街,,,,,,11號四樓,120.879559989711,24.6856768756135
苗栗縣竹南鎮竹南里6鄰民權街11號五樓,10005,1000504,1000504-001,6鄰,民權街,,,,,,11號五樓,120.879559989711,24.6856768756135
苗栗縣竹南鎮竹南里4鄰民權街12號,10005,1000504,1000504-001,4鄰,民權街,,,,,,12號,120.879542151279,24.6858328419755
苗栗縣竹南鎮竹南里6鄰民權街13號,10005,1000504,1000504-001,6鄰,民權街,,,,,,13號,120.879514522543,24.6856775885227
苗栗縣竹南鎮竹南里6鄰民權街13號二樓,10005,1000504,1000504-001,6鄰,民權街,,,,,,13號二樓,120.879514522543,24.6856775885227
苗栗縣竹南鎮竹南里6鄰民權街13號三樓,10005,1000504,1000504-001,6鄰,民權街,,,,,,13號三樓,120.879514522543,24.6856775885227
苗栗縣竹南鎮竹南里6鄰民權街13號四樓,10005,1000504,1000504-001,6鄰,民權街,,,,,,13號四樓,120.879514522543,24.6856775885227
苗栗縣竹南鎮竹南里6鄰民權街13號五樓,10005,1000504,1000504-001,6鄰,民權街,,,,,,13號五樓,120.879514522543,24.6856775885227
苗栗縣竹南鎮竹南里4鄰民權街14號,10005,1000504,1000504-001,4鄰,民權街,,,,,,14號,120.879492081664,24.6858411624209
苗栗縣竹南鎮竹南里6鄰民權街15號,10005,1000504,1000504-001,6鄰,民權街,,,,,,15號,120.87945583951,24.6856617049963
苗栗縣竹南鎮竹南里4鄰民權街16號,10005,1000504,1000504-001,4鄰,民權街,,,,,,16號,120.879451189223,24.6858424207071
苗栗縣竹南鎮竹南里6鄰民權街17號,10005,1000504,1000504-001,6鄰,民權街,,,,,,17號,120.87942498365,24.6856665557463
苗栗縣竹南鎮竹南里4鄰民權街18號,10005,1000504,1000504-001,4鄰,民權街,,,,,,18號,120.879407474899,24.6858391713701
苗栗縣竹南鎮竹南里6鄰民權街19號,10005,1000504,1000504-001,6鄰,民權街,,,,,,19號,120.879390276538,24.6856686225417
苗栗縣竹南鎮竹南里4鄰民權街20號,10005,1000504,1000504-001,4鄰,民權街,,,,,,20號,120.87937363072,24.6858378530736
苗栗縣竹南鎮竹南里6鄰民權街21號,10005,1000504,1000504-001,6鄰,民權街,,,,,,21號,120.87936265862,24.6856666411164
苗栗縣竹南鎮竹南里4鄰民權街22號,10005,1000504,1000504-001,4鄰,民權街,,,,,,22號,120.879322150453,24.6858436081642
苗栗縣竹南鎮竹南里6鄰民權街23號,10005,1000504,1000504-001,6鄰,民權街,,,,,,23號,120.879316940955,24.6856812038659
苗栗縣竹南鎮竹南里6鄰民權街25號,10005,1000504,1000504-001,6鄰,民權街,,,,,,25號,120.879281382087,24.6856955129355
苗栗縣竹南鎮竹南里8鄰民權街29號,10005,1000504,1000504-001,8鄰,民權街,,,,,,29號,120.878961922249,24.6856941723078
苗栗縣竹南鎮竹南里8鄰民權街29號二樓,10005,1000504,1000504-001,8鄰,民權街,,,,,,29號二樓,120.878961922249,24.6856941723078
苗栗縣竹南鎮竹南里8鄰民權街29號三樓,10005,1000504,1000504-001,8鄰,民權街,,,,,,29號三樓,120.878961922249,24.6856941723078
苗栗縣竹南鎮竹南里8鄰民權街29號四樓,10005,1000504,1000504-001,8鄰,民權街,,,,,,29號四樓,120.878961922249,24.6856941723078
苗栗縣竹南鎮竹南里8鄰民權街29號五樓,10005,1000504,1000504-001,8鄰,民權街,,,,,,29號五樓,120.878961922249,24.6856941723078
苗栗縣竹南鎮竹南里9鄰民權街30號,10005,1000504,1000504-001,9鄰,民權街,,,,,,30號,120.879010453762,24.6858767456413
苗栗縣竹南鎮竹南里8鄰民權街31號,10005,1000504,1000504-001,8鄰,民權街,,,,,,31號,120.87886165835,24.685696691731
苗栗縣竹南鎮竹南里9鄰民權街32號,10005,1000504,1000504-001,9鄰,民權街,,,,,,32號,120.878898009437,24.6858648092747
苗栗縣竹南鎮竹南里8鄰民權街33號,10005,1000504,1000504-001,8鄰,民權街,,,,,,33號,120.878826930697,24.6856995438807
苗栗縣竹南鎮竹南里9鄰民權街34號,10005,1000504,1000504-001,9鄰,民權街,,,,,,34號,120.878851870955,24.6858647720554
苗栗縣竹南鎮竹南里8鄰民權街35號,10005,1000504,1000504-001,8鄰,民權街,,,,,,35號,120.878785888669,24.685712467009
苗栗縣竹南鎮竹南里9鄰民權街36號,10005,1000504,1000504-001,9鄰,民權街,,,,,,36號,120.878814724081,24.6858758925841
苗栗縣竹南鎮竹南里8鄰民權街37號,10005,1000504,1000504-001,8鄰,民權街,,,,,,37號,120.878740122967,24.6857153102274
苗栗縣竹南鎮竹南里8鄰民權街39號,10005,1000504,1000504-001,8鄰,民權街,,,,,,39號,120.878697503873,24.6857138402319
苗栗縣竹南鎮竹南里8鄰民權街41號,10005,1000504,1000504-001,8鄰,民權街,,,,,,41號,120.878659635177,24.6857152452054
苗栗縣竹南鎮竹南里8鄰民權街43號,10005,1000504,1000504-001,8鄰,民權街,,,,,,43號,120.878610708665,24.685716650259
苗栗縣竹南鎮竹南里8鄰民權街45號,10005,1000504,1000504-001,8鄰,民權街,,,,,,45號,120.878572834266,24.6857137394639
苗栗縣竹南鎮竹南里12鄰民權街49之4號,10005,1000504,1000504-001,12鄰,民權街,,,,,,49之4號,120.878034193979,24.6857332112934
苗栗縣竹南鎮竹南里12鄰民權街49號,10005,1000504,1000504-001,12鄰,民權街,,,,,,49號,120.878222646827,24.6856970235375
苗栗縣竹南鎮竹南里12鄰民權街49之1號,10005,1000504,1000504-001,12鄰,民權街,,,,,,49之1號,120.878209464497,24.6857579569012
苗栗縣竹南鎮竹南里12鄰民權街49之2號,10005,1000504,1000504-001,12鄰,民權街,,,,,,49之2號,120.878143988532,24.6857362438097
苗栗縣竹南鎮竹南里12鄰民權街49之3號,10005,1000504,1000504-001,12鄰,民權街,,,,,,49之3號,120.878072933444,24.6857509391037
苗栗縣竹南鎮竹南里14鄰民權街50號,10005,1000504,1000504-001,14鄰,民權街,,,,,,50號,120.877525810888,24.6859255793239
苗栗縣竹南鎮竹南里14鄰民權街50之1號,10005,1000504,1000504-001,14鄰,民權街,,,,,,50之1號,120.87752076625,24.6859406803054
苗栗縣竹南鎮竹南里14鄰民權街50之2號,10005,1000504,1000504-001,14鄰,民權街,,,,,,50之2號,120.877552981945,24.6859399301082
苗栗縣竹南鎮竹南里14鄰民權街50之3號,10005,1000504,1000504-001,14鄰,民權街,,,,,,50之3號,120.877538161362,24.6859376247192
苗栗縣竹南鎮竹南里12鄰民權街51巷1號十樓,10005,1000504,1000504-001,12鄰,民權街,,51巷,,,,1號十樓,120.878010098441,24.6856048390234
苗栗縣竹南鎮竹南里12鄰民權街51巷1號三樓,10005,1000504,1000504-001,12鄰,民權街,,51巷,,,,1號三樓,120.878010098441,24.6856048390234
苗栗縣竹南鎮竹南里12鄰民權街51巷1號四樓,10005,1000504,1000504-001,12鄰,民權街,,51巷,,,,1號四樓,120.878010098441,24.6856048390234
苗栗縣竹南鎮竹南里12鄰民權街51巷1號五樓,10005,1000504,1000504-001,12鄰,民權街,,51巷,,,,1號五樓,120.878010098441,24.6856048390234
苗栗縣竹南鎮竹南里12鄰民權街51巷1號六樓,10005,1000504,1000504-001,12鄰,民權街,,51巷,,,,1號六樓,120.878010098441,24.6856048390234
苗栗縣竹南鎮竹南里12鄰民權街51巷1號七樓,10005,1000504,1000504-001,12鄰,民權街,,51巷,,,,1號七樓,120.878010098441,24.6856048390234
苗栗縣竹南鎮竹南里12鄰民權街51巷1號八樓,10005,1000504,1000504-001,12鄰,民權街,,51巷,,,,1號八樓,120.878010098441,24.6856048390234
