FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣苗栗市玉華里10鄰玉維一街5號,10005,1000501,1000501-005,10鄰,玉維一街,,,,,,5號,120.834002108863,24.557714705575
苗栗縣苗栗市玉華里10鄰玉維一街13號,10005,1000501,1000501-005,10鄰,玉維一街,,,,,,13號,120.834057989482,24.5580100208646
苗栗縣苗栗市玉華里10鄰玉維一街27號,10005,1000501,1000501-005,10鄰,玉維一街,,,,,,27號,120.833836416157,24.5583846924068
苗栗縣苗栗市玉華里10鄰玉維一街28號,10005,1000501,1000501-005,10鄰,玉維一街,,,,,,28號,120.834258295803,24.5582976127841
苗栗縣苗栗市玉華里10鄰玉維一街30號,10005,1000501,1000501-005,10鄰,玉維一街,,,,,,30號,120.834247658331,24.5583468446544
苗栗縣苗栗市玉華里10鄰玉維一街32號,10005,1000501,1000501-005,10鄰,玉維一街,,,,,,32號,120.834226978398,24.5583981872682
苗栗縣苗栗市玉華里10鄰玉維一街36號,10005,1000501,1000501-005,10鄰,玉維一街,,,,,,36號,120.83422737193,24.5584367500911
苗栗縣苗栗市玉華里10鄰玉維一街38號,10005,1000501,1000501-005,10鄰,玉維一街,,,,,,38號,120.834223685468,24.5584775295335
苗栗縣苗栗市玉華里10鄰玉維一街40號,10005,1000501,1000501-005,10鄰,玉維一街,,,,,,40號,120.834219995614,24.5585133791978
苗栗縣苗栗市玉華里10鄰玉維一街41號,10005,1000501,1000501-005,10鄰,玉維一街,,,,,,41號,120.833860853616,24.5588981200787
苗栗縣苗栗市玉華里10鄰玉維一街42號,10005,1000501,1000501-005,10鄰,玉維一街,,,,,,42號,120.834189997485,24.5586165915579
苗栗縣苗栗市玉華里10鄰玉維一街63號,10005,1000501,1000501-005,10鄰,玉維一街,,,,,,63號,120.833574647821,24.5594364227101
苗栗縣苗栗市玉華里10鄰玉維一街65號,10005,1000501,1000501-005,10鄰,玉維一街,,,,,,65號,120.833607121294,24.5595750068609
苗栗縣苗栗市玉華里10鄰玉維一街66號,10005,1000501,1000501-005,10鄰,玉維一街,,,,,,66號,120.833911250182,24.5593923086717
苗栗縣苗栗市玉華里10鄰玉維一街75號,10005,1000501,1000501-005,10鄰,玉維一街,,,,,,75號,120.833508739087,24.560074629127
苗栗縣苗栗市玉華里10鄰玉維一街76號,10005,1000501,1000501-005,10鄰,玉維一街,,,,,,76號,120.833759739293,24.5598088699931
苗栗縣苗栗市玉華里10鄰玉維一街78號,10005,1000501,1000501-005,10鄰,玉維一街,,,,,,78號,120.833745313107,24.5598637316641
苗栗縣苗栗市玉華里10鄰玉維一街82號,10005,1000501,1000501-005,10鄰,玉維一街,,,,,,82號,120.833769981338,24.5599699385991
苗栗縣苗栗市玉華里10鄰玉維一街102號,10005,1000501,1000501-005,10鄰,玉維一街,,,,,,102號,120.833636596281,24.5606468316064
