FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣竹南鎮大埔里2鄰科專七路1號,10005,1000504,1000504-019,2鄰,科專七路,,,,,,1號,120.908228989707,24.705312539277
苗栗縣竹南鎮大埔里2鄰科專七路130號,10005,1000504,1000504-019,2鄰,科專七路,,,,,,130號,120.905044063532,24.705954577085
苗栗縣竹南鎮大埔里2鄰科專七路132號,10005,1000504,1000504-019,2鄰,科專七路,,,,,,132號,120.904897714436,24.7059214392554
苗栗縣竹南鎮大埔里2鄰科專七路136號,10005,1000504,1000504-019,2鄰,科專七路,,,,,,136號,120.904802351262,24.7059052173616
苗栗縣竹南鎮大埔里2鄰科專七路171巷30號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,,,,30號,120.903926062731,24.7049006640777
苗栗縣竹南鎮大埔里2鄰科專七路171巷32號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,,,,32號,120.90391670995,24.7048531669647
苗栗縣竹南鎮大埔里2鄰科專七路171巷36號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,,,,36號,120.903916653164,24.7047983625308
苗栗縣竹南鎮大埔里2鄰科專七路171巷38號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,,,,38號,120.903916696181,24.7047422941381
苗栗縣竹南鎮大埔里2鄰科專七路171巷40號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,,,,40號,120.903923790505,24.7043454498205
苗栗縣竹南鎮大埔里2鄰科專七路171巷42號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,,,,42號,120.903921212451,24.7043048459637
苗栗縣竹南鎮大埔里2鄰科專七路171巷46號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,,,,46號,120.903922542714,24.7042713953644
苗栗縣竹南鎮大埔里2鄰科專七路171巷48號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,,,,48號,120.903925102473,24.7042198971173
苗栗縣竹南鎮大埔里2鄰科專七路171巷50號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,,,,50號,120.903933738371,24.704171147494
苗栗縣竹南鎮大埔里2鄰科專七路171巷52號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,,,,52號,120.903928429423,24.7041345777313
苗栗縣竹南鎮大埔里2鄰科專七路171巷56號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,,,,56號,120.903926383776,24.7040956625872
苗栗縣竹南鎮大埔里2鄰科專七路171巷58號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,,,,58號,120.903921082315,24.7040493417982
苗栗縣竹南鎮大埔里2鄰科專七路171巷60號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,,,,60號,120.903928234666,24.704001945534
苗栗縣竹南鎮大埔里2鄰科專七路171巷62號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,,,,62號,120.903925205123,24.7039572513708
苗栗縣竹南鎮大埔里2鄰科專七路171巷66弄1號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,66弄,,,1號,120.903780698558,24.7038448413605
苗栗縣竹南鎮大埔里2鄰科專七路171巷66弄2號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,66弄,,,2號,120.903780720395,24.7039450603013
苗栗縣竹南鎮大埔里2鄰科專七路171巷66弄3號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,66弄,,,3號,120.903725546534,24.7038489592059
苗栗縣竹南鎮大埔里2鄰科專七路171巷66弄5號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,66弄,,,5號,120.903673459441,24.7038516344012
苗栗縣竹南鎮大埔里2鄰科專七路171巷66弄6號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,66弄,,,6號,120.903728536513,24.703945026834
苗栗縣竹南鎮大埔里2鄰科專七路171巷66弄7號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,66弄,,,7號,120.903636202512,24.7038475475529
苗栗縣竹南鎮大埔里2鄰科專七路171巷66弄8號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,66弄,,,8號,120.903680898884,24.7039450865538
苗栗縣竹南鎮大埔里2鄰科專七路171巷66弄9號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,66弄,,,9號,120.903582552787,24.7038259344237
苗栗縣竹南鎮大埔里2鄰科專七路171巷66弄10號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,66弄,,,10號,120.903637612065,24.7039423501453
苗栗縣竹南鎮大埔里2鄰科專七路171巷66弄11號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,66弄,,,11號,120.903542326707,24.7038272628837
苗栗縣竹南鎮大埔里2鄰科專七路171巷66弄12號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,66弄,,,12號,120.903589955741,24.7039666971134
苗栗縣竹南鎮大埔里2鄰科專七路171巷66弄16號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,66弄,,,16號,120.90353184075,24.7039681043643
苗栗縣竹南鎮大埔里2鄰科專七路171巷68號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,,,,68號,120.903919258383,24.7038502570874
苗栗縣竹南鎮大埔里2鄰科專七路171巷70號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,,,,70號,120.903929680454,24.7037921187239
苗栗縣竹南鎮大埔里2鄰科專七路171巷76號,10005,1000504,1000504-019,2鄰,科專七路,,171巷,,,,76號,120.903907256054,24.7036493601079
苗栗縣竹南鎮大埔里2鄰科專七路172號二樓,10005,1000504,1000504-019,2鄰,科專七路,,,,,,172號二樓,120.903856448754,24.7058472818748
苗栗縣竹南鎮大埔里2鄰科專七路172號三樓,10005,1000504,1000504-019,2鄰,科專七路,,,,,,172號三樓,120.903856448754,24.7058472818748
苗栗縣竹南鎮大埔里2鄰科專七路172號四樓,10005,1000504,1000504-019,2鄰,科專七路,,,,,,172號四樓,120.903856448754,24.7058472818748
苗栗縣竹南鎮大埔里2鄰科專七路172號五樓,10005,1000504,1000504-019,2鄰,科專七路,,,,,,172號五樓,120.903856448754,24.7058472818748
苗栗縣竹南鎮大埔里2鄰科專七路183號,10005,1000504,1000504-019,2鄰,科專七路,,,,,,183號,120.903726952592,24.7054911960275
苗栗縣竹南鎮大埔里2鄰科專七路185號,10005,1000504,1000504-019,2鄰,科專七路,,,,,,185號,120.903683658989,24.7054965854844
苗栗縣竹南鎮大埔里2鄰科專七路187號,10005,1000504,1000504-019,2鄰,科專七路,,,,,,187號,120.903631577463,24.7054911348094
苗栗縣竹南鎮大埔里2鄰科專七路189巷1號,10005,1000504,1000504-019,2鄰,科專七路,,189巷,,,,1號,120.903619633216,24.7053435976855
苗栗縣竹南鎮大埔里2鄰科專七路189巷2號,10005,1000504,1000504-019,2鄰,科專七路,,189巷,,,,2號,120.903508743453,24.7053406372307
苗栗縣竹南鎮大埔里2鄰科專七路189巷3號,10005,1000504,1000504-019,2鄰,科專七路,,189巷,,,,3號,120.903621152209,24.7052961978265
苗栗縣竹南鎮大埔里2鄰科專七路189巷5號,10005,1000504,1000504-019,2鄰,科專七路,,189巷,,,,5號,120.903622570282,24.7052515065214
苗栗縣竹南鎮大埔里2鄰科專七路189巷6號,10005,1000504,1000504-019,2鄰,科專七路,,189巷,,,,6號,120.903520642163,24.7052905354274
苗栗縣竹南鎮大埔里2鄰科專七路189巷7號,10005,1000504,1000504-019,2鄰,科專七路,,189巷,,,,7號,120.903613620084,24.705194710058
苗栗縣竹南鎮大埔里2鄰科專七路189巷8號,10005,1000504,1000504-019,2鄰,科專七路,,189巷,,,,8號,120.903516228015,24.7052471946832
苗栗縣竹南鎮大埔里2鄰科專七路189巷9號,10005,1000504,1000504-019,2鄰,科專七路,,189巷,,,,9號,120.90362709383,24.7051527351143
苗栗縣竹南鎮大埔里2鄰科專七路189巷10號,10005,1000504,1000504-019,2鄰,科專七路,,189巷,,,,10號,120.903525162733,24.7051957366636
苗栗縣竹南鎮大埔里2鄰科專七路189巷11號,10005,1000504,1000504-019,2鄰,科專七路,,189巷,,,,11號,120.903624949913,24.7051131878973
苗栗縣竹南鎮大埔里2鄰科專七路189巷12號,10005,1000504,1000504-019,2鄰,科專七路,,189巷,,,,12號,120.903523623051,24.7051416535776
苗栗縣竹南鎮大埔里2鄰科專七路189巷13號,10005,1000504,1000504-019,2鄰,科專七路,,189巷,,,,13號,120.903638431983,24.7050603784806
苗栗縣竹南鎮大埔里2鄰科專七路189巷15號,10005,1000504,1000504-019,2鄰,科專七路,,189巷,,,,15號,120.90364291911,24.7050089175965
苗栗縣竹南鎮大埔里2鄰科專七路189巷16號,10005,1000504,1000504-019,2鄰,科專七路,,189巷,,,,16號,120.903510210837,24.7051037242857
苗栗縣竹南鎮大埔里2鄰科專七路189巷17號,10005,1000504,1000504-019,2鄰,科專七路,,189巷,,,,17號,120.903636924558,24.7049643118171
苗栗縣竹南鎮大埔里2鄰科專七路189巷18號,10005,1000504,1000504-019,2鄰,科專七路,,189巷,,,,18號,120.903513210291,24.7050590339974
苗栗縣竹南鎮大埔里2鄰科專七路189巷20號,10005,1000504,1000504-019,2鄰,科專七路,,189巷,,,,20號,120.903496841418,24.7050102683259
苗栗縣竹南鎮大埔里2鄰科專七路189巷22號,10005,1000504,1000504-019,2鄰,科專七路,,189巷,,,,22號,120.903493818198,24.7049575385939
苗栗縣竹南鎮大埔里2鄰科專七路191號,10005,1000504,1000504-019,2鄰,科專七路,,,,,,191號,120.903493220811,24.7054762387776
苗栗縣竹南鎮大埔里2鄰科專七路193號,10005,1000504,1000504-019,2鄰,科專七路,,,,,,193號,120.903436785301,24.7054776470698
苗栗縣竹南鎮大埔里2鄰科專七路195號,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號十樓之1,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號十樓之1,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號十樓之2,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號十樓之2,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號十樓之3,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號十樓之3,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號十樓之5,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號十樓之5,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號二樓之1,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號二樓之1,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號二樓之2,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號二樓之2,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號二樓之3,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號二樓之3,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號二樓之5,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號二樓之5,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號三樓之1,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號三樓之1,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號三樓之2,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號三樓之2,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號三樓之3,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號三樓之3,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號三樓之5,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號三樓之5,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號四樓之1,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號四樓之1,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號四樓之2,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號四樓之2,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號四樓之3,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號四樓之3,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號四樓之5,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號四樓之5,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號五樓之1,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號五樓之1,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號五樓之2,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號五樓之2,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號五樓之3,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號五樓之3,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號五樓之5,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號五樓之5,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號六樓之1,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號六樓之1,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號六樓之2,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號六樓之2,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號六樓之3,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號六樓之3,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號六樓之5,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號六樓之5,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號七樓之1,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號七樓之1,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號七樓之2,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號七樓之2,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號七樓之3,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號七樓之3,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號七樓之5,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號七樓之5,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號八樓之1,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號八樓之1,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號八樓之2,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號八樓之2,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號八樓之3,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號八樓之3,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號八樓之5,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號八樓之5,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號九樓之1,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號九樓之1,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號九樓之2,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號九樓之2,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號九樓之3,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號九樓之3,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號九樓之5,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號九樓之5,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號十一樓之1,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號十一樓之1,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號十一樓之2,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號十一樓之2,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號十一樓之3,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號十一樓之3,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號十一樓之5,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號十一樓之5,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號十二樓之1,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號十二樓之1,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號十二樓之2,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號十二樓之2,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路195號十二樓之3,10005,1000504,1000504-019,2鄰,科專七路,,,,,,195號十二樓之3,120.903365784317,24.705398690263
苗栗縣竹南鎮大埔里2鄰科專七路197號,10005,1000504,1000504-019,2鄰,科專七路,,,,,,197號,120.903306777407,24.705402354033
苗栗縣竹南鎮大埔里2鄰科專七路199號,10005,1000504,1000504-019,2鄰,科專七路,,,,,,199號,120.903249156545,24.7054029489053
