FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣頭份鎮民生里11鄰銀河南路33號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,33號,120.901901999781,24.6785597022996
苗栗縣頭份鎮民生里11鄰銀河南路88巷2號,10005,1000505,1000505-027,11鄰,銀河南路,,88巷,,,,2號,120.900899644073,24.6782411415107
苗栗縣頭份鎮民生里11鄰銀河南路88巷6號,10005,1000505,1000505-027,11鄰,銀河南路,,88巷,,,,6號,120.900843385999,24.6782960534264
苗栗縣頭份鎮民生里11鄰銀河南路88巷8號,10005,1000505,1000505-027,11鄰,銀河南路,,88巷,,,,8號,120.900794979301,24.6783437926408
苗栗縣頭份鎮民生里11鄰銀河南路88巷10號,10005,1000505,1000505-027,11鄰,銀河南路,,88巷,,,,10號,120.900741340622,24.6783975144508
苗栗縣頭份鎮民生里11鄰銀河南路88巷12號,10005,1000505,1000505-027,11鄰,銀河南路,,88巷,,,,12號,120.900703403819,24.678438091717
苗栗縣頭份鎮民生里11鄰銀河南路88巷16號,10005,1000505,1000505-027,11鄰,銀河南路,,88巷,,,,16號,120.90066677226,24.6784774870688
苗栗縣頭份鎮民生里11鄰銀河南路88巷18號,10005,1000505,1000505-027,11鄰,銀河南路,,88巷,,,,18號,120.900628816053,24.6785300183837
苗栗縣頭份鎮民生里11鄰銀河南路88巷20號,10005,1000505,1000505-027,11鄰,銀河南路,,88巷,,,,20號,120.900597416394,24.6785634401392
苗栗縣頭份鎮民生里11鄰銀河南路88巷22號,10005,1000505,1000505-027,11鄰,銀河南路,,88巷,,,,22號,120.90057256288,24.6785908982101
苗栗縣頭份鎮民生里11鄰銀河南路88巷26號,10005,1000505,1000505-027,11鄰,銀河南路,,88巷,,,,26號,120.900547699473,24.6786183562703
苗栗縣頭份鎮民生里11鄰銀河南路88巷28號,10005,1000505,1000505-027,11鄰,銀河南路,,88巷,,,,28號,120.900520225497,24.6786481961901
苗栗縣頭份鎮民生里11鄰銀河南路88巷30號,10005,1000505,1000505-027,11鄰,銀河南路,,88巷,,,,30號,120.900494054895,24.678679228765
苗栗縣頭份鎮民生里11鄰銀河南路88巷32號,10005,1000505,1000505-027,11鄰,銀河南路,,88巷,,,,32號,120.900475700652,24.6787473024961
苗栗縣頭份鎮民生里11鄰銀河南路88巷33號,10005,1000505,1000505-027,11鄰,銀河南路,,88巷,,,,33號,120.900360677868,24.6787400573912
苗栗縣頭份鎮民生里11鄰銀河南路88巷35號,10005,1000505,1000505-027,11鄰,銀河南路,,88巷,,,,35號,120.900308352666,24.6787818348625
苗栗縣頭份鎮民生里11鄰銀河南路88巷36號,10005,1000505,1000505-027,11鄰,銀河南路,,88巷,,,,36號,120.900446918496,24.6787819267787
苗栗縣頭份鎮民生里11鄰銀河南路88巷38號,10005,1000505,1000505-027,11鄰,銀河南路,,88巷,,,,38號,120.90041551778,24.6788165402906
苗栗縣頭份鎮民生里11鄰銀河南路88巷50號,10005,1000505,1000505-027,11鄰,銀河南路,,88巷,,,,50號,120.900385421381,24.6788511546608
苗栗縣頭份鎮民生里11鄰銀河南路102號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,102號,120.900479616976,24.6779338948679
苗栗縣頭份鎮民生里11鄰銀河南路106號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,106號,120.900364599618,24.677895888776
苗栗縣頭份鎮民生里11鄰銀河南路108號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,108號,120.900344974143,24.6778229143224
苗栗縣頭份鎮民生里11鄰銀河南路110號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,110號,120.900289226789,24.6777946804951
苗栗縣頭份鎮民生里11鄰銀河南路156號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,156號,120.899396968976,24.6773518385972
苗栗縣頭份鎮民生里11鄰銀河南路158號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,158號,120.899359845809,24.6773265061025
苗栗縣頭份鎮民生里11鄰銀河南路159號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,159號,120.899593359648,24.6770785248884
苗栗縣頭份鎮民生里11鄰銀河南路160號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,160號,120.899273603257,24.6772764289389
苗栗縣頭份鎮民生里11鄰銀河南路161號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,161號,120.899520329283,24.6770149225804
苗栗縣頭份鎮民生里11鄰銀河南路169號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,169號,120.89945608363,24.6767907856672
苗栗縣頭份鎮民生里11鄰銀河南路171號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,171號,120.899502997621,24.6767437410903
苗栗縣頭份鎮民生里11鄰銀河南路172號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,172號,120.899036151654,24.6769894437436
苗栗縣頭份鎮民生里11鄰銀河南路175號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,175號,120.899226531272,24.6768803506478
苗栗縣頭份鎮民生里11鄰銀河南路176號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,176號,120.898969856314,24.6769434156696
苗栗縣頭份鎮民生里11鄰銀河南路178號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,178號,120.898921912766,24.6769189425481
苗栗縣頭份鎮民生里11鄰銀河南路180號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,180號,120.898893697502,24.6768877382068
苗栗縣頭份鎮民生里11鄰銀河南路181號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,181號,120.89904450505,24.6765551658146
苗栗縣頭份鎮民生里11鄰銀河南路182號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,182號,120.898856056683,24.6768674523171
苗栗縣頭份鎮民生里11鄰銀河南路186號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,186號,120.89882415231,24.676840534141
苗栗縣頭份鎮民生里11鄰銀河南路188號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,188號,120.898786256442,24.6768179728134
苗栗縣頭份鎮民生里11鄰銀河南路190號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,190號,120.898739136278,24.6767895817048
苗栗縣頭份鎮民生里11鄰銀河南路192號,10005,1000505,1000505-027,11鄰,銀河南路,,,,,,192號,120.898703881316,24.6767637988682
苗栗縣頭份鎮民生里11鄰銀河南路195巷1之1號,10005,1000505,1000505-027,11鄰,銀河南路,,195巷,,,,1之1號,120.898761878469,24.6765990449728
苗栗縣頭份鎮民生里11鄰銀河南路195巷2號,10005,1000505,1000505-027,11鄰,銀河南路,,195巷,,,,2號,120.898587765515,24.6763510427896
苗栗縣頭份鎮民生里11鄰銀河南路195巷13號,10005,1000505,1000505-027,11鄰,銀河南路,,195巷,,,,13號,120.899391911331,24.6759335969393
