FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣二林鎮中西里5鄰中六路1號,10007,1000720,1000720-005,5鄰,中六路,,,,,,1號,120.347633678316,23.8756158619871
彰化縣二林鎮中西里5鄰中六路1號之1,10007,1000720,1000720-005,5鄰,中六路,,,,,,1號之1,120.34853232985,23.8757827827306
彰化縣二林鎮中西里5鄰中六路1號之2,10007,1000720,1000720-005,5鄰,中六路,,,,,,1號之2,120.348882345574,23.8752374384411
彰化縣二林鎮中西里5鄰中六路2號之1,10007,1000720,1000720-005,5鄰,中六路,,,,,,2號之1,120.347754485275,23.8759403281607
彰化縣二林鎮中西里5鄰中六路2號之2,10007,1000720,1000720-005,5鄰,中六路,,,,,,2號之2,120.347705609729,23.87594552059
彰化縣二林鎮中西里5鄰中六路2號之3,10007,1000720,1000720-005,5鄰,中六路,,,,,,2號之3,120.347650297304,23.8759537556958
彰化縣二林鎮中西里6鄰中六路2號之4,10007,1000720,1000720-005,6鄰,中六路,,,,,,2號之4,120.347988590093,23.8759304847646
彰化縣二林鎮中西里6鄰中六路2號之5,10007,1000720,1000720-005,6鄰,中六路,,,,,,2號之5,120.347936673951,23.8759389420342
彰化縣二林鎮中西里5鄰中六路3號,10007,1000720,1000720-005,5鄰,中六路,,,,,,3號,120.347341087338,23.8756697637968
彰化縣二林鎮中西里5鄰中六路3號之1,10007,1000720,1000720-005,5鄰,中六路,,,,,,3號之1,120.347053610841,23.8756984136533
彰化縣二林鎮中西里5鄰中六路4號,10007,1000720,1000720-005,5鄰,中六路,,,,,,4號,120.347253624135,23.875935207303
彰化縣二林鎮中西里13鄰中六路4號之2,10007,1000720,1000720-005,13鄰,中六路,,,,,,4號之2,120.346748013535,23.8755695146063
彰化縣二林鎮中西里5鄰中六路6號,10007,1000720,1000720-005,5鄰,中六路,,,,,,6號,120.347812588693,23.8757571977276
彰化縣二林鎮中西里5鄰中六路8號,10007,1000720,1000720-005,5鄰,中六路,,,,,,8號,120.347377091783,23.8761087959444
彰化縣二林鎮中西里13鄰中六路9號,10007,1000720,1000720-005,13鄰,中六路,,,,,,9號,120.347011018901,23.8751576290759
彰化縣二林鎮中西里13鄰中六路9號之1,10007,1000720,1000720-005,13鄰,中六路,,,,,,9號之1,120.347155838881,23.8750948935736
彰化縣二林鎮中西里13鄰中六路9號之2,10007,1000720,1000720-005,13鄰,中六路,,,,,,9號之2,120.347201296436,23.8750780931608
彰化縣二林鎮中西里13鄰中六路10號,10007,1000720,1000720-005,13鄰,中六路,,,,,,10號,120.345855322857,23.8759815782434
彰化縣二林鎮中西里13鄰中六路11號,10007,1000720,1000720-005,13鄰,中六路,,,,,,11號,120.346756379973,23.8750997993524
彰化縣二林鎮中西里13鄰中六路12號,10007,1000720,1000720-005,13鄰,中六路,,,,,,12號,120.346251819172,23.8759277865275
彰化縣二林鎮中西里13鄰中六路13號,10007,1000720,1000720-005,13鄰,中六路,,,,,,13號,120.346260872517,23.8753412167245
彰化縣二林鎮中西里13鄰中六路13號之1,10007,1000720,1000720-005,13鄰,中六路,,,,,,13號之1,120.346270842472,23.8757119490406
彰化縣二林鎮中西里13鄰中六路13號之2,10007,1000720,1000720-005,13鄰,中六路,,,,,,13號之2,120.346259679225,23.8756609310831
彰化縣二林鎮中西里13鄰中六路15號,10007,1000720,1000720-005,13鄰,中六路,,,,,,15號,120.346700128239,23.8749880935771
彰化縣二林鎮中西里11鄰中六路16號,10007,1000720,1000720-005,11鄰,中六路,,,,,,16號,120.345575250399,23.8761329743419
彰化縣二林鎮中西里13鄰中六路17號,10007,1000720,1000720-005,13鄰,中六路,,,,,,17號,120.346239475635,23.8750697404012
彰化縣二林鎮中西里11鄰中六路18號,10007,1000720,1000720-005,11鄰,中六路,,,,,,18號,120.345231537772,23.8759432602724
彰化縣二林鎮中西里13鄰中六路19號,10007,1000720,1000720-005,13鄰,中六路,,,,,,19號,120.346039877039,23.87477839203
彰化縣二林鎮中西里13鄰中六路臨19之1號,10007,1000720,1000720-005,13鄰,中六路,,,,,,臨19之1號,120.346025207665,23.8746102939289
彰化縣二林鎮中西里11鄰中六路20號,10007,1000720,1000720-005,11鄰,中六路,,,,,,20號,120.345324183539,23.8760928819849
彰化縣二林鎮中西里11鄰中六路20號之2,10007,1000720,1000720-005,11鄰,中六路,,,,,,20號之2,120.345352262482,23.8762341297515
彰化縣二林鎮中西里11鄰中六路20號之3,10007,1000720,1000720-005,11鄰,中六路,,,,,,20號之3,120.345359558533,23.8762769778386
彰化縣二林鎮中西里11鄰中六路20號之5,10007,1000720,1000720-005,11鄰,中六路,,,,,,20號之5,120.345334638092,23.8761539375966
彰化縣二林鎮中西里13鄰中六路21號,10007,1000720,1000720-005,13鄰,中六路,,,,,,21號,120.345643617897,23.8749146039692
彰化縣二林鎮中西里13鄰中六路21號之1,10007,1000720,1000720-005,13鄰,中六路,,,,,,21號之1,120.345691661517,23.8743989627435
彰化縣二林鎮中西里11鄰中六路22號,10007,1000720,1000720-005,11鄰,中六路,,,,,,22號,120.345283825115,23.876403725415
彰化縣二林鎮中西里11鄰中六路22號之1,10007,1000720,1000720-005,11鄰,中六路,,,,,,22號之1,120.345231203629,23.876411790504
彰化縣二林鎮中西里13鄰中六路23號,10007,1000720,1000720-005,13鄰,中六路,,,,,,23號,120.345867739422,23.874427133131
彰化縣二林鎮中西里13鄰中六路24號,10007,1000720,1000720-005,13鄰,中六路,,,,,,24號,120.345855947703,23.8752124629082
彰化縣二林鎮中西里11鄰中六路24號之1,10007,1000720,1000720-005,11鄰,中六路,,,,,,24號之1,120.345013238523,23.8764356486703
彰化縣二林鎮中西里13鄰中六路25號,10007,1000720,1000720-005,13鄰,中六路,,,,,,25號,120.346161586531,23.8757061125511
彰化縣二林鎮中西里13鄰中六路25號之1,10007,1000720,1000720-005,13鄰,中六路,,,,,,25號之1,120.346146847165,23.8756555037745
彰化縣二林鎮中西里13鄰中六路25號之2,10007,1000720,1000720-005,13鄰,中六路,,,,,,25號之2,120.346129648496,23.8755979861443
彰化縣二林鎮中西里12鄰中六路26號,10007,1000720,1000720-005,12鄰,中六路,,,,,,26號,120.345509164117,23.8756182927008
彰化縣二林鎮中西里13鄰中六路27之15號,10007,1000720,1000720-005,13鄰,中六路,,,,,,27之15號,120.345856722287,23.8754100278605
彰化縣二林鎮中西里13鄰中六路27號,10007,1000720,1000720-005,13鄰,中六路,,,,,,27號,120.345190530883,23.8755319626075
彰化縣二林鎮中西里11鄰中六路27號,10007,1000720,1000720-005,11鄰,中六路,,,,,,27號,120.345190530883,23.8755319626075
彰化縣二林鎮中西里13鄰中六路27之16號,10007,1000720,1000720-005,13鄰,中六路,,,,,,27之16號,120.345758235586,23.8755531484985
彰化縣二林鎮中西里11鄰中六路27號之2,10007,1000720,1000720-005,11鄰,中六路,,,,,,27號之2,120.345259428608,23.8752473443395
彰化縣二林鎮中西里11鄰中六路27號之3,10007,1000720,1000720-005,11鄰,中六路,,,,,,27號之3,120.34533321304,23.8750296631432
彰化縣二林鎮中西里12鄰中六路28號,10007,1000720,1000720-005,12鄰,中六路,,,,,,28號,120.344736551579,23.8755903646951
彰化縣二林鎮中西里12鄰中六路28號之1,10007,1000720,1000720-005,12鄰,中六路,,,,,,28號之1,120.344778847327,23.8754176241374
彰化縣二林鎮中西里12鄰中六路28號之2,10007,1000720,1000720-005,12鄰,中六路,,,,,,28號之2,120.344892831243,23.8751102273447
彰化縣二林鎮中西里12鄰中六路28號之3,10007,1000720,1000720-005,12鄰,中六路,,,,,,28號之3,120.345002563466,23.8757179254521
彰化縣二林鎮中西里12鄰中六路28號之5,10007,1000720,1000720-005,12鄰,中六路,,,,,,28號之5,120.344967314764,23.8744981031991
彰化縣二林鎮中西里12鄰中六路28號之6,10007,1000720,1000720-005,12鄰,中六路,,,,,,28號之6,120.345024318734,23.8744833841599
彰化縣二林鎮中西里12鄰中六路29號,10007,1000720,1000720-005,12鄰,中六路,,,,,,29號,120.344694842769,23.8765807220463
彰化縣二林鎮中西里12鄰中六路30號,10007,1000720,1000720-005,12鄰,中六路,,,,,,30號,120.344573910831,23.8761147906732
彰化縣二林鎮中西里12鄰中六路30號之1,10007,1000720,1000720-005,12鄰,中六路,,,,,,30號之1,120.344304668366,23.8763204967727
彰化縣二林鎮中西里12鄰中六路31號之1,10007,1000720,1000720-005,12鄰,中六路,,,,,,31號之1,120.344577873376,23.8765173528518
彰化縣二林鎮中西里12鄰中六路31號之2,10007,1000720,1000720-005,12鄰,中六路,,,,,,31號之2,120.344505116442,23.876518875986
彰化縣二林鎮中西里12鄰中六路32號,10007,1000720,1000720-005,12鄰,中六路,,,,,,32號,120.344432981324,23.8766094398898
彰化縣二林鎮中西里12鄰中六路33號,10007,1000720,1000720-005,12鄰,中六路,,,,,,33號,120.344583394263,23.8758421274091
彰化縣二林鎮中西里12鄰中六路33號之1,10007,1000720,1000720-005,12鄰,中六路,,,,,,33號之1,120.344585592828,23.8759398069695
