FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣花壇鄉長沙村25鄰中正東街臨32號,10007,1000708,1000708-009,25鄰,中正東街,,,,,,臨32號,120.55129535138,24.0282547735623
彰化縣花壇鄉長沙村18鄰中正東街1號,10007,1000708,1000708-009,18鄰,中正東街,,,,,,1號,120.549473846768,24.0286951167103
彰化縣花壇鄉長沙村18鄰中正東街3號,10007,1000708,1000708-009,18鄰,中正東街,,,,,,3號,120.549519431932,24.0287036480653
彰化縣花壇鄉長沙村18鄰中正東街5號,10007,1000708,1000708-009,18鄰,中正東街,,,,,,5號,120.54957863803,24.0287247702613
彰化縣花壇鄉長沙村18鄰中正東街7號,10007,1000708,1000708-009,18鄰,中正東街,,,,,,7號,120.549633322025,24.0287458791404
彰化縣花壇鄉長沙村18鄰中正東街9巷1號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,1號,120.549585159826,24.0288279949824
彰化縣花壇鄉長沙村18鄰中正東街9巷2號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,2號,120.5497670663,24.0288739473719
彰化縣花壇鄉長沙村18鄰中正東街9巷3號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,3號,120.549574606157,24.0288661581306
彰化縣花壇鄉長沙村18鄰中正東街9巷5號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,5號,120.549558940197,24.0289043965397
彰化縣花壇鄉長沙村18鄰中正東街9巷6號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,6號,120.549753973368,24.0289073175111
彰化縣花壇鄉長沙村18鄰中正東街9巷7號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,7號,120.549548386515,24.0289425596855
彰化縣花壇鄉長沙村18鄰中正東街9巷8號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,8號,120.549740871936,24.0289431255501
彰化縣花壇鄉長沙村18鄰中正東街9巷9號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,9號,120.549532630728,24.0289783599009
彰化縣花壇鄉長沙村18鄰中正東街9巷10號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,10號,120.549727672189,24.0289789332988
彰化縣花壇鄉長沙村18鄰中正東街9巷11號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,11號,120.549519545908,24.0290093824099
彰化縣花壇鄉長沙村18鄰中正東街9巷12號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,12號,120.549712006574,24.0290170814308
彰化縣花壇鄉長沙村18鄰中正東街9巷13號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,13號,120.549509008886,24.0290427600425
彰化縣花壇鄉長沙村18鄰中正東街9巷15號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,15號,120.549498454862,24.0290810134764
彰化縣花壇鄉長沙村18鄰中正東街9巷16號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,16號,120.549698814991,24.0290505415678
彰化縣花壇鄉長沙村18鄰中正東街9巷17號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,17號,120.549487909645,24.0291167387156
彰化縣花壇鄉長沙村18鄰中正東街9巷18號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,18號,120.549685713843,24.0290862593084
彰化縣花壇鄉長沙村18鄰中正東街9巷19號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,19號,120.54946958933,24.0291549693076
彰化縣花壇鄉長沙村18鄰中正東街9巷20號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,20號,120.549672629048,24.0291172818304
彰化縣花壇鄉長沙村18鄰中正東街9巷22號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,22號,120.54965688995,24.0291482965482
彰化縣花壇鄉長沙村18鄰中正東街9巷26號,10007,1000708,1000708-009,18鄰,中正東街,,9巷,,,,26號,120.549643788465,24.0291841045771
彰化縣花壇鄉長沙村18鄰中正東街10巷11號,10007,1000708,1000708-009,18鄰,中正東街,,10巷,,,,11號,120.550087324515,24.0284306438951
彰化縣花壇鄉長沙村25鄰中正東街10巷11號,10007,1000708,1000708-009,25鄰,中正東街,,10巷,,,,11號,120.550087324515,24.0284306438951
彰化縣花壇鄉長沙村18鄰中正東街10巷25號,10007,1000708,1000708-009,18鄰,中正東街,,10巷,,,,25號,120.550060210137,24.0281994127091
彰化縣花壇鄉長沙村25鄰中正東街10巷25號,10007,1000708,1000708-009,25鄰,中正東街,,10巷,,,,25號,120.550060210137,24.0281994127091
彰化縣花壇鄉長沙村18鄰中正東街10巷28號,10007,1000708,1000708-009,18鄰,中正東街,,10巷,,,,28號,120.549741348046,24.0282139160812
彰化縣花壇鄉長沙村25鄰中正東街10巷29號,10007,1000708,1000708-009,25鄰,中正東街,,10巷,,,,29號,120.550105422436,24.0280608545552
彰化縣花壇鄉長沙村25鄰中正東街10巷30號,10007,1000708,1000708-009,25鄰,中正東街,,10巷,,,,30號,120.549753187458,24.0281734993565
彰化縣花壇鄉長沙村25鄰中正東街10巷32號,10007,1000708,1000708-009,25鄰,中正東街,,10巷,,,,32號,120.549767695923,24.0281288466766
彰化縣花壇鄉長沙村25鄰中正東街10巷36號,10007,1000708,1000708-009,25鄰,中正東街,,10巷,,,,36號,120.549776367807,24.0280946508971
彰化縣花壇鄉長沙村25鄰中正東街10巷38號,10007,1000708,1000708-009,25鄰,中正東街,,10巷,,,,38號,120.549787881138,24.0280631722745
彰化縣花壇鄉長沙村25鄰中正東街10巷40號,10007,1000708,1000708-009,25鄰,中正東街,,10巷,,,,40號,120.549805240466,24.0280185279682
彰化縣花壇鄉長沙村25鄰中正東街10巷42號,10007,1000708,1000708-009,25鄰,中正東街,,10巷,,,,42號,120.549816870645,24.0279817223653
彰化縣花壇鄉長沙村25鄰中正東街10巷45號,10007,1000708,1000708-009,25鄰,中正東街,,10巷,,,,45號,120.550320062583,24.0277400395832
彰化縣花壇鄉長沙村25鄰中正東街10巷46號,10007,1000708,1000708-009,25鄰,中正東街,,10巷,,,,46號,120.549822728103,24.0279370442568
彰化縣花壇鄉長沙村25鄰中正東街10巷48號,10007,1000708,1000708-009,25鄰,中正東街,,10巷,,,,48號,120.54984006004,24.0279002554062
彰化縣花壇鄉長沙村25鄰中正東街10巷55號,10007,1000708,1000708-009,25鄰,中正東街,,10巷,,,,55號,120.55028740811,24.0276035101237
彰化縣花壇鄉長沙村25鄰中正東街10巷57號,10007,1000708,1000708-009,25鄰,中正東街,,10巷,,,,57號,120.550327317969,24.0275195639434
