FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣鹿港鎮中興里7鄰介壽路三段4號,10007,1000702,1000702-002,7鄰,介壽路,三段,,,,,4號,120.434497916761,24.0565612532755
彰化縣鹿港鎮中興里7鄰介壽路三段6號,10007,1000702,1000702-002,7鄰,介壽路,三段,,,,,6號,120.434469348314,24.0566183026589
彰化縣鹿港鎮中興里7鄰介壽路三段8號,10007,1000702,1000702-002,7鄰,介壽路,三段,,,,,8號,120.434429448949,24.0566806374048
彰化縣鹿港鎮中興里6鄰介壽路二段臨1號,10007,1000702,1000702-002,6鄰,介壽路,二段,,,,,臨1號,120.435123246234,24.0552216400869
彰化縣鹿港鎮中興里6鄰介壽路二段臨5號,10007,1000702,1000702-002,6鄰,介壽路,二段,,,,,臨5號,120.435093525763,24.0553847786653
彰化縣鹿港鎮中興里6鄰介壽路二段11號,10007,1000702,1000702-002,6鄰,介壽路,二段,,,,,11號,120.435063181744,24.0554207835454
彰化縣鹿港鎮中興里6鄰介壽路二段61號,10007,1000702,1000702-002,6鄰,介壽路,二段,,,,,61號,120.43469846622,24.0560315276377
彰化縣鹿港鎮順興里1鄰介壽路三段1號,10007,1000702,1000702-004,1鄰,介壽路,三段,,,,,1號,120.434433365543,24.0564824605891
彰化縣鹿港鎮順興里11鄰介壽路三段10號,10007,1000702,1000702-004,11鄰,介壽路,三段,,,,,10號,120.434350814607,24.0567639573582
彰化縣鹿港鎮順興里1鄰介壽路三段13號,10007,1000702,1000702-004,1鄰,介壽路,三段,,,,,13號,120.434233709526,24.0566958054195
彰化縣鹿港鎮順興里2鄰介壽路三段19號,10007,1000702,1000702-004,2鄰,介壽路,三段,,,,,19號,120.434180584704,24.0568142529301
彰化縣鹿港鎮順興里2鄰介壽路三段21號,10007,1000702,1000702-004,2鄰,介壽路,三段,,,,,21號,120.434135828732,24.0568853279799
