FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣二水鄉修仁村8鄰修仁路臨13之6號,10007,1000718,1000718-012,8鄰,修仁路,,,,,,臨13之6號,120.632670250966,23.7984320447086
彰化縣二水鄉修仁村9鄰修仁路6號,10007,1000718,1000718-012,9鄰,修仁路,,,,,,6號,120.637055807414,23.7992271652881
彰化縣二水鄉修仁村9鄰修仁路6之2號,10007,1000718,1000718-012,9鄰,修仁路,,,,,,6之2號,120.636451433245,23.799822632182
彰化縣二水鄉修仁村9鄰修仁路6之6號,10007,1000718,1000718-012,9鄰,修仁路,,,,,,6之6號,120.63635270941,23.7998223995541
彰化縣二水鄉修仁村9鄰修仁路6之8號,10007,1000718,1000718-012,9鄰,修仁路,,,,,,6之8號,120.636254090248,23.7998198193904
彰化縣二水鄉修仁村9鄰修仁路7號,10007,1000718,1000718-012,9鄰,修仁路,,,,,,7號,120.637119901019,23.7990570431435
彰化縣二水鄉修仁村9鄰修仁路7號之1,10007,1000718,1000718-012,9鄰,修仁路,,,,,,7號之1,120.635564690736,23.7995898950873
彰化縣二水鄉修仁村9鄰修仁路7號之5,10007,1000718,1000718-012,9鄰,修仁路,,,,,,7號之5,120.635298426807,23.7996154791941
彰化縣二水鄉修仁村8鄰修仁路8號,10007,1000718,1000718-012,8鄰,修仁路,,,,,,8號,120.633260194257,23.7987476269007
彰化縣二水鄉修仁村7鄰修仁路9號,10007,1000718,1000718-012,7鄰,修仁路,,,,,,9號,120.633163961408,23.7989789464672
彰化縣二水鄉修仁村7鄰修仁路10號,10007,1000718,1000718-012,7鄰,修仁路,,,,,,10號,120.633169277366,23.7994063884293
彰化縣二水鄉修仁村7鄰修仁路10之1號,10007,1000718,1000718-012,7鄰,修仁路,,,,,,10之1號,120.63310502183,23.7990836681122
彰化縣二水鄉修仁村7鄰修仁路11號,10007,1000718,1000718-012,7鄰,修仁路,,,,,,11號,120.632731844075,23.7991777275403
彰化縣二水鄉修仁村8鄰修仁路12號,10007,1000718,1000718-012,8鄰,修仁路,,,,,,12號,120.632741164014,23.7987773011081
彰化縣二水鄉修仁村8鄰修仁路13號,10007,1000718,1000718-012,8鄰,修仁路,,,,,,13號,120.633099596344,23.79846467005
彰化縣二水鄉修仁村8鄰修仁路13之13號,10007,1000718,1000718-012,8鄰,修仁路,,,,,,13之13號,120.632713082654,23.7983811289183
彰化縣二水鄉修仁村8鄰修仁路13之7號,10007,1000718,1000718-012,8鄰,修仁路,,,,,,13之7號,120.632467610488,23.7980107786995
彰化縣二水鄉修仁村8鄰修仁路13之11號,10007,1000718,1000718-012,8鄰,修仁路,,,,,,13之11號,120.632527372235,23.797739353115
彰化縣二水鄉修仁村8鄰修仁路13之12號,10007,1000718,1000718-012,8鄰,修仁路,,,,,,13之12號,120.632544876493,23.7976984993329
