FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣鹿港鎮東石里18鄰北興街1號,10007,1000702,1000702-008,18鄰,北興街,,,,,,1號,120.429694492179,24.0643492701081
彰化縣鹿港鎮東石里18鄰北興街1之1號,10007,1000702,1000702-008,18鄰,北興街,,,,,,1之1號,120.42952356521,24.064443349302
彰化縣鹿港鎮東石里18鄰北興街1之2號,10007,1000702,1000702-008,18鄰,北興街,,,,,,1之2號,120.429487169465,24.0644461029562
彰化縣鹿港鎮東石里18鄰北興街1之3號,10007,1000702,1000702-008,18鄰,北興街,,,,,,1之3號,120.429446592146,24.0644382768449
彰化縣鹿港鎮東石里18鄰北興街1之4號,10007,1000702,1000702-008,18鄰,北興街,,,,,,1之4號,120.429401854924,24.0644372071122
彰化縣鹿港鎮東石里18鄰北興街1之5號,10007,1000702,1000702-008,18鄰,北興街,,,,,,1之5號,120.429362346489,24.0644322743087
彰化縣鹿港鎮東石里18鄰北興街1之6號,10007,1000702,1000702-008,18鄰,北興街,,,,,,1之6號,120.429321731241,24.0644330257642
彰化縣鹿港鎮東石里18鄰北興街2號,10007,1000702,1000702-008,18鄰,北興街,,,,,,2號,120.429857679029,24.064404504881
彰化縣鹿港鎮東石里18鄰北興街3號,10007,1000702,1000702-008,18鄰,北興街,,,,,,3號,120.429703515751,24.0643767525117
彰化縣鹿港鎮東石里18鄰北興街4號,10007,1000702,1000702-008,18鄰,北興街,,,,,,4號,120.429861642203,24.0644422617111
彰化縣鹿港鎮東石里18鄰北興街5號,10007,1000702,1000702-008,18鄰,北興街,,,,,,5號,120.429702052641,24.0644185522629
彰化縣鹿港鎮東石里18鄰北興街6號,10007,1000702,1000702-008,18鄰,北興街,,,,,,6號,120.429858046554,24.0644771010333
彰化縣鹿港鎮東石里18鄰北興街7號,10007,1000702,1000702-008,18鄰,北興街,,,,,,7號,120.429707007474,24.0644544166598
彰化縣鹿港鎮東石里18鄰北興街8號,10007,1000702,1000702-008,18鄰,北興街,,,,,,8號,120.42985441579,24.064519885922
彰化縣鹿港鎮東石里18鄰北興街9號,10007,1000702,1000702-008,18鄰,北興街,,,,,,9號,120.429708220491,24.0644914409074
彰化縣鹿港鎮東石里18鄰北興街10號,10007,1000702,1000702-008,18鄰,北興街,,,,,,10號,120.429853967972,24.0645544660961
彰化縣鹿港鎮東石里18鄰北興街11號,10007,1000702,1000702-008,18鄰,北興街,,,,,,11號,120.429708035702,24.0645332454223
彰化縣鹿港鎮東石里18鄰北興街12號,10007,1000702,1000702-008,18鄰,北興街,,,,,,12號,120.42985379081,24.0645945550916
彰化縣鹿港鎮東石里18鄰北興街13號,10007,1000702,1000702-008,18鄰,北興街,,,,,,13號,120.429693536682,24.0645654256351
彰化縣鹿港鎮東石里18鄰北興街14號,10007,1000702,1000702-008,18鄰,北興街,,,,,,14號,120.429848427164,24.0646289363653
彰化縣鹿港鎮東石里18鄰北興街15號,10007,1000702,1000702-008,18鄰,北興街,,,,,,15號,120.429693335922,24.0646108417705
彰化縣鹿港鎮東石里18鄰北興街16號,10007,1000702,1000702-008,18鄰,北興街,,,,,,16號,120.429848266759,24.0646652331581
彰化縣鹿港鎮東石里18鄰北興街17號,10007,1000702,1000702-008,18鄰,北興街,,,,,,17號,120.429695941955,24.0646441692366
彰化縣鹿港鎮東石里18鄰北興街18號,10007,1000702,1000702-008,18鄰,北興街,,,,,,18號,120.429844963703,24.0647006153211
彰化縣鹿港鎮東石里18鄰北興街19號,10007,1000702,1000702-008,18鄰,北興街,,,,,,19號,120.429691719939,24.064687222792
彰化縣鹿港鎮東石里18鄰北興街20號,10007,1000702,1000702-008,18鄰,北興街,,,,,,20號,120.429849981405,24.0647445159364
