FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣員林鎮出水里10鄰員南路臨60號,10007,1000710,1000710-028,10鄰,員南路,,,,,,臨60號,120.61835728384,23.9414554476444
彰化縣員林鎮出水里10鄰員南路建12號,10007,1000710,1000710-028,10鄰,員南路,,,,,,建12號,120.62662411557,23.9387815353819
彰化縣員林鎮出水里10鄰員南路30巷臨35號,10007,1000710,1000710-028,10鄰,員南路,,30巷,,,,臨35號,120.622050936604,23.9409712973601
彰化縣員林鎮出水里10鄰員南路30巷41弄81號之1,10007,1000710,1000710-028,10鄰,員南路,,30巷,41弄,,,81號之1,120.621837456754,23.941375836011
彰化縣員林鎮出水里10鄰員南路30巷41弄91號之1,10007,1000710,1000710-028,10鄰,員南路,,30巷,41弄,,,91號之1,120.62175701241,23.9417410623945
彰化縣員林鎮出水里10鄰員南路30巷201號之1,10007,1000710,1000710-028,10鄰,員南路,,30巷,,,,201號之1,120.622626070171,23.9415032856039
彰化縣員林鎮出水里10鄰員南路臨50號,10007,1000710,1000710-028,10鄰,員南路,,,,,,臨50號,120.620540429789,23.9407484272998
彰化縣員林鎮出水里10鄰員南路臨52號,10007,1000710,1000710-028,10鄰,員南路,,,,,,臨52號,120.620319561002,23.94078923674
彰化縣員林鎮出水里10鄰員南路臨70號,10007,1000710,1000710-028,10鄰,員南路,,,,,,臨70號,120.616539394154,23.9415597261234
彰化縣員林鎮出水里10鄰員南路90號,10007,1000710,1000710-028,10鄰,員南路,,,,,,90號,120.614212201251,23.9421635716661
彰化縣員林鎮出水里10鄰員南路106號,10007,1000710,1000710-028,10鄰,員南路,,,,,,106號,120.613747630498,23.94192592141
彰化縣員林鎮出水里10鄰員南路臨110號,10007,1000710,1000710-028,10鄰,員南路,,,,,,臨110號,120.613563331402,23.9418585492354
彰化縣員林鎮出水里10鄰員南路臨116號,10007,1000710,1000710-028,10鄰,員南路,,,,,,臨116號,120.613284717558,23.9420226366055
彰化縣員林鎮出水里10鄰員南路臨136號,10007,1000710,1000710-028,10鄰,員南路,,,,,,臨136號,120.610858857825,23.9421376863948
彰化縣員林鎮林厝里1鄰員南路臨156之1號,10007,1000710,1000710-027,1鄰,員南路,,,,,,臨156之1號,120.609000188368,23.9409359251536
彰化縣員林鎮林厝里1鄰員南路臨151之2號,10007,1000710,1000710-027,1鄰,員南路,,,,,,臨151之2號,120.61100408106,23.9401316977647
彰化縣員林鎮林厝里1鄰員南路臨151之8號,10007,1000710,1000710-027,1鄰,員南路,,,,,,臨151之8號,120.611215926085,23.9401194121432
彰化縣員林鎮林厝里1鄰員南路臨151之10號,10007,1000710,1000710-027,1鄰,員南路,,,,,,臨151之10號,120.611232046627,23.9400508286763
彰化縣員林鎮林厝里1鄰員南路臨151之12號,10007,1000710,1000710-027,1鄰,員南路,,,,,,臨151之12號,120.611492209833,23.9401096368794
彰化縣員林鎮林厝里1鄰員南路臨1之100號,10007,1000710,1000710-027,1鄰,員南路,,,,,,臨1之100號,120.627176445661,23.9348747184159
彰化縣員林鎮林厝里1鄰員南路17號,10007,1000710,1000710-027,1鄰,員南路,,,,,,17號,120.620063982543,23.9403034490515
