FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣溪湖鎮大突里18鄰大公十三街2號,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,2號,120.4697304281,23.961606898086
彰化縣溪湖鎮大突里18鄰大公十三街6號,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,6號,120.469770614336,23.9616070368905
彰化縣溪湖鎮大突里18鄰大公十三街8號,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,8號,120.469808906205,23.9616018869649
彰化縣溪湖鎮大突里18鄰大公十三街10號,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,10號,120.469849586217,23.9615966098365
彰化縣溪湖鎮大突里18鄰大公十三街12號,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,12號,120.469891444953,23.9615914180317
彰化縣溪湖鎮大突里18鄰大公十三街14號,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,14號,120.469939109439,23.9615865171426
彰化縣溪湖鎮大突里18鄰大公十三街53號,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,53號,120.47060745523,23.9617243902128
彰化縣溪湖鎮大突里18鄰大公十三街55號,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,55號,120.470622386659,23.9617733808511
彰化縣溪湖鎮大突里18鄰大公十三街57號,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,57號,120.470629768684,23.9618183725355
彰化縣溪湖鎮大突里18鄰大公十三街59號,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,59號,120.47063282786,23.9618632590192
彰化縣溪湖鎮大突里18鄰大公十三街66號二樓之1,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號二樓之1,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號二樓之2,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號二樓之2,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號二樓之3,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號二樓之3,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號二樓之5,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號二樓之5,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號三樓之1,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號三樓之1,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號三樓之2,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號三樓之2,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號三樓之3,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號三樓之3,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號三樓之5,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號三樓之5,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號四樓之1,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號四樓之1,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號四樓之2,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號四樓之2,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號四樓之3,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號四樓之3,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號四樓之5,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號四樓之5,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號五樓之1,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號五樓之1,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號五樓之2,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號五樓之2,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號五樓之3,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號五樓之3,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號五樓之5,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號五樓之5,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號六樓之1,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號六樓之1,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號六樓之2,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號六樓之2,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號六樓之3,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號六樓之3,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號六樓之5,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號六樓之5,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號七樓之1,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號七樓之1,120.470805633551,23.9617977598703
彰化縣溪湖鎮大突里18鄰大公十三街66號七樓之2,10007,1000711,1000711-007,18鄰,大公十三街,,,,,,66號七樓之2,120.470805633551,23.9617977598703
