FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣伸港鄉大同村11鄰大同一街25號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,25號,120.490758270462,24.1520460767973
彰化縣伸港鄉大同村11鄰大同一街33號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,33號,120.49099395692,24.1519926881302
彰化縣伸港鄉大同村11鄰大同一街47號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,47號,120.491274107647,24.1518680266667
彰化縣伸港鄉大同村11鄰大同一街49號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,49號,120.491334167834,24.1518591074168
彰化縣伸港鄉大同村11鄰大同一街51號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,51號,120.491386661926,24.1518474541787
彰化縣伸港鄉大同村11鄰大同一街53號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,53號,120.491447324648,24.1518354669775
彰化縣伸港鄉大同村11鄰大同一街55號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,55號,120.491503251647,24.1518266241787
彰化縣伸港鄉大同村11鄰大同一街69號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,69號,120.491715055484,24.1517657508946
彰化縣伸港鄉大同村11鄰大同一街71號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,71號,120.491767652191,24.1517530143668
彰化縣伸港鄉大同村11鄰大同一街73號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,73號,120.491814832958,24.1517412529933
彰化縣伸港鄉大同村11鄰大同一街75號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,75號,120.491864170661,24.1517314852026
彰化縣伸港鄉大同村11鄰大同一街77號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,77號,120.491919999189,24.1517226419221
彰化縣伸港鄉大同村11鄰大同一街93號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,93號,120.492233246006,24.1516389909598
彰化縣伸港鄉大同村11鄰大同一街111號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,111號,120.492501848793,24.1515725268832
彰化縣伸港鄉大同村11鄰大同一街121號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,121號,120.492830353994,24.1514871195918
彰化縣伸港鄉大同村11鄰大同一街125號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,125號,120.492986167598,24.1514508886389
彰化縣伸港鄉大同村11鄰大同一街127號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,127號,120.49302624626,24.1514434372901
彰化縣伸港鄉大同村11鄰大同一街129號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,129號,120.493064554077,24.1514358897568
彰化縣伸港鄉大同村11鄰大同一街131號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,131號,120.493117953039,24.1514192728843
彰化縣伸港鄉大同村11鄰大同一街133號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,133號,120.493167088029,24.1514109486617
彰化縣伸港鄉大同村11鄰大同一街135號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,135號,120.493199709651,24.1513980550034
彰化縣伸港鄉大同村11鄰大同一街137號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,137號,120.493366212884,24.1513459678307
彰化縣伸港鄉大同村11鄰大同一街139號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,139號,120.493401769732,24.1513373275797
彰化縣伸港鄉大同村11鄰大同一街141號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,141號,120.493445299447,24.1513280817432
彰化縣伸港鄉大同村11鄰大同一街143號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,143號,120.493494548443,24.1513157849609
彰化縣伸港鄉大同村11鄰大同一街145號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,145號,120.493535928654,24.151302649424
彰化縣伸港鄉大同村11鄰大同一街147號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,147號,120.49357760797,24.1512885216604
彰化縣伸港鄉大同村11鄰大同一街149號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,149號,120.493624798018,24.1512743218788
彰化縣伸港鄉大同村11鄰大同一街151號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,151號,120.493664486195,24.1512660564406
彰化縣伸港鄉大同村11鄰大同一街153號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,153號,120.493706351256,24.1512547282984
彰化縣伸港鄉大同村11鄰大同一街155號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,155號,120.49375353523,24.1512420634142
彰化縣伸港鄉大同村11鄰大同一街157號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,157號,120.493799718125,24.1512337291935
彰化縣伸港鄉大同村11鄰大同一街159號,10007,1000705,1000705-012,11鄰,大同一街,,,,,,159號,120.49384906154,24.1512224258168
彰化縣伸港鄉新港村12鄰大同一街臨100號,10007,1000705,1000705-010,12鄰,大同一街,,,,,,臨100號,120.492065068262,24.1514921588772
彰化縣伸港鄉新港村12鄰大同一街158號,10007,1000705,1000705-010,12鄰,大同一街,,,,,,158號,120.493730247729,24.1510837049211
彰化縣溪湖鎮大突里18鄰大同一街6號,10007,1000711,1000711-007,18鄰,大同一街,,,,,,6號,120.471949468804,23.9598526558741
彰化縣溪湖鎮大突里18鄰大同一街7號,10007,1000711,1000711-007,18鄰,大同一街,,,,,,7號,120.47191759111,23.9596605999473
彰化縣溪湖鎮大突里18鄰大同一街9號,10007,1000711,1000711-007,18鄰,大同一街,,,,,,9號,120.471876998909,23.9596613722829
彰化縣溪湖鎮大突里18鄰大同一街10號,10007,1000711,1000711-007,18鄰,大同一街,,,,,,10號,120.471892083897,23.9598657045679
彰化縣溪湖鎮大突里18鄰大同一街11號,10007,1000711,1000711-007,18鄰,大同一街,,,,,,11號,120.471837413891,23.9596585092378
彰化縣溪湖鎮大突里18鄰大同一街12號,10007,1000711,1000711-007,18鄰,大同一街,,,,,,12號,120.471846041758,23.9598463768357
彰化縣溪湖鎮大突里18鄰大同一街12之1號,10007,1000711,1000711-007,18鄰,大同一街,,,,,,12之1號,120.471809683684,23.9598738274383
彰化縣溪湖鎮大突里18鄰大同一街13號,10007,1000711,1000711-007,18鄰,大同一街,,,,,,13號,120.471793854438,23.9596592713433
彰化縣溪湖鎮大突里18鄰大同一街15號,10007,1000711,1000711-007,18鄰,大同一街,,,,,,15號,120.471754254634,23.9596600380314
彰化縣溪湖鎮大突里18鄰大同一街16號,10007,1000711,1000711-007,18鄰,大同一街,,,,,,16號,120.471760399478,23.9598520054506
彰化縣溪湖鎮大突里18鄰大同一街17號,10007,1000711,1000711-007,18鄰,大同一街,,,,,,17號,120.471707753864,23.9596544242885
彰化縣溪湖鎮湖西里15鄰大同一街3號,10007,1000711,1000711-011,15鄰,大同一街,,,,,,3號,120.47203647954,23.9597015868176
