FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣埤頭鄉合興村11鄰大同街190號,10007,1000722,1000722-007,11鄰,大同街,,,,,,190號,120.458476952488,23.889944093844
彰化縣埤頭鄉合興村11鄰大同街192號,10007,1000722,1000722-007,11鄰,大同街,,,,,,192號,120.458418785857,23.8899515641342
彰化縣埤頭鄉合興村11鄰大同街194巷2號,10007,1000722,1000722-007,11鄰,大同街,,194巷,,,,2號,120.458401686138,23.8900489315432
彰化縣埤頭鄉合興村11鄰大同街194巷6號,10007,1000722,1000722-007,11鄰,大同街,,194巷,,,,6號,120.458399440843,23.8900928969857
彰化縣埤頭鄉合興村11鄰大同街194巷8號,10007,1000722,1000722-007,11鄰,大同街,,194巷,,,,8號,120.458397211711,23.8901329798281
彰化縣埤頭鄉合興村11鄰大同街194巷10號,10007,1000722,1000722-007,11鄰,大同街,,194巷,,,,10號,120.458405383576,23.8901750857576
彰化縣埤頭鄉合興村11鄰大同街232號,10007,1000722,1000722-007,11鄰,大同街,,,,,,232號,120.457341332837,23.8900672272465
彰化縣埤頭鄉合興村13鄰大同街308號,10007,1000722,1000722-007,13鄰,大同街,,,,,,308號,120.456281946626,23.8904367639648
彰化縣埤頭鄉合興村13鄰大同街310號,10007,1000722,1000722-007,13鄰,大同街,,,,,,310號,120.456290741443,23.8904941319367
彰化縣埤頭鄉合興村13鄰大同街318之8號,10007,1000722,1000722-007,13鄰,大同街,,,,,,318之8號,120.456614333789,23.8906549154623
彰化縣埤頭鄉合興村13鄰大同街318號,10007,1000722,1000722-007,13鄰,大同街,,,,,,318號,120.456305197124,23.8906538233735
彰化縣埤頭鄉合興村13鄰大同街318之5號,10007,1000722,1000722-007,13鄰,大同街,,,,,,318之5號,120.456468868339,23.8906615349043
彰化縣埤頭鄉合興村13鄰大同街318之6號,10007,1000722,1000722-007,13鄰,大同街,,,,,,318之6號,120.456515632,23.8906569144978
彰化縣埤頭鄉合興村13鄰大同街318之7號,10007,1000722,1000722-007,13鄰,大同街,,,,,,318之7號,120.456565036899,23.8906547413526
彰化縣埤頭鄉合興村13鄰大同街318之9號,10007,1000722,1000722-007,13鄰,大同街,,,,,,318之9號,120.456658544218,23.890650285995
彰化縣埤頭鄉合興村13鄰大同街318之10號,10007,1000722,1000722-007,13鄰,大同街,,,,,,318之10號,120.456718378781,23.8906432737382
彰化縣埤頭鄉合興村13鄰大同街320號,10007,1000722,1000722-007,13鄰,大同街,,,,,,320號,120.456307570705,23.8906968118559
彰化縣埤頭鄉合興村13鄰大同街322號,10007,1000722,1000722-007,13鄰,大同街,,,,,,322號,120.456304847646,23.8907374346758
彰化縣埤頭鄉合興村13鄰大同街326號,10007,1000722,1000722-007,13鄰,大同街,,,,,,326號,120.45630724123,23.8907756376296
彰化縣埤頭鄉合興村13鄰大同街346巷1號,10007,1000722,1000722-007,13鄰,大同街,,346巷,,,,1號,120.456348265465,23.8912044096987
彰化縣埤頭鄉合興村13鄰大同街346巷2號,10007,1000722,1000722-007,13鄰,大同街,,346巷,,,,2號,120.456346123499,23.8910825048091
彰化縣埤頭鄉合興村13鄰大同街346巷3號,10007,1000722,1000722-007,13鄰,大同街,,346巷,,,,3號,120.456410633534,23.8912021921166
彰化縣埤頭鄉合興村13鄰大同街346巷5號,10007,1000722,1000722-007,13鄰,大同街,,346巷,,,,5號,120.456465253502,23.8911975994854
彰化縣埤頭鄉合興村13鄰大同街346巷7號,10007,1000722,1000722-007,13鄰,大同街,,346巷,,,,7號,120.456532747657,23.8911907046586
彰化縣埤頭鄉合興村13鄰大同街346巷10號,10007,1000722,1000722-007,13鄰,大同街,,346巷,,,,10號,120.456522955626,23.8910664250942
彰化縣埤頭鄉合興村13鄰大同街365巷2號,10007,1000722,1000722-007,13鄰,大同街,,365巷,,,,2號,120.456190278967,23.891668957348
彰化縣埤頭鄉合興村13鄰大同街365巷6號,10007,1000722,1000722-007,13鄰,大同街,,365巷,,,,6號,120.45613400371,23.8916701128434
彰化縣埤頭鄉合興村13鄰大同街365巷8號,10007,1000722,1000722-007,13鄰,大同街,,365巷,,,,8號,120.456077624587,23.8916726223656
彰化縣埤頭鄉合興村13鄰大同街365巷10號,10007,1000722,1000722-007,13鄰,大同街,,365巷,,,,10號,120.456026636739,23.8916774985806
彰化縣埤頭鄉合興村13鄰大同街365巷12號,10007,1000722,1000722-007,13鄰,大同街,,365巷,,,,12號,120.455979690266,23.8916787772967
彰化縣埤頭鄉合興村13鄰大同街365巷16號,10007,1000722,1000722-007,13鄰,大同街,,365巷,,,,16號,120.455927405395,23.8916885247847
彰化縣埤頭鄉合興村13鄰大同街365巷18弄1號,10007,1000722,1000722-007,13鄰,大同街,,365巷,18弄,,,1號,120.455814733909,23.8918136353816
彰化縣埤頭鄉合興村13鄰大同街365巷18弄2號,10007,1000722,1000722-007,13鄰,大同街,,365巷,18弄,,,2號,120.455969036946,23.8918074993001
彰化縣埤頭鄉合興村13鄰大同街365巷18弄3號,10007,1000722,1000722-007,13鄰,大同街,,365巷,18弄,,,3號,120.455817490326,23.8918589728688
彰化縣埤頭鄉合興村13鄰大同街365巷18弄5號,10007,1000722,1000722-007,13鄰,大同街,,365巷,18弄,,,5號,120.455818778627,23.8919031313373
彰化縣埤頭鄉合興村13鄰大同街365巷18弄6號,10007,1000722,1000722-007,13鄰,大同街,,365巷,18弄,,,6號,120.455969038477,23.8918540911643
彰化縣埤頭鄉合興村13鄰大同街365巷18弄7號,10007,1000722,1000722-007,13鄰,大同街,,365巷,18弄,,,7號,120.455825551127,23.8919509209749
彰化縣埤頭鄉合興村13鄰大同街365巷18弄8號,10007,1000722,1000722-007,13鄰,大同街,,365巷,18弄,,,8號,120.455965023927,23.8918982308811
彰化縣埤頭鄉合興村13鄰大同街365巷18弄10號,10007,1000722,1000722-007,13鄰,大同街,,365巷,18弄,,,10號,120.45596896373,23.8919423987246
彰化縣埤頭鄉合興村13鄰大同街365巷20號,10007,1000722,1000722-007,13鄰,大同街,,365巷,,,,20號,120.455813438107,23.8917008532185
彰化縣埤頭鄉合興村13鄰大同街365巷22號,10007,1000722,1000722-007,13鄰,大同街,,365巷,,,,22號,120.455759819194,23.8917008441464
彰化縣埤頭鄉合興村13鄰大同街365巷26號,10007,1000722,1000722-007,13鄰,大同街,,365巷,,,,26號,120.455707461791,23.8917044512904
彰化縣埤頭鄉合興村13鄰大同街366號,10007,1000722,1000722-007,13鄰,大同街,,,,,,366號,120.456359294225,23.8915778607834
彰化縣埤頭鄉合興村13鄰大同街368號,10007,1000722,1000722-007,13鄰,大同街,,,,,,368號,120.456365497347,23.891627996042
彰化縣埤頭鄉合興村13鄰大同街373號,10007,1000722,1000722-007,13鄰,大同街,,,,,,373號,120.456190257325,23.8917915769356
彰化縣埤頭鄉合興村13鄰大同街375號,10007,1000722,1000722-007,13鄰,大同街,,,,,,375號,120.456186217181,23.8918418565817
彰化縣埤頭鄉合興村13鄰大同街377號,10007,1000722,1000722-007,13鄰,大同街,,,,,,377號,120.456188901197,23.8918810537957
彰化縣埤頭鄉合興村13鄰大同街379號,10007,1000722,1000722-007,13鄰,大同街,,,,,,379號,120.45618760051,23.8919337810702
彰化縣埤頭鄉平原村16鄰大同街2之1號,10007,1000722,1000722-008,16鄰,大同街,,,,,,2之1號,120.46291588299,23.8897284087554
彰化縣埤頭鄉平原村16鄰大同街35號,10007,1000722,1000722-008,16鄰,大同街,,,,,,35號,120.461739105675,23.8894734587507
彰化縣埤頭鄉平原村16鄰大同街61巷臨36號,10007,1000722,1000722-008,16鄰,大同街,,61巷,,,,臨36號,120.461018041026,23.8891344977284
彰化縣埤頭鄉平原村16鄰大同街72之1號,10007,1000722,1000722-008,16鄰,大同街,,,,,,72之1號,120.460886863124,23.8897933677097
彰化縣埤頭鄉平原村16鄰大同街72號,10007,1000722,1000722-008,16鄰,大同街,,,,,,72號,120.46095553663,23.8897860235876
彰化縣埤頭鄉平原村16鄰大同街76號,10007,1000722,1000722-008,16鄰,大同街,,,,,,76號,120.460832836814,23.889797061059
彰化縣埤頭鄉平原村16鄰大同街78號,10007,1000722,1000722-008,16鄰,大同街,,,,,,78號,120.460782935292,23.8898006785503
彰化縣埤頭鄉平原村16鄰大同街80號,10007,1000722,1000722-008,16鄰,大同街,,,,,,80號,120.460733033768,23.8898042960254
彰化縣埤頭鄉平原村16鄰大同街82號,10007,1000722,1000722-008,16鄰,大同街,,,,,,82號,120.460679023547,23.8898041067189
彰化縣埤頭鄉平原村16鄰大同街102號,10007,1000722,1000722-008,16鄰,大同街,,,,,,102號,120.460234572714,23.8898252120798
彰化縣埤頭鄉平原村16鄰大同街108號,10007,1000722,1000722-008,16鄰,大同街,,,,,,108號,120.460153998916,23.8898368482557
