FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣社頭鄉橋頭村10鄰媽祖廟街8號,10007,1000717,1000717-008,10鄰,媽祖廟街,,,,,,8號,120.582374672416,23.9158702950912
彰化縣社頭鄉橋頭村10鄰媽祖廟街10號,10007,1000717,1000717-008,10鄰,媽祖廟街,,,,,,10號,120.582245725119,23.9159559960345
彰化縣社頭鄉橋頭村10鄰媽祖廟街12號,10007,1000717,1000717-008,10鄰,媽祖廟街,,,,,,12號,120.58253243447,23.9159813531832
彰化縣社頭鄉橋頭村10鄰媽祖廟街16號,10007,1000717,1000717-008,10鄰,媽祖廟街,,,,,,16號,120.582272751864,23.9160855978617
彰化縣社頭鄉橋頭村10鄰媽祖廟街20號,10007,1000717,1000717-008,10鄰,媽祖廟街,,,,,,20號,120.582289566106,23.91618383049
彰化縣社頭鄉橋頭村10鄰媽祖廟街20號之1,10007,1000717,1000717-008,10鄰,媽祖廟街,,,,,,20號之1,120.582424012728,23.9161657845471
彰化縣社頭鄉橋頭村10鄰媽祖廟街20號之2,10007,1000717,1000717-008,10鄰,媽祖廟街,,,,,,20號之2,120.58258358019,23.9161430391104
彰化縣社頭鄉橋頭村10鄰媽祖廟街22號,10007,1000717,1000717-008,10鄰,媽祖廟街,,,,,,22號,120.582301708202,23.9162321713831
彰化縣社頭鄉橋頭村10鄰媽祖廟街24號,10007,1000717,1000717-008,10鄰,媽祖廟街,,,,,,24號,120.582306938245,23.9162857396436
彰化縣社頭鄉橋頭村10鄰媽祖廟街26號,10007,1000717,1000717-008,10鄰,媽祖廟街,,,,,,26號,120.582308194132,23.9163228272718
彰化縣社頭鄉橋頭村10鄰媽祖廟街28號,10007,1000717,1000717-008,10鄰,媽祖廟街,,,,,,28號,120.582315994213,23.9163621810288
彰化縣社頭鄉橋頭村10鄰媽祖廟街30號,10007,1000717,1000717-008,10鄰,媽祖廟街,,,,,,30號,120.582318642243,23.9164245279906
彰化縣社頭鄉橋頭村10鄰媽祖廟街32號,10007,1000717,1000717-008,10鄰,媽祖廟街,,,,,,32號,120.582326701404,23.9164810656163
彰化縣社頭鄉橋頭村10鄰媽祖廟街42號,10007,1000717,1000717-008,10鄰,媽祖廟街,,,,,,42號,120.5823510381,23.9166072740468
彰化縣社頭鄉橋頭村9鄰媽祖廟街43號,10007,1000717,1000717-008,9鄰,媽祖廟街,,,,,,43號,120.58224171629,23.9166925948684
彰化縣社頭鄉橋頭村10鄰媽祖廟街44號,10007,1000717,1000717-008,10鄰,媽祖廟街,,,,,,44號,120.582359920348,23.9166949928179
彰化縣社頭鄉橋頭村9鄰媽祖廟街48號,10007,1000717,1000717-008,9鄰,媽祖廟街,,,,,,48號,120.582352080081,23.9167842372942
彰化縣社頭鄉橋頭村9鄰媽祖廟街50號,10007,1000717,1000717-008,9鄰,媽祖廟街,,,,,,50號,120.582355718072,23.9168258551777
彰化縣社頭鄉橋頭村9鄰媽祖廟街53號,10007,1000717,1000717-008,9鄰,媽祖廟街,,,,,,53號,120.5821920936,23.9168820436886
彰化縣社頭鄉橋頭村9鄰媽祖廟街56號,10007,1000717,1000717-008,9鄰,媽祖廟街,,,,,,56號,120.582311919385,23.9169574948508
彰化縣社頭鄉橋頭村9鄰媽祖廟街57號,10007,1000717,1000717-008,9鄰,媽祖廟街,,,,,,57號,120.582183769511,23.9169628713312
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷9號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,,,,9號,120.582457910705,23.917051708082
彰化縣社頭鄉橋頭村9鄰媽祖廟街58巷10號,10007,1000717,1000717-008,9鄰,媽祖廟街,,58巷,,,,10號,120.58250481049,23.9169667413172
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷13號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,,,,13號,120.582638454707,23.9170427805534
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷15號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,,,,15號,120.582690965622,23.9170517720269
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷17弄9號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,17弄,,,9號,120.582521629816,23.9173630291402
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷17弄13號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,17弄,,,13號,120.582500408211,23.9174349638188
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷17弄15號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,17弄,,,15號,120.582497064549,23.9174698447775
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷17弄16號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,17弄,,,16號,120.582586016132,23.917427042636
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷17弄17號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,17弄,,,17號,120.582489667231,23.917509906697
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷17弄19號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,17弄,,,19號,120.582486321488,23.9175484897499
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷17弄21號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,17弄,,,21號,120.582481347619,23.9175863279605
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷17弄23號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,17弄,,,23號,120.582474779877,23.9176219315522
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷19號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,,,,19號,120.582776020626,23.9170660708679
彰化縣社頭鄉橋頭村9鄰媽祖廟街58巷20號,10007,1000717,1000717-008,9鄰,媽祖廟街,,58巷,,,,20號,120.582783770731,23.9169589386581
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷21號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,,,,21號,120.582827614309,23.9170548246647
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷23號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,,,,23號,120.582871282982,23.9170553043389
彰化縣社頭鄉橋頭村9鄰媽祖廟街58巷24號,10007,1000717,1000717-008,9鄰,媽祖廟街,,58巷,,,,24號,120.582906057362,23.9169686340879
彰化縣社頭鄉橋頭村9鄰媽祖廟街58巷24號之1,10007,1000717,1000717-008,9鄰,媽祖廟街,,58巷,,,,24號之1,120.582783466258,23.9168029439447
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷25號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,,,,25號,120.582916103035,23.9170551099108
彰化縣社頭鄉橋頭村9鄰媽祖廟街58巷26弄1號,10007,1000717,1000717-008,9鄰,媽祖廟街,,58巷,26弄,,,1號,120.582985832802,23.9168559454586
彰化縣社頭鄉橋頭村9鄰媽祖廟街58巷26弄3號,10007,1000717,1000717-008,9鄰,媽祖廟街,,58巷,26弄,,,3號,120.58296092429,23.9168189291178
彰化縣社頭鄉橋頭村9鄰媽祖廟街58巷26弄5號,10007,1000717,1000717-008,9鄰,媽祖廟街,,58巷,26弄,,,5號,120.58293070734,23.9167832798873
彰化縣社頭鄉橋頭村9鄰媽祖廟街58巷26弄7號,10007,1000717,1000717-008,9鄰,媽祖廟街,,58巷,26弄,,,7號,120.582905783175,23.9167511484624
彰化縣社頭鄉橋頭村9鄰媽祖廟街58巷26弄9號,10007,1000717,1000717-008,9鄰,媽祖廟街,,58巷,26弄,,,9號,120.582881606406,23.9167218001518
彰化縣社頭鄉橋頭村9鄰媽祖廟街58巷26弄11號,10007,1000717,1000717-008,9鄰,媽祖廟街,,58巷,26弄,,,11號,120.582852902098,23.9166861640398
彰化縣社頭鄉橋頭村9鄰媽祖廟街58巷26號,10007,1000717,1000717-008,9鄰,媽祖廟街,,58巷,,,,26號,120.582959573299,23.9169766439793
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷27號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,,,,27號,120.582958932006,23.917054025176
彰化縣社頭鄉橋頭村9鄰媽祖廟街58巷28號,10007,1000717,1000717-008,9鄰,媽祖廟街,,58巷,,,,28號,120.582992065879,23.9169826915993
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷29號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,,,,29號,120.583006158572,23.9170568801962
彰化縣社頭鄉橋頭村9鄰媽祖廟街58巷30號,10007,1000717,1000717-008,9鄰,媽祖廟街,,58巷,,,,30號,120.583020648682,23.9169827691286
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷31號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,,,,31號,120.583052462137,23.9170565813982
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷33弄1號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,33弄,,,1號,120.583055770632,23.9172805132906
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷33弄3號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,33弄,,,3號,120.583052298764,23.9173217236053
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷33弄5號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,33弄,,,5號,120.583050826761,23.9173610882934
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷33弄7號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,33弄,,,7號,120.5830533819,23.9174004639036
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷33弄9號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,33弄,,,9號,120.583054605179,23.9174355378528
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷33弄11號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,33弄,,,11號,120.583054500565,23.9174681341137
彰化縣社頭鄉橋頭村6鄰媽祖廟街58巷39號,10007,1000717,1000717-008,6鄰,媽祖廟街,,58巷,,,,39號,120.583181108874,23.9170555577673
彰化縣社頭鄉橋頭村9鄰媽祖廟街58巷臨40號,10007,1000717,1000717-008,9鄰,媽祖廟街,,58巷,,,,臨40號,120.58309487514,23.9167198684463
彰化縣社頭鄉橋頭村9鄰媽祖廟街59號,10007,1000717,1000717-008,9鄰,媽祖廟街,,,,,,59號,120.582171604045,23.9169981436657
彰化縣社頭鄉橋頭村9鄰媽祖廟街61號,10007,1000717,1000717-008,9鄰,媽祖廟街,,,,,,61號,120.582145709598,23.917035636062
彰化縣社頭鄉橋頭村6鄰媽祖廟街63號,10007,1000717,1000717-008,6鄰,媽祖廟街,,,,,,63號,120.582131128537,23.9170737370942
