FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣芳苑鄉三成村10鄰小西路建245號,10007,1000723,1000723-011,10鄰,小西路,,,,,,建245號,120.330042618737,23.8883035715213
彰化縣芳苑鄉三成村10鄰小西路1號,10007,1000723,1000723-011,10鄰,小西路,,,,,,1號,120.331459108514,23.8887875627288
彰化縣芳苑鄉三成村10鄰小西路1之6號,10007,1000723,1000723-011,10鄰,小西路,,,,,,1之6號,120.327216451188,23.8868600978471
彰化縣芳苑鄉三成村10鄰小西路2號,10007,1000723,1000723-011,10鄰,小西路,,,,,,2號,120.333302395644,23.8913407651152
彰化縣芳苑鄉三成村10鄰小西路2之1號,10007,1000723,1000723-011,10鄰,小西路,,,,,,2之1號,120.331176435077,23.8892376183021
彰化縣芳苑鄉三成村10鄰小西路3號,10007,1000723,1000723-011,10鄰,小西路,,,,,,3號,120.333722506252,23.8914586746329
彰化縣芳苑鄉三成村10鄰小西路5號,10007,1000723,1000723-011,10鄰,小西路,,,,,,5號,120.331843840487,23.8894402459241
彰化縣芳苑鄉三成村10鄰小西路6號,10007,1000723,1000723-011,10鄰,小西路,,,,,,6號,120.333486198208,23.8918028228791
彰化縣芳苑鄉三成村10鄰小西路9號,10007,1000723,1000723-011,10鄰,小西路,,,,,,9號,120.332496011607,23.8896458745517
彰化縣芳苑鄉三成村10鄰小西路9之1號,10007,1000723,1000723-011,10鄰,小西路,,,,,,9之1號,120.332307002943,23.8889136816791
彰化縣芳苑鄉三成村10鄰小西路9之2號,10007,1000723,1000723-011,10鄰,小西路,,,,,,9之2號,120.332412168086,23.8888212085076
彰化縣芳苑鄉三成村10鄰小西路11號,10007,1000723,1000723-011,10鄰,小西路,,,,,,11號,120.332414455384,23.8898718580024
彰化縣芳苑鄉三成村10鄰小西路13號,10007,1000723,1000723-011,10鄰,小西路,,,,,,13號,120.332849298139,23.8901203883002
彰化縣芳苑鄉三成村9鄰小西路14號,10007,1000723,1000723-011,9鄰,小西路,,,,,,14號,120.332841198865,23.8900835678402
彰化縣芳苑鄉三成村10鄰小西路14號,10007,1000723,1000723-011,10鄰,小西路,,,,,,14號,120.332841198865,23.8900835678402
彰化縣芳苑鄉三成村9鄰小西路15號,10007,1000723,1000723-011,9鄰,小西路,,,,,,15號,120.333145490364,23.8899116238741
彰化縣芳苑鄉三成村9鄰小西路17號,10007,1000723,1000723-011,9鄰,小西路,,,,,,17號,120.333349599631,23.8898426758169
彰化縣芳苑鄉三成村9鄰小西路23號,10007,1000723,1000723-011,9鄰,小西路,,,,,,23號,120.333253574743,23.8903953400871
彰化縣芳苑鄉三成村9鄰小西路25號,10007,1000723,1000723-011,9鄰,小西路,,,,,,25號,120.333444239499,23.8904876690773
彰化縣芳苑鄉三成村9鄰小西路26號,10007,1000723,1000723-011,9鄰,小西路,,,,,,26號,120.333568317647,23.8907710582174
彰化縣芳苑鄉三成村9鄰小西路28號,10007,1000723,1000723-011,9鄰,小西路,,,,,,28號,120.333351847274,23.8908066980871
彰化縣芳苑鄉三成村9鄰小西路29號,10007,1000723,1000723-011,9鄰,小西路,,,,,,29號,120.33311144742,23.8905852421964
彰化縣芳苑鄉三成村8鄰小西路31號,10007,1000723,1000723-011,8鄰,小西路,,,,,,31號,120.333699085987,23.8908527347299
彰化縣芳苑鄉三成村8鄰小西路32號,10007,1000723,1000723-011,8鄰,小西路,,,,,,32號,120.33375830672,23.8909954553756
彰化縣芳苑鄉三成村8鄰小西路33號,10007,1000723,1000723-011,8鄰,小西路,,,,,,33號,120.333728346014,23.8910835508579
彰化縣芳苑鄉三成村8鄰小西路33之1號,10007,1000723,1000723-011,8鄰,小西路,,,,,,33之1號,120.333733768137,23.8911197005404
彰化縣芳苑鄉三成村8鄰小西路33之2號,10007,1000723,1000723-011,8鄰,小西路,,,,,,33之2號,120.333742888652,23.891166177691
彰化縣芳苑鄉三成村9鄰小西路91巷2號,10007,1000723,1000723-011,9鄰,小西路,,91巷,,,,2號,120.333351833118,23.8900660160528
彰化縣芳苑鄉三成村9鄰小西路91巷6號,10007,1000723,1000723-011,9鄰,小西路,,91巷,,,,6號,120.333394705412,23.8900549151874
彰化縣芳苑鄉三成村9鄰小西路91巷8號,10007,1000723,1000723-011,9鄰,小西路,,91巷,,,,8號,120.333436978792,23.8900457078671
彰化縣芳苑鄉三成村9鄰小西路91巷10號,10007,1000723,1000723-011,9鄰,小西路,,91巷,,,,10號,120.333476511868,23.8900346828052
彰化縣芳苑鄉三成村9鄰小西路91巷12號,10007,1000723,1000723-011,9鄰,小西路,,91巷,,,,12號,120.333516729087,23.8900242927471
彰化縣芳苑鄉三成村9鄰小西路91巷16號,10007,1000723,1000723-011,9鄰,小西路,,91巷,,,,16號,120.333558299334,23.8900181523073
彰化縣芳苑鄉三成村9鄰小西路91巷18號,10007,1000723,1000723-011,9鄰,小西路,,91巷,,,,18號,120.333603902182,23.890010765221
彰化縣芳苑鄉三成村9鄰小西路93號,10007,1000723,1000723-011,9鄰,小西路,,,,,,93號,120.333187008936,23.8901320282905
彰化縣芳苑鄉三成村9鄰小西路95號,10007,1000723,1000723-011,9鄰,小西路,,,,,,95號,120.333174490321,23.8900837576075
彰化縣芳苑鄉三成村9鄰小西路97號,10007,1000723,1000723-011,9鄰,小西路,,,,,,97號,120.333163423396,23.8900396466902
彰化縣芳苑鄉三成村9鄰小西路99號,10007,1000723,1000723-011,9鄰,小西路,,,,,,99號,120.333149312796,23.8899954322873
彰化縣芳苑鄉三成村10鄰小西路117巷建132號,10007,1000723,1000723-011,10鄰,小西路,,117巷,,,,建132號,120.331696753891,23.8868372742782
彰化縣芳苑鄉三成村9鄰小西路117巷11號,10007,1000723,1000723-011,9鄰,小西路,,117巷,,,,11號,120.332913613488,23.8895202823422
彰化縣芳苑鄉三成村9鄰小西路117巷13號,10007,1000723,1000723-011,9鄰,小西路,,117巷,,,,13號,120.332898219011,23.8894583649332
彰化縣芳苑鄉三成村9鄰小西路117巷15弄1號,10007,1000723,1000723-011,9鄰,小西路,,117巷,15弄,,,1號,120.333035675488,23.8894246495222
彰化縣芳苑鄉三成村9鄰小西路117巷15弄2號,10007,1000723,1000723-011,9鄰,小西路,,117巷,15弄,,,2號,120.3330061158,23.8893100299328
彰化縣芳苑鄉三成村9鄰小西路117巷15弄3號,10007,1000723,1000723-011,9鄰,小西路,,117巷,15弄,,,3號,120.333110069548,23.8894135950761
彰化縣芳苑鄉三成村9鄰小西路117巷15弄5號,10007,1000723,1000723-011,9鄰,小西路,,117巷,15弄,,,5號,120.333179188686,23.8893971001563
彰化縣芳苑鄉三成村9鄰小西路117巷15弄6號,10007,1000723,1000723-011,9鄰,小西路,,117巷,15弄,,,6號,120.333073163485,23.889295331939
彰化縣芳苑鄉三成村9鄰小西路117巷15弄7號,10007,1000723,1000723-011,9鄰,小西路,,117巷,15弄,,,7號,120.333248894217,23.889381149504
