FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣芬園鄉楓坑村1鄰楓林街臨631號,10007,1000709,1000709-015,1鄰,楓林街,,,,,,臨631號,120.613684294461,24.0150044746734
彰化縣芬園鄉楓坑村8鄰楓林街47號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,47號,120.624232115599,24.0200319178706
彰化縣芬園鄉楓坑村8鄰楓林街229號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,229號,120.620477537491,24.0197078089847
彰化縣芬園鄉楓坑村8鄰楓林街232號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,232號,120.619657639439,24.0199960720554
彰化縣芬園鄉楓坑村8鄰楓林街232號之6,10007,1000709,1000709-015,8鄰,楓林街,,,,,,232號之6,120.620203361805,24.0202473599657
彰化縣芬園鄉楓坑村8鄰楓林街233號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,233號,120.620141880546,24.0194922576591
彰化縣芬園鄉楓坑村8鄰楓林街236號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,236號,120.619654625701,24.0197507352086
彰化縣芬園鄉楓坑村8鄰楓林街238號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,238號,120.619464973187,24.0194931967464
彰化縣芬園鄉楓坑村8鄰楓林街240號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,240號,120.619496496275,24.0192701580208
彰化縣芬園鄉楓坑村8鄰楓林街242號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,242號,120.619507427894,24.019163096224
彰化縣芬園鄉楓坑村8鄰楓林街268巷200號,10007,1000709,1000709-015,8鄰,楓林街,,268巷,,,,200號,120.61596254118,24.0191115442517
彰化縣芬園鄉楓坑村8鄰楓林街268巷臨230號,10007,1000709,1000709-015,8鄰,楓林街,,268巷,,,,臨230號,120.615538356942,24.0185213110141
彰化縣芬園鄉楓坑村8鄰楓林街268巷276號,10007,1000709,1000709-015,8鄰,楓林街,,268巷,,,,276號,120.615124030053,24.0184846047791
彰化縣芬園鄉楓坑村8鄰楓林街268巷282號,10007,1000709,1000709-015,8鄰,楓林街,,268巷,,,,282號,120.614472833141,24.0183044562921
彰化縣芬園鄉楓坑村8鄰楓林街272號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,272號,120.619541605736,24.0189063843256
彰化縣芬園鄉楓坑村8鄰楓林街280號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,280號,120.618966446089,24.0187395362815
彰化縣芬園鄉楓坑村8鄰楓林街282號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,282號,120.619542289627,24.0186739686982
彰化縣芬園鄉楓坑村8鄰楓林街282號之1,10007,1000709,1000709-015,8鄰,楓林街,,,,,,282號之1,120.619654509246,24.0184202496099
彰化縣芬園鄉楓坑村8鄰楓林街300號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,300號,120.619328935318,24.0182539318933
彰化縣芬園鄉楓坑村8鄰楓林街302號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,302號,120.619066009596,24.0178438845226
彰化縣芬園鄉楓坑村8鄰楓林街304號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,304號,120.619082687517,24.0177883950276
彰化縣芬園鄉楓坑村8鄰楓林街330號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,330號,120.619733494826,24.0172333473353
彰化縣芬園鄉楓坑村8鄰楓林街330之1號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,330之1號,120.61960819095,24.0181258657554
彰化縣芬園鄉楓坑村8鄰楓林街臨337號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,臨337號,120.620155816885,24.018027629567
彰化縣芬園鄉楓坑村8鄰楓林街340號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,340號,120.619256355151,24.0173308542493
彰化縣芬園鄉楓坑村8鄰楓林街348號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,348號,120.619572070069,24.0170384529065
彰化縣芬園鄉楓坑村8鄰楓林街350號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,350號,120.619543072929,24.0169712020058
彰化縣芬園鄉楓坑村8鄰楓林街352號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,352號,120.619516609006,24.0169116323994
彰化縣芬園鄉楓坑村8鄰楓林街361號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,361號,120.620185144848,24.0167107607328
彰化縣芬園鄉楓坑村8鄰楓林街362號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,362號,120.618834859338,24.0168925114968
彰化縣芬園鄉楓坑村8鄰楓林街363號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,363號,120.619898466597,24.0165895974481
彰化縣芬園鄉楓坑村8鄰楓林街366之1號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,366之1號,120.619242530052,24.0163841750705
彰化縣芬園鄉楓坑村8鄰楓林街臨370號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,臨370號,120.619031457625,24.0160586815237
彰化縣芬園鄉楓坑村8鄰楓林街421號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,421號,120.618648350787,24.0154041789209
彰化縣芬園鄉楓坑村8鄰楓林街425號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,425號,120.618873577536,24.0154957557912
彰化縣芬園鄉楓坑村8鄰楓林街427號,10007,1000709,1000709-015,8鄰,楓林街,,,,,,427號,120.619064266114,24.0155327087588
彰化縣芬園鄉楓坑村1鄰楓林街臨547之27號,10007,1000709,1000709-015,1鄰,楓林街,,,,,,臨547之27號,120.615223199646,24.0146248663395
彰化縣芬園鄉楓坑村1鄰楓林街臨571號,10007,1000709,1000709-015,1鄰,楓林街,,,,,,臨571號,120.615361583735,24.0149287829293
彰化縣芬園鄉楓坑村1鄰楓林街581號,10007,1000709,1000709-015,1鄰,楓林街,,,,,,581號,120.614989194471,24.0150399933355
彰化縣芬園鄉楓坑村1鄰楓林街585號,10007,1000709,1000709-015,1鄰,楓林街,,,,,,585號,120.615059553198,24.0152457700357
