FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣彰化市中正里16鄰永昌街2號,10007,1000701,1000701-012,16鄰,永昌街,,,,,,2號,120.545532004442,24.0821143059789
彰化縣彰化市中正里16鄰永昌街4號,10007,1000701,1000701-012,16鄰,永昌街,,,,,,4號,120.545441672975,24.082099861541
彰化縣彰化市中正里16鄰永昌街6號,10007,1000701,1000701-012,16鄰,永昌街,,,,,,6號,120.545387288664,24.0820991581359
彰化縣彰化市中正里17鄰永昌街7號,10007,1000701,1000701-012,17鄰,永昌街,,,,,,7號,120.54538890666,24.0819750101987
彰化縣彰化市中正里16鄰永昌街8號,10007,1000701,1000701-012,16鄰,永昌街,,,,,,8號,120.545328076405,24.0821009685599
彰化縣彰化市中正里17鄰永昌街9號,10007,1000701,1000701-012,17鄰,永昌街,,,,,,9號,120.545337892012,24.0819670030674
彰化縣彰化市中正里14鄰永昌街10巷1號,10007,1000701,1000701-012,14鄰,永昌街,,10巷,,,,1號,120.545328206776,24.0823149631304
彰化縣彰化市中正里14鄰永昌街10巷2號,10007,1000701,1000701-012,14鄰,永昌街,,10巷,,,,2號,120.545327966972,24.082382952973
彰化縣彰化市中正里14鄰永昌街10巷5號,10007,1000701,1000701-012,14鄰,永昌街,,10巷,,,,5號,120.545275339148,24.082497649076
彰化縣彰化市中正里14鄰永昌街10巷6號,10007,1000701,1000701-012,14鄰,永昌街,,10巷,,,,6號,120.545266637321,24.0825388870582
彰化縣彰化市中正里14鄰永昌街10巷7號,10007,1000701,1000701-012,14鄰,永昌街,,10巷,,,,7號,120.545264041025,24.0825778858711
彰化縣彰化市中正里17鄰永昌街11號,10007,1000701,1000701-012,17鄰,永昌街,,,,,,11號,120.54528454028,24.0819523975884
彰化縣彰化市中正里16鄰永昌街12號,10007,1000701,1000701-012,16鄰,永昌街,,,,,,12號,120.545213783201,24.0820765205309
彰化縣彰化市中正里17鄰永昌街13號,10007,1000701,1000701-012,17鄰,永昌街,,,,,,13號,120.54523470964,24.0819433104282
彰化縣彰化市中正里16鄰永昌街14號,10007,1000701,1000701-012,16鄰,永昌街,,,,,,14號,120.545150383739,24.0820664900645
彰化縣彰化市中正里16鄰永昌街16號,10007,1000701,1000701-012,16鄰,永昌街,,,,,,16號,120.545109012445,24.0820848770641
彰化縣彰化市中正里16鄰永昌街18號,10007,1000701,1000701-012,16鄰,永昌街,,,,,,18號,120.545066722985,24.0820847512759
彰化縣彰化市中正里16鄰永昌街20號,10007,1000701,1000701-012,16鄰,永昌街,,,,,,20號,120.545016283104,24.0820810798062
彰化縣彰化市中正里17鄰永昌街21號,10007,1000701,1000701-012,17鄰,永昌街,,,,,,21號,120.545005249494,24.081919151805
彰化縣彰化市中正里16鄰永昌街22號,10007,1000701,1000701-012,16鄰,永昌街,,,,,,22號,120.54498157597,24.0820782677641
彰化縣彰化市中正里17鄰永昌街25號,10007,1000701,1000701-012,17鄰,永昌街,,,,,,25號,120.544904494355,24.0819044051625
彰化縣彰化市中正里16鄰永昌街26號,10007,1000701,1000701-012,16鄰,永昌街,,,,,,26號,120.544935953533,24.082075062065
彰化縣彰化市中正里16鄰永昌街28號,10007,1000701,1000701-012,16鄰,永昌街,,,,,,28號,120.544895940415,24.0820708798222
彰化縣鹿港鎮埔崙里26鄰永昌街2號,10007,1000702,1000702-007,26鄰,永昌街,,,,,,2號,120.431493510417,24.0648849853974
彰化縣鹿港鎮埔崙里26鄰永昌街4號,10007,1000702,1000702-007,26鄰,永昌街,,,,,,4號,120.431517035535,24.0649243498306
彰化縣鹿港鎮東石里18鄰永昌街9號,10007,1000702,1000702-008,18鄰,永昌街,,,,,,9號,120.431258949983,24.0650263237107
彰化縣員林鎮民生里18鄰永昌街1號,10007,1000710,1000710-002,18鄰,永昌街,,,,,,1號,120.577566795355,23.9536566782294
彰化縣員林鎮民生里18鄰永昌街2號,10007,1000710,1000710-002,18鄰,永昌街,,,,,,2號,120.577613060258,23.9538110287951
彰化縣員林鎮民生里18鄰永昌街3號,10007,1000710,1000710-002,18鄰,永昌街,,,,,,3號,120.577480433569,23.9536261919089
彰化縣員林鎮民生里18鄰永昌街4號,10007,1000710,1000710-002,18鄰,永昌街,,,,,,4號,120.57754386925,23.9537876327248
彰化縣員林鎮民生里18鄰永昌街5號,10007,1000710,1000710-002,18鄰,永昌街,,,,,,5號,120.577436443595,23.9536180346358
彰化縣員林鎮民生里18鄰永昌街6號,10007,1000710,1000710-002,18鄰,永昌街,,,,,,6號,120.577461382683,23.953773951863
彰化縣員林鎮民生里18鄰永昌街7號,10007,1000710,1000710-002,18鄰,永昌街,,,,,,7號,120.577380770074,23.9536073169442
彰化縣員林鎮民生里18鄰永昌街8號,10007,1000710,1000710-002,18鄰,永昌街,,,,,,8號,120.577441437839,23.9537738969795
彰化縣員林鎮民生里18鄰永昌街9號,10007,1000710,1000710-002,18鄰,永昌街,,,,,,9號,120.577356900568,23.9535754675245
彰化縣員林鎮民生里18鄰永昌街10號,10007,1000710,1000710-002,18鄰,永昌街,,,,,,10號,120.57738147242,23.9537535962422
彰化縣員林鎮民生里18鄰永昌街11號,10007,1000710,1000710-002,18鄰,永昌街,,,,,,11號,120.577306476086,23.9535821008301
彰化縣員林鎮民生里18鄰永昌街12號,10007,1000710,1000710-002,18鄰,永昌街,,,,,,12號,120.577332317475,23.9537625807107
彰化縣員林鎮民生里18鄰永昌街12之1號,10007,1000710,1000710-002,18鄰,永昌街,,,,,,12之1號,120.577293606547,23.953732406028
彰化縣員林鎮民生里18鄰永昌街16號,10007,1000710,1000710-002,18鄰,永昌街,,,,,,16號,120.577251478303,23.953725788836
彰化縣員林鎮民生里18鄰永昌街18號,10007,1000710,1000710-002,18鄰,永昌街,,,,,,18號,120.577204795287,23.9536998360327
彰化縣員林鎮民生里18鄰永昌街19號,10007,1000710,1000710-002,18鄰,永昌街,,,,,,19號,120.577008581167,23.9534908955655
彰化縣員林鎮民生里18鄰永昌街20號,10007,1000710,1000710-002,18鄰,永昌街,,,,,,20號,120.57716185986,23.9536997178099
彰化縣員林鎮民生里18鄰永昌街22號,10007,1000710,1000710-002,18鄰,永昌街,,,,,,22號,120.577116296993,23.9536918269979
