FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣社頭鄉湳底村9鄰湳底南一路建90號,10007,1000717,1000717-011,9鄰,湳底南一路,,,,,,建90號,120.571502706538,23.9102989673081
彰化縣社頭鄉湳底村9鄰湳底南一路8號,10007,1000717,1000717-011,9鄰,湳底南一路,,,,,,8號,120.576223786417,23.9108665536041
彰化縣社頭鄉湳底村9鄰湳底南一路10號,10007,1000717,1000717-011,9鄰,湳底南一路,,,,,,10號,120.576064110736,23.910839846588
彰化縣社頭鄉湳底村9鄰湳底南一路15號,10007,1000717,1000717-011,9鄰,湳底南一路,,,,,,15號,120.575406034137,23.9104852837586
彰化縣社頭鄉湳底村9鄰湳底南一路23號,10007,1000717,1000717-011,9鄰,湳底南一路,,,,,,23號,120.574870123777,23.9104193503248
彰化縣社頭鄉湳底村11鄰湳底南一路25巷15弄1號,10007,1000717,1000717-011,11鄰,湳底南一路,,25巷,15弄,,,1號,120.575175823878,23.9102856825218
彰化縣社頭鄉湳底村11鄰湳底南一路25巷15弄2號,10007,1000717,1000717-011,11鄰,湳底南一路,,25巷,15弄,,,2號,120.57523591648,23.9102909050626
彰化縣社頭鄉湳底村11鄰湳底南一路25巷15弄3號,10007,1000717,1000717-011,11鄰,湳底南一路,,25巷,15弄,,,3號,120.575315259724,23.9102961807494
彰化縣社頭鄉湳底村11鄰湳底南一路25巷15弄6號,10007,1000717,1000717-011,11鄰,湳底南一路,,25巷,15弄,,,6號,120.575435543468,23.9103065356758
彰化縣社頭鄉湳底村11鄰湳底南一路25巷15弄7號,10007,1000717,1000717-011,11鄰,湳底南一路,,25巷,15弄,,,7號,120.575446757397,23.9102411929412
彰化縣社頭鄉湳底村9鄰湳底南一路25巷15弄8號,10007,1000717,1000717-011,9鄰,湳底南一路,,25巷,15弄,,,8號,120.575435100218,23.91017163348
彰化縣社頭鄉湳底村11鄰湳底南一路25巷15弄9號,10007,1000717,1000717-011,11鄰,湳底南一路,,25巷,15弄,,,9號,120.575381444334,23.9101202879642
彰化縣社頭鄉湳底村11鄰湳底南一路25巷15弄11號,10007,1000717,1000717-011,11鄰,湳底南一路,,25巷,15弄,,,11號,120.575274812986,23.9101099707076
彰化縣社頭鄉湳底村11鄰湳底南一路25巷15弄12號,10007,1000717,1000717-011,11鄰,湳底南一路,,25巷,15弄,,,12號,120.57518730955,23.9101072007216
