FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣溪湖鎮河東里7鄰竹頭仔路臨497號,10007,1000711,1000711-013,7鄰,竹頭仔路,,,,,,臨497號,120.457390944735,23.9460989882927
彰化縣溪湖鎮河東里5鄰竹頭仔路建298之1號,10007,1000711,1000711-013,5鄰,竹頭仔路,,,,,,建298之1號,120.461919810785,23.9464314910057
彰化縣溪湖鎮河東里5鄰竹頭仔路197號,10007,1000711,1000711-013,5鄰,竹頭仔路,,,,,,197號,120.465226979514,23.9458624888745
彰化縣溪湖鎮河東里5鄰竹頭仔路211巷7號,10007,1000711,1000711-013,5鄰,竹頭仔路,,211巷,,,,7號,120.46427465074,23.9454170918932
彰化縣溪湖鎮河東里5鄰竹頭仔路212號,10007,1000711,1000711-013,5鄰,竹頭仔路,,,,,,212號,120.464672059845,23.9462045659497
彰化縣溪湖鎮河東里5鄰竹頭仔路238號,10007,1000711,1000711-013,5鄰,竹頭仔路,,,,,,238號,120.463726878546,23.94635199603
彰化縣溪湖鎮河東里5鄰竹頭仔路246號,10007,1000711,1000711-013,5鄰,竹頭仔路,,,,,,246號,120.463528134542,23.9467214521223
彰化縣溪湖鎮河東里5鄰竹頭仔路261巷42弄12號,10007,1000711,1000711-013,5鄰,竹頭仔路,,261巷,42弄,,,12號,120.462464459841,23.9452695299415
彰化縣溪湖鎮河東里5鄰竹頭仔路261巷42弄18號,10007,1000711,1000711-013,5鄰,竹頭仔路,,261巷,42弄,,,18號,120.462347837794,23.9452901060211
彰化縣溪湖鎮河東里5鄰竹頭仔路261巷42弄20號,10007,1000711,1000711-013,5鄰,竹頭仔路,,261巷,42弄,,,20號,120.462207249854,23.9455866260592
彰化縣溪湖鎮河東里5鄰竹頭仔路261巷42弄30號,10007,1000711,1000711-013,5鄰,竹頭仔路,,261巷,42弄,,,30號,120.462063747001,23.9457164173899
彰化縣溪湖鎮河東里5鄰竹頭仔路261巷42弄32號,10007,1000711,1000711-013,5鄰,竹頭仔路,,261巷,42弄,,,32號,120.461798531328,23.945395694966
彰化縣溪湖鎮河東里5鄰竹頭仔路261巷42弄40號,10007,1000711,1000711-013,5鄰,竹頭仔路,,261巷,42弄,,,40號,120.461689724433,23.9457749807472
彰化縣溪湖鎮河東里5鄰竹頭仔路261巷42弄50號,10007,1000711,1000711-013,5鄰,竹頭仔路,,261巷,42弄,,,50號,120.461691219875,23.9460230860657
彰化縣溪湖鎮河東里5鄰竹頭仔路261巷42弄63號,10007,1000711,1000711-013,5鄰,竹頭仔路,,261巷,42弄,,,63號,120.461581114602,23.9454958542787
彰化縣溪湖鎮河東里5鄰竹頭仔路261巷46號,10007,1000711,1000711-013,5鄰,竹頭仔路,,261巷,,,,46號,120.462664764539,23.9450571375745
彰化縣溪湖鎮河東里5鄰竹頭仔路261巷57弄臨36號,10007,1000711,1000711-013,5鄰,竹頭仔路,,261巷,57弄,,,臨36號,120.46323444798,23.9439794689362
彰化縣溪湖鎮河東里5鄰竹頭仔路261巷57弄臨32號,10007,1000711,1000711-013,5鄰,竹頭仔路,,261巷,57弄,,,臨32號,120.463144301604,23.9439696730442
彰化縣溪湖鎮河東里5鄰竹頭仔路261巷57弄臨10號,10007,1000711,1000711-013,5鄰,竹頭仔路,,261巷,57弄,,,臨10號,120.462817328703,23.9442594563802
