FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣鹿港鎮永安里22鄰興隆街11號,10007,1000702,1000702-029,22鄰,興隆街,,,,,,11號,120.438767858671,24.0573419251791
彰化縣鹿港鎮永安里22鄰興隆街13號,10007,1000702,1000702-029,22鄰,興隆街,,,,,,13號,120.438779030828,24.0573731169524
彰化縣鹿港鎮永安里22鄰興隆街15號,10007,1000702,1000702-029,22鄰,興隆街,,,,,,15號,120.438838828028,24.0573926587332
彰化縣鹿港鎮永安里22鄰興隆街17號,10007,1000702,1000702-029,22鄰,興隆街,,,,,,17號,120.438866164725,24.0574149708376
彰化縣鹿港鎮永安里22鄰興隆街19號,10007,1000702,1000702-029,22鄰,興隆街,,,,,,19號,120.438911415818,24.0574330145856
彰化縣鹿港鎮永安里22鄰興隆街21號,10007,1000702,1000702-029,22鄰,興隆街,,,,,,21號,120.438940565798,24.0574227378417
彰化縣鹿港鎮永安里22鄰興隆街23號,10007,1000702,1000702-029,22鄰,興隆街,,,,,,23號,120.439000232536,24.0574496830418
彰化縣員林鎮南興里1鄰興隆街1號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,1號,120.562586190114,23.9649426305779
彰化縣員林鎮南興里1鄰興隆街3號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,3號,120.562598223222,23.9650165257018
彰化縣員林鎮南興里1鄰興隆街6號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,6號,120.562775250962,23.9649981585068
彰化縣員林鎮南興里1鄰興隆街8號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,8號,120.562786676164,23.9650483947472
彰化縣員林鎮南興里1鄰興隆街13號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,13號,120.562593530696,23.9651550239681
彰化縣員林鎮南興里1鄰興隆街15號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,15號,120.562586830492,23.9652187527339
彰化縣員林鎮南興里1鄰興隆街16號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,16號,120.562806761119,23.9652113430862
彰化縣員林鎮南興里1鄰興隆街17號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,17號,120.562594824802,23.9652665412605
彰化縣員林鎮南興里1鄰興隆街19號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,19號,120.562605541424,23.9653229155132
彰化縣員林鎮南興里1鄰興隆街21號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,21號,120.562614988914,23.9653768481994
彰化縣員林鎮南興里1鄰興隆街22號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,22號,120.562819661743,23.9653485370494
彰化縣員林鎮南興里1鄰興隆街23號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,23號,120.562620305568,23.9654319429417
彰化縣員林鎮南興里1鄰興隆街25號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,25號,120.562627001815,23.9654858677871
彰化縣員林鎮南興里1鄰興隆街26號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,26號,120.562823219565,23.9654007373553
彰化縣員林鎮南興里1鄰興隆街28號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,28號,120.5628241786,23.9654368578532
彰化縣員林鎮南興里1鄰興隆街37號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,37號,120.562700180212,23.9657555148091
彰化縣員林鎮南興里1鄰興隆街39號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,39號,120.562710164798,23.9658541447506
彰化縣員林鎮南興里1鄰興隆街66號十樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,66號十樓,120.562948918416,23.9662095011806
彰化縣員林鎮南興里1鄰興隆街66號二樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,66號二樓,120.562948918416,23.9662095011806
彰化縣員林鎮南興里1鄰興隆街66號三樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,66號三樓,120.562948918416,23.9662095011806
彰化縣員林鎮南興里1鄰興隆街66號四樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,66號四樓,120.562948918416,23.9662095011806
彰化縣員林鎮南興里1鄰興隆街66號五樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,66號五樓,120.562948918416,23.9662095011806
彰化縣員林鎮南興里1鄰興隆街66號六樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,66號六樓,120.562948918416,23.9662095011806
彰化縣員林鎮南興里1鄰興隆街66號七樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,66號七樓,120.562948918416,23.9662095011806
彰化縣員林鎮南興里1鄰興隆街66號八樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,66號八樓,120.562948918416,23.9662095011806
彰化縣員林鎮南興里1鄰興隆街66號九樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,66號九樓,120.562948918416,23.9662095011806
彰化縣員林鎮南興里1鄰興隆街66號十一樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,66號十一樓,120.562948918416,23.9662095011806
彰化縣員林鎮南興里1鄰興隆街66號十二樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,66號十二樓,120.562948918416,23.9662095011806
彰化縣員林鎮南興里1鄰興隆街68號十樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,68號十樓,120.562966335647,23.9663186264164
彰化縣員林鎮南興里1鄰興隆街68號二樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,68號二樓,120.562966335647,23.9663186264164
彰化縣員林鎮南興里1鄰興隆街68號三樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,68號三樓,120.562966335647,23.9663186264164
彰化縣員林鎮南興里1鄰興隆街68號四樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,68號四樓,120.562966335647,23.9663186264164
彰化縣員林鎮南興里1鄰興隆街68號五樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,68號五樓,120.562966335647,23.9663186264164
彰化縣員林鎮南興里1鄰興隆街68號六樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,68號六樓,120.562966335647,23.9663186264164
彰化縣員林鎮南興里1鄰興隆街68號七樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,68號七樓,120.562966335647,23.9663186264164
彰化縣員林鎮南興里1鄰興隆街68號八樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,68號八樓,120.562966335647,23.9663186264164
彰化縣員林鎮南興里1鄰興隆街68號九樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,68號九樓,120.562966335647,23.9663186264164
彰化縣員林鎮南興里1鄰興隆街68號十一樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,68號十一樓,120.562966335647,23.9663186264164
彰化縣員林鎮南興里1鄰興隆街68號十二樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,68號十二樓,120.562966335647,23.9663186264164
彰化縣員林鎮南興里1鄰興隆街70號十樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,70號十樓,120.563091057445,23.9663100423299
彰化縣員林鎮南興里1鄰興隆街70號二樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,70號二樓,120.563091057445,23.9663100423299
彰化縣員林鎮南興里1鄰興隆街70號三樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,70號三樓,120.563091057445,23.9663100423299
彰化縣員林鎮南興里1鄰興隆街70號四樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,70號四樓,120.563091057445,23.9663100423299
彰化縣員林鎮南興里1鄰興隆街70號五樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,70號五樓,120.563091057445,23.9663100423299
彰化縣員林鎮南興里1鄰興隆街70號六樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,70號六樓,120.563091057445,23.9663100423299
彰化縣員林鎮南興里1鄰興隆街70號七樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,70號七樓,120.563091057445,23.9663100423299
彰化縣員林鎮南興里1鄰興隆街70號八樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,70號八樓,120.563091057445,23.9663100423299
彰化縣員林鎮南興里1鄰興隆街70號九樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,70號九樓,120.563091057445,23.9663100423299
彰化縣員林鎮南興里1鄰興隆街70號十一樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,70號十一樓,120.563091057445,23.9663100423299
彰化縣員林鎮南興里1鄰興隆街70號十二樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,70號十二樓,120.563091057445,23.9663100423299
彰化縣員林鎮南興里1鄰興隆街72號十樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,72號十樓,120.563084346156,23.9662022117028
彰化縣員林鎮南興里1鄰興隆街72號二樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,72號二樓,120.563084346156,23.9662022117028
彰化縣員林鎮南興里1鄰興隆街72號三樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,72號三樓,120.563084346156,23.9662022117028
彰化縣員林鎮南興里1鄰興隆街72號四樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,72號四樓,120.563084346156,23.9662022117028
彰化縣員林鎮南興里1鄰興隆街72號五樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,72號五樓,120.563084346156,23.9662022117028
彰化縣員林鎮南興里1鄰興隆街72號六樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,72號六樓,120.563084346156,23.9662022117028
彰化縣員林鎮南興里1鄰興隆街72號七樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,72號七樓,120.563084346156,23.9662022117028
彰化縣員林鎮南興里1鄰興隆街72號八樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,72號八樓,120.563084346156,23.9662022117028
彰化縣員林鎮南興里1鄰興隆街72號九樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,72號九樓,120.563084346156,23.9662022117028
彰化縣員林鎮南興里1鄰興隆街72號十一樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,72號十一樓,120.563084346156,23.9662022117028
彰化縣員林鎮南興里1鄰興隆街72號十二樓,10007,1000710,1000710-014,1鄰,興隆街,,,,,,72號十二樓,120.563084346156,23.9662022117028
彰化縣員林鎮南興里1鄰興隆街91號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,91號,120.562923778296,23.9669919208952
彰化縣員林鎮南興里1鄰興隆街92號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,92號,120.563131270127,23.9670900295518
彰化縣員林鎮南興里1鄰興隆街93號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,93號,120.562949469347,23.9670660354566
彰化縣員林鎮南興里1鄰興隆街95號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,95號,120.562975306791,23.9671258839153
彰化縣員林鎮南興里1鄰興隆街96號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,96號,120.563160771598,23.9671414910296
彰化縣員林鎮南興里1鄰興隆街97號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,97號,120.56299848331,23.9671880724479
彰化縣員林鎮南興里1鄰興隆街98號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,98號,120.56318498346,23.9671880615507
彰化縣員林鎮南興里1鄰興隆街99號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,99號,120.563026916061,23.9672359191318
彰化縣員林鎮南興里1鄰興隆街100號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,100號,120.563203692752,23.967234616409
彰化縣員林鎮南興里1鄰興隆街108號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,108號,120.563305998909,23.9674631717504
彰化縣員林鎮南興里1鄰興隆街115號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,115號,120.563166255713,23.9675551452678
彰化縣員林鎮南興里1鄰興隆街117號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,117號,120.563207550085,23.9676353539146
彰化縣員林鎮南興里1鄰興隆街119號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,119號,120.563233395974,23.9676927644036
彰化縣員林鎮南興里1鄰興隆街121號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,121號,120.563256636915,23.9677359009618
彰化縣員林鎮南興里1鄰興隆街123號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,123號,120.563279870266,23.9677812948546
彰化縣員林鎮南興里1鄰興隆街131號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,131號,120.56337871623,23.9679870861061
彰化縣員林鎮南興里1鄰興隆街155號,10007,1000710,1000710-014,1鄰,興隆街,,,,,,155號,120.563983002397,23.9681990092692
