FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣埤頭鄉平原村21鄰華泰二街3號,10007,1000722,1000722-008,21鄰,華泰二街,,,,,,3號,120.4689193884,23.8914516591516
彰化縣埤頭鄉平原村21鄰華泰二街5號,10007,1000722,1000722-008,21鄰,華泰二街,,,,,,5號,120.468871134827,23.8914604317309
彰化縣埤頭鄉平原村21鄰華泰二街7號,10007,1000722,1000722-008,21鄰,華泰二街,,,,,,7號,120.468829955095,23.8914684160669
彰化縣埤頭鄉平原村21鄰華泰二街9號,10007,1000722,1000722-008,21鄰,華泰二街,,,,,,9號,120.468783561075,23.8914787300438
彰化縣埤頭鄉平原村21鄰華泰二街11號,10007,1000722,1000722-008,21鄰,華泰二街,,,,,,11號,120.468737196551,23.8914818205539
彰化縣埤頭鄉平原村21鄰華泰二街13號,10007,1000722,1000722-008,21鄰,華泰二街,,,,,,13號,120.468674765382,23.8914994832641
彰化縣埤頭鄉平原村21鄰華泰二街32號,10007,1000722,1000722-008,21鄰,華泰二街,,,,,,32號,120.468435239331,23.8920542374974
彰化縣埤頭鄉平原村21鄰華泰二街36號,10007,1000722,1000722-008,21鄰,華泰二街,,,,,,36號,120.468359859545,23.8920683338533
彰化縣埤頭鄉平原村21鄰華泰二街37號,10007,1000722,1000722-008,21鄰,華泰二街,,,,,,37號,120.468199378575,23.8915438909851
彰化縣埤頭鄉平原村21鄰華泰二街38號,10007,1000722,1000722-008,21鄰,華泰二街,,,,,,38號,120.468297481933,23.892072813604
彰化縣埤頭鄉平原村21鄰華泰二街40號,10007,1000722,1000722-008,21鄰,華泰二街,,,,,,40號,120.468232442521,23.892079812373
彰化縣埤頭鄉平原村21鄰華泰二街51號,10007,1000722,1000722-008,21鄰,華泰二街,,,,,,51號,120.467796125069,23.8916234907079
彰化縣埤頭鄉平原村21鄰華泰二街53號,10007,1000722,1000722-008,21鄰,華泰二街,,,,,,53號,120.467750934096,23.8916277588066
彰化縣埤頭鄉平原村21鄰華泰二街68號,10007,1000722,1000722-008,21鄰,華泰二街,,,,,,68號,120.467794833762,23.8918430822695
彰化縣埤頭鄉平原村12鄰華泰二街69號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,69號,120.467184283327,23.8917184214895
彰化縣埤頭鄉平原村21鄰華泰二街70號,10007,1000722,1000722-008,21鄰,華泰二街,,,,,,70號,120.46765230341,23.8918521603765
彰化縣埤頭鄉平原村12鄰華泰二街71號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,71號,120.467122699013,23.8917258561404
彰化縣埤頭鄉平原村21鄰華泰二街72號,10007,1000722,1000722-008,21鄰,華泰二街,,,,,,72號,120.467574597493,23.8918587538632
彰化縣埤頭鄉平原村12鄰華泰二街73號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,73號,120.467056957605,23.8917340438692
彰化縣埤頭鄉平原村12鄰華泰二街75號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,75號,120.466997026637,23.8917430101722
彰化縣埤頭鄉平原村12鄰華泰二街77號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,77號,120.466933782689,23.8917504389977
彰化縣埤頭鄉平原村12鄰華泰二街79號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,79號,120.466873013844,23.8917601698516
彰化縣埤頭鄉平原村12鄰華泰二街82號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,82號,120.46735379032,23.8918963195596
彰化縣埤頭鄉平原村12鄰華泰二街86號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,86號,120.467300703131,23.8919055173504
彰化縣埤頭鄉平原村12鄰華泰二街88號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,88號,120.467250343401,23.8919153475986
彰化縣埤頭鄉平原村12鄰華泰二街90號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,90號,120.467200679623,23.8919182998061
彰化縣埤頭鄉平原村12鄰華泰二街92號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,92號,120.467153060572,23.8919231372029
彰化縣埤頭鄉平原村12鄰華泰二街96號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,96號,120.467051527938,23.8919399234064
彰化縣埤頭鄉平原村12鄰華泰二街119號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,119號,120.4663704515,23.8917569918997
彰化縣埤頭鄉平原村12鄰華泰二街120號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,120號,120.466424220899,23.8920746354497
彰化縣埤頭鄉平原村12鄰華泰二街121號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,121號,120.466302709047,23.8917622107084
彰化縣埤頭鄉平原村12鄰華泰二街122號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,122號,120.46635855995,23.8920823084774
彰化縣埤頭鄉平原村12鄰華泰二街123號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,123號,120.466244127353,23.8917702152474
彰化縣埤頭鄉平原村12鄰華泰二街125號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,125號,120.466181581997,23.8917773030676
彰化縣埤頭鄉平原村12鄰華泰二街126號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,126號,120.466296021824,23.8920899923099
彰化縣埤頭鄉平原村12鄰華泰二街127號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,127號,120.466117045468,23.8917862078998
彰化縣埤頭鄉平原村12鄰華泰二街128號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,128號,120.466236597666,23.8920998449564
彰化縣埤頭鄉平原村12鄰華泰二街129號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,129號,120.466061334415,23.8918197666163
彰化縣埤頭鄉平原村12鄰華泰二街130號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,130號,120.466173273908,23.8921075260132
彰化縣埤頭鄉平原村12鄰華泰二街132號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,132號,120.466113870377,23.8921123492856
彰化縣埤頭鄉平原村12鄰華泰二街136號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,136號,120.466052108022,23.8921200357105
彰化縣埤頭鄉平原村12鄰華泰二街138號,10007,1000722,1000722-008,12鄰,華泰二街,,,,,,138號,120.465988796993,23.8921270034095
