FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣和美鎮四張里2鄰西美路臨1號,10007,1000703,1000703-006,2鄰,西美路,,,,,,臨1號,120.492115048706,24.119733356575
彰化縣和美鎮四張里2鄰西美路13號,10007,1000703,1000703-006,2鄰,西美路,,,,,,13號,120.491922804333,24.1197124918875
彰化縣和美鎮四張里2鄰西美路13之1號,10007,1000703,1000703-006,2鄰,西美路,,,,,,13之1號,120.491867415378,24.1193394920219
彰化縣和美鎮四張里2鄰西美路69號,10007,1000703,1000703-006,2鄰,西美路,,,,,,69號,120.490880862782,24.1201434175531
彰化縣和美鎮四張里2鄰西美路83號,10007,1000703,1000703-006,2鄰,西美路,,,,,,83號,120.490184059114,24.1203168017879
彰化縣和美鎮四張里2鄰西美路85號,10007,1000703,1000703-006,2鄰,西美路,,,,,,85號,120.490032863023,24.1203888015537
彰化縣和美鎮四張里2鄰西美路115號,10007,1000703,1000703-006,2鄰,西美路,,,,,,115號,120.489695515173,24.1207639215609
彰化縣和美鎮四張里2鄰西美路123號,10007,1000703,1000703-006,2鄰,西美路,,,,,,123號,120.489311086828,24.1210534672007
彰化縣和美鎮四張里2鄰西美路167號,10007,1000703,1000703-006,2鄰,西美路,,,,,,167號,120.488095359349,24.1218877585122
彰化縣和美鎮四張里2鄰西美路183號,10007,1000703,1000703-006,2鄰,西美路,,,,,,183號,120.487502313354,24.1221893313413
彰化縣和美鎮四張里2鄰西美路臨223號,10007,1000703,1000703-006,2鄰,西美路,,,,,,臨223號,120.486625445944,24.1227856541611
彰化縣和美鎮月眉里9鄰西美路80巷25號,10007,1000703,1000703-030,9鄰,西美路,,80巷,,,,25號,120.491050970013,24.120985776452
彰化縣和美鎮月眉里9鄰西美路82號,10007,1000703,1000703-030,9鄰,西美路,,,,,,82號,120.490537642613,24.1211576967121
彰化縣和美鎮月眉里9鄰西美路130號,10007,1000703,1000703-030,9鄰,西美路,,,,,,130號,120.489784260596,24.1214563961189
彰化縣和美鎮月眉里9鄰西美路132號,10007,1000703,1000703-030,9鄰,西美路,,,,,,132號,120.489748091313,24.1215222787175
彰化縣和美鎮月眉里9鄰西美路150號,10007,1000703,1000703-030,9鄰,西美路,,,,,,150號,120.489424438408,24.121593791964
彰化縣和美鎮月眉里9鄰西美路358號,10007,1000703,1000703-030,9鄰,西美路,,,,,,358號,120.486866518544,24.1225773481556
