FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣溪湖鎮湖西里20鄰金華三街1號,10007,1000711,1000711-011,20鄰,金華三街,,,,,,1號,120.476137620011,23.957339520135
彰化縣溪湖鎮湖西里2鄰金華三街2號,10007,1000711,1000711-011,2鄰,金華三街,,,,,,2號,120.476294118378,23.9575047317416
彰化縣溪湖鎮湖西里20鄰金華三街3號,10007,1000711,1000711-011,20鄰,金華三街,,,,,,3號,120.476093559549,23.9573380244192
彰化縣溪湖鎮湖西里20鄰金華三街5號,10007,1000711,1000711-011,20鄰,金華三街,,,,,,5號,120.476053905154,23.9573378891033
彰化縣溪湖鎮湖西里2鄰金華三街6號,10007,1000711,1000711-011,2鄰,金華三街,,,,,,6號,120.476223601908,23.9575072000084
彰化縣溪湖鎮湖西里20鄰金華三街7號,10007,1000711,1000711-011,20鄰,金華三街,,,,,,7號,120.476012771547,23.9573390941056
彰化縣溪湖鎮湖西里2鄰金華三街8號,10007,1000711,1000711-011,2鄰,金華三街,,,,,,8號,120.476182484625,23.9575043509224
彰化縣溪湖鎮湖西里2鄰金華三街10號,10007,1000711,1000711-011,2鄰,金華三街,,,,,,10號,120.47613693834,23.9575082497145
彰化縣溪湖鎮湖西里2鄰金華三街12號,10007,1000711,1000711-011,2鄰,金華三街,,,,,,12號,120.476092888765,23.9575040452229
彰化縣溪湖鎮湖西里2鄰金華三街12之1號,10007,1000711,1000711-011,2鄰,金華三街,,,,,,12之1號,120.476048838073,23.9575025495268
彰化縣溪湖鎮湖西里2鄰金華三街16號,10007,1000711,1000711-011,2鄰,金華三街,,,,,,16號,120.476007704413,23.9575037545269
彰化縣溪湖鎮湖西里2鄰金華三街18號,10007,1000711,1000711-011,2鄰,金華三街,,,,,,18號,120.475962175594,23.9575008993554
彰化縣溪湖鎮湖西里2鄰金華三街20號,10007,1000711,1000711-011,2鄰,金華三街,,,,,,20號,120.4759210299,23.9575075128857
彰化縣溪湖鎮湖西里20鄰金華三街21號,10007,1000711,1000711-011,20鄰,金華三街,,,,,,21號,120.475801712774,23.9573175519286
彰化縣溪湖鎮湖西里2鄰金華三街22號,10007,1000711,1000711-011,2鄰,金華三街,,,,,,22號,120.475874048041,23.9575019529457
彰化縣溪湖鎮湖西里20鄰金華三街23號,10007,1000711,1000711-011,20鄰,金華三街,,,,,,23號,120.475756516991,23.9573173976167
彰化縣溪湖鎮湖西里20鄰金華三街25號,10007,1000711,1000711-011,20鄰,金華三街,,,,,,25號,120.475713865896,23.9573196899118
彰化縣溪湖鎮湖西里20鄰金華三街27號,10007,1000711,1000711-011,20鄰,金華三街,,,,,,27號,120.475671627522,23.9573171077428
