FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣埤頭鄉豊崙村5鄰青埔路330號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,330號,120.452990569707,23.9115644871471
彰化縣埤頭鄉豊崙村5鄰青埔路332號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,332號,120.452947852784,23.9115462583046
彰化縣埤頭鄉豊崙村5鄰青埔路334號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,334號,120.452900528622,23.9115258911471
彰化縣埤頭鄉豊崙村5鄰青埔路359號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,359號,120.452399534854,23.9118365069983
彰化縣埤頭鄉豊崙村5鄰青埔路369之10號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,369之10號,120.451528844798,23.9115814290883
彰化縣埤頭鄉豊崙村5鄰青埔路381號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,381號,120.452068237752,23.912054678013
彰化縣埤頭鄉豊崙村5鄰青埔路382號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,382號,120.452606588547,23.9124218529717
彰化縣埤頭鄉豊崙村5鄰青埔路413號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,413號,120.451719679223,23.9124901154104
彰化縣埤頭鄉豊崙村5鄰青埔路415號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,415號,120.451681649821,23.9125248061959
彰化縣埤頭鄉豊崙村5鄰青埔路416巷3號,10007,1000722,1000722-004,5鄰,青埔路,,416巷,,,,3號,120.451873651422,23.9127871357673
彰化縣埤頭鄉豊崙村5鄰青埔路416巷13號,10007,1000722,1000722-004,5鄰,青埔路,,416巷,,,,13號,120.452040999911,23.9128120935998
彰化縣埤頭鄉豊崙村5鄰青埔路416巷23號,10007,1000722,1000722-004,5鄰,青埔路,,416巷,,,,23號,120.452512911945,23.912954615344
彰化縣埤頭鄉豊崙村5鄰青埔路417號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,417號,120.451571848726,23.9125509249042
彰化縣埤頭鄉豊崙村5鄰青埔路417之1號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,417之1號,120.451516707551,23.912488353104
彰化縣埤頭鄉豊崙村5鄰青埔路421號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,421號,120.451638535192,23.9126426847694
彰化縣埤頭鄉豊崙村5鄰青埔路425號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,425號,120.451463170066,23.9126461856631
彰化縣埤頭鄉豊崙村5鄰青埔路427號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,427號,120.451429815794,23.9126785454188
彰化縣埤頭鄉豊崙村5鄰青埔路428號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,428號,120.451698187282,23.9129094905814
彰化縣埤頭鄉豊崙村5鄰青埔路435號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,435號,120.451396919042,23.912891007231
彰化縣埤頭鄉豊崙村5鄰青埔路437號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,437號,120.451362803095,23.9129153190562
彰化縣埤頭鄉豊崙村5鄰青埔路439號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,439號,120.451331857036,23.9129425677112
彰化縣埤頭鄉豊崙村5鄰青埔路441號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,441號,120.451301560246,23.9129672452977
彰化縣埤頭鄉豊崙村5鄰青埔路442之1號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,442之1號,120.451563854183,23.9131069901136
彰化縣埤頭鄉豊崙村5鄰青埔路443號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,443號,120.451271520451,23.9129915355309
彰化縣埤頭鄉豊崙村5鄰青埔路445號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,445號,120.451242178769,23.9130133180762
彰化縣埤頭鄉豊崙村5鄰青埔路447號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,447號,120.451207364826,23.9130400924007
彰化縣埤頭鄉豊崙村5鄰青埔路448號,10007,1000722,1000722-004,5鄰,青埔路,,,,,,448號,120.451327496515,23.9131099482088
彰化縣大城鄉公館村20鄰青埔路建16之1號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,建16之1號,120.304659600677,23.8437812304843
彰化縣大城鄉公館村20鄰青埔路1號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,1號,120.303072997943,23.8361723557733
彰化縣大城鄉公館村20鄰青埔路2號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,2號,120.303025333508,23.8360195808785
彰化縣大城鄉公館村20鄰青埔路2之1號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,2之1號,120.303503563907,23.8385395678388
彰化縣大城鄉公館村20鄰青埔路3號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,3號,120.303146392245,23.8362806421619
彰化縣大城鄉公館村20鄰青埔路4號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,4號,120.303446647684,23.8364322111959
彰化縣大城鄉公館村20鄰青埔路5號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,5號,120.303409885116,23.836629173107
彰化縣大城鄉公館村20鄰青埔路6號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,6號,120.303342747907,23.8367790813709
彰化縣大城鄉公館村20鄰青埔路7之1號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,7之1號,120.303470185647,23.8372795564895
彰化縣大城鄉公館村20鄰青埔路7之2號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,7之2號,120.303634931244,23.8388487022341
彰化縣大城鄉公館村20鄰青埔路7之3號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,7之3號,120.302100529004,23.8395055781926
彰化縣大城鄉公館村20鄰青埔路7之5號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,7之5號,120.301919449677,23.8392140593136
彰化縣大城鄉公館村20鄰青埔路7之7號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,7之7號,120.301861956856,23.8392194692778
彰化縣大城鄉公館村20鄰青埔路7之8號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,7之8號,120.302662369645,23.8402505568344
彰化縣大城鄉公館村20鄰青埔路7號之1,10007,1000724,1000724-010,20鄰,青埔路,,,,,,7號之1,120.303469214321,23.8372831457677
彰化縣大城鄉公館村20鄰青埔路7號之2,10007,1000724,1000724-010,20鄰,青埔路,,,,,,7號之2,120.303634854032,23.8388558079564
彰化縣大城鄉公館村20鄰青埔路8號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,8號,120.304211505006,23.8416515316801
彰化縣大城鄉公館村20鄰青埔路9之5號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,9之5號,120.303670342017,23.8400041359724
彰化縣大城鄉公館村20鄰青埔路9號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,9號,120.303938135466,23.8401113770274
彰化縣大城鄉公館村20鄰青埔路9之1號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,9之1號,120.303918085918,23.8400681444012
彰化縣大城鄉公館村20鄰青埔路10號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,10號,120.304506986783,23.8428623961834
彰化縣大城鄉公館村20鄰青埔路11號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,11號,120.304476682707,23.8427429280149
彰化縣大城鄉公館村20鄰青埔路16號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,16號,120.3048374824,23.8437432070721
彰化縣大城鄉公館村20鄰青埔路20號,10007,1000724,1000724-010,20鄰,青埔路,,,,,,20號,120.305543877794,23.8387306078651
