FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷建125號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,建125號,120.465575799955,24.0729933579093
彰化縣鹿港鎮廖厝里19鄰鹿和路三段2巷77號,10007,1000702,1000702-021,19鄰,鹿和路,三段,2巷,,,,77號,120.466110228061,24.0752869321756
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷123號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,123號,120.465598133498,24.0731332986733
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷135號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,135號,120.465554425869,24.0727405551354
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷135之1號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,135之1號,120.465610474764,24.0727418344393
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷135之2號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,135之2號,120.465672910476,24.0727444001222
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷135之3號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,135之3號,120.465735345818,24.0727470560707
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷135之5號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,135之5號,120.465808116884,24.072747310193
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷135之6號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,135之6號,120.465868005506,24.0727475193028
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷135之7號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,135之7號,120.465922701964,24.0727429247716
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷135之8號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,135之8號,120.465977270543,24.0727454628653
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷137號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,137號,120.465561633843,24.0725911465812
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷137之1號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,137之1號,120.465629291184,24.0725913829228
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷137之10號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,137之10號,120.46612889375,24.0725835562322
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷137之11號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,137之11號,120.466178348258,24.0725861666988
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷137之12號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,137之12號,120.466225147983,24.0725886775944
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷137之2號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,137之2號,120.465699505343,24.0725916281643
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷137之3號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,137之3號,120.465756738734,24.0725918280431
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷137之5號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,137之5號,120.465824405801,24.0725897167328
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷137之6號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,137之6號,120.465881639192,24.0725899165649
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷137之7號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,137之7號,120.465944094655,24.0725876967138
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷137之8號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,137之8號,120.465996125792,24.0725855307426
彰化縣鹿港鎮廖厝里21鄰鹿和路三段2巷137之9號,10007,1000702,1000702-021,21鄰,鹿和路,三段,2巷,,,,137之9號,120.466071650267,24.0725857943493
彰化縣鹿港鎮廖厝里19鄰鹿和路三段臨8號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,臨8號,120.466177463443,24.0767672374456
彰化縣鹿港鎮廖厝里19鄰鹿和路三段72之12號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,72之12號,120.467955473586,24.0775647534737
彰化縣鹿港鎮廖厝里19鄰鹿和路三段72之4號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,72之4號,120.467755836951,24.0775641492344
彰化縣鹿港鎮廖厝里19鄰鹿和路三段72號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,72號,120.467438601214,24.0774632721072
彰化縣鹿港鎮廖厝里19鄰鹿和路三段72之10號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,72之10號,120.467950353736,24.0776376918054
彰化縣鹿港鎮廖厝里19鄰鹿和路三段72之1號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,72之1號,120.467438409526,24.0775096816558
彰化縣鹿港鎮廖厝里19鄰鹿和路三段72之11號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,72之11號,120.467955327537,24.0776001475289
彰化縣鹿港鎮廖厝里19鄰鹿和路三段72之15號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,72之15號,120.467948740897,24.077456559935
彰化縣鹿港鎮廖厝里19鄰鹿和路三段72之16號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,72之16號,120.467948914145,24.0774145746392
彰化縣鹿港鎮廖厝里19鄰鹿和路三段72之17號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,72之17號,120.467951401794,24.0773837033408
彰化縣鹿港鎮廖厝里19鄰鹿和路三段72之18號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,72之18號,120.467586580237,24.0774227042791
彰化縣鹿港鎮廖厝里19鄰鹿和路三段72之2號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,72之2號,120.467429760341,24.0775560617574
彰化縣鹿港鎮廖厝里19鄰鹿和路三段72之3號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,72之3號,120.467296358638,24.0775911723715
彰化縣鹿港鎮廖厝里19鄰鹿和路三段72之5號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,72之5號,120.467755964792,24.077533179437
彰化縣鹿港鎮廖厝里19鄰鹿和路三段72之6號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,72之6號,120.467753741347,24.0775000344438
彰化縣鹿港鎮廖厝里19鄰鹿和路三段72之7號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,72之7號,120.467761093691,24.0774580741297
彰化縣鹿港鎮廖厝里19鄰鹿和路三段72之8號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,72之8號,120.467751601818,24.0774227368309
彰化縣鹿港鎮廖厝里19鄰鹿和路三段72之9號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,72之9號,120.467756575667,24.0773851925607
彰化縣鹿港鎮廖厝里19鄰鹿和路三段72號之7,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,72號之7,120.467761093691,24.0774580741297
彰化縣鹿港鎮廖厝里19鄰鹿和路三段72號之14,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,72號之14,120.467943785357,24.0774896799551
彰化縣鹿港鎮廖厝里3鄰鹿和路三段84號,10007,1000702,1000702-021,3鄰,鹿和路,三段,,,,,84號,120.468128243844,24.0779751005696
彰化縣鹿港鎮廖厝里19鄰鹿和路三段88號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,88號,120.468142847184,24.0781302734327
彰化縣鹿港鎮廖厝里19鄰鹿和路三段92號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,92號,120.468216012143,24.0781788341749
彰化縣鹿港鎮廖厝里19鄰鹿和路三段96號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,96號,120.468283711998,24.0782171728603
彰化縣鹿港鎮廖厝里19鄰鹿和路三段98號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,98號,120.468316883961,24.0782338116524
彰化縣鹿港鎮廖厝里19鄰鹿和路三段100號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,100號,120.468347183121,24.0782554968179
彰化縣鹿港鎮廖厝里19鄰鹿和路三段102號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,102號,120.468387300637,24.078281098669
彰化縣鹿港鎮廖厝里19鄰鹿和路三段104巷1號,10007,1000702,1000702-021,19鄰,鹿和路,三段,104巷,,,,1號,120.468532441146,24.0780704094707
彰化縣鹿港鎮廖厝里19鄰鹿和路三段104巷2號,10007,1000702,1000702-021,19鄰,鹿和路,三段,104巷,,,,2號,120.468625919029,24.078129785375
彰化縣鹿港鎮廖厝里19鄰鹿和路三段104巷3號,10007,1000702,1000702-021,19鄰,鹿和路,三段,104巷,,,,3號,120.468563802916,24.078049028881
彰化縣鹿港鎮廖厝里19鄰鹿和路三段104巷4號,10007,1000702,1000702-021,19鄰,鹿和路,三段,104巷,,,,4號,120.468649760448,24.0780957377264
彰化縣鹿港鎮廖厝里19鄰鹿和路三段104巷6號,10007,1000702,1000702-021,19鄰,鹿和路,三段,104巷,,,,6號,120.468663264638,24.0780643629328
彰化縣鹿港鎮廖厝里19鄰鹿和路三段106號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,106號,120.468477101473,24.0783259248318
彰化縣鹿港鎮廖厝里19鄰鹿和路三段108號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,108號,120.468508854993,24.0783526713856
彰化縣鹿港鎮廖厝里19鄰鹿和路三段110號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,110號,120.466858616306,24.0790447065928
彰化縣鹿港鎮廖厝里19鄰鹿和路三段112號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,112號,120.468579297857,24.0783936379484
彰化縣鹿港鎮廖厝里19鄰鹿和路三段114號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,114號,120.468610085096,24.0784162276808
彰化縣鹿港鎮廖厝里19鄰鹿和路三段116號,10007,1000702,1000702-021,19鄰,鹿和路,三段,,,,,116號,120.468646190347,24.0784370300364
