FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
雲林縣斗六市鎮南里3鄰三和街1號,10009,1000901,1000901-012,3鄰,三和街,,,,,,1號,120.5388133058,23.7052436432042
雲林縣斗六市鎮南里3鄰三和街2號,10009,1000901,1000901-012,3鄰,三和街,,,,,,2號,120.538768558272,23.705419679778
雲林縣斗六市鎮南里3鄰三和街3號,10009,1000901,1000901-012,3鄰,三和街,,,,,,3號,120.538769158428,23.7052489294816
雲林縣斗六市鎮南里3鄰三和街5號,10009,1000901,1000901-012,3鄰,三和街,,,,,,5號,120.53872646454,23.7052591864267
雲林縣斗六市鎮南里3鄰三和街7號,10009,1000901,1000901-012,3鄰,三和街,,,,,,7號,120.538682801125,23.7052662800666
雲林縣斗六市鎮南里3鄰三和街9號,10009,1000901,1000901-012,3鄰,三和街,,,,,,9號,120.538137849191,23.7052970715007
雲林縣斗六市鎮南里3鄰三和街10號,10009,1000901,1000901-012,3鄰,三和街,,,,,,10號,120.53815166154,23.7054126931814
雲林縣斗六市鎮南里3鄰三和街11號,10009,1000901,1000901-012,3鄰,三和街,,,,,,11號,120.538093198748,23.7053059679729
雲林縣斗六市鎮南里3鄰三和街12號,10009,1000901,1000901-012,3鄰,三和街,,,,,,12號,120.538105060921,23.7054184234337
雲林縣斗六市鎮南里3鄰三和街13號,10009,1000901,1000901-012,3鄰,三和街,,,,,,13號,120.538049541645,23.7053112555076
雲林縣斗六市鎮南里3鄰三和街14號,10009,1000901,1000901-012,3鄰,三和街,,,,,,14號,120.538061392656,23.7054268713411
雲林縣斗六市鎮南里3鄰三和街15號,10009,1000901,1000901-012,3鄰,三和街,,,,,,15號,120.537847461915,23.7053305176092
雲林縣斗六市鎮南里3鄰三和街16號,10009,1000901,1000901-012,3鄰,三和街,,,,,,16號,120.538023616117,23.7054330793917
雲林縣斗六市鎮南里3鄰三和街17號,10009,1000901,1000901-012,3鄰,三和街,,,,,,17號,120.537831451659,23.7052821607804
雲林縣斗六市鎮南里3鄰三和街18號,10009,1000901,1000901-012,3鄰,三和街,,,,,,18號,120.537982894503,23.7054401816138
雲林縣斗六市鎮南里3鄰三和街19號,10009,1000901,1000901-012,3鄰,三和街,,,,,,19號,120.537826186995,23.7052455746791
雲林縣斗六市鎮南里3鄰三和街20號,10009,1000901,1000901-012,3鄰,三和街,,,,,,20號,120.537939229402,23.7054477265237
雲林縣斗六市鎮南里3鄰三和街21號,10009,1000901,1000901-012,3鄰,三和街,,,,,,21號,120.537815528873,23.7052089724713
雲林縣斗六市鎮南里3鄰三和街22號,10009,1000901,1000901-012,3鄰,三和街,,,,,,22號,120.537902926978,23.7054530359733
雲林縣斗六市鎮南里3鄰三和街23號,10009,1000901,1000901-012,3鄰,三和街,,,,,,23號,120.537808302958,23.7051723805124
雲林縣斗六市鎮南里3鄰三和街24號,10009,1000901,1000901-012,3鄰,三和街,,,,,,24號,120.537862214892,23.7054574292749
雲林縣斗六市鎮南里3鄰三和街25號,10009,1000901,1000901-012,3鄰,三和街,,,,,,25號,120.537801075457,23.7051362400344
雲林縣斗六市鎮南里3鄰三和街26號,10009,1000901,1000901-012,3鄰,三和街,,,,,,26號,120.537817066111,23.7054685816092
雲林縣斗六市鎮南里3鄰三和街27號,10009,1000901,1000901-012,3鄰,三和街,,,,,,27號,120.537793847959,23.705100099556
雲林縣斗六市鎮南里2鄰三和街28巷1號,10009,1000901,1000901-012,2鄰,三和街,,28巷,,,,1號,120.537716963805,23.705490405466
雲林縣斗六市鎮南里2鄰三和街28巷3號,10009,1000901,1000901-012,2鄰,三和街,,28巷,,,,3號,120.537709968963,23.7055274064375
雲林縣斗六市鎮南里2鄰三和街28巷5號,10009,1000901,1000901-012,2鄰,三和街,,28巷,,,,5號,120.537707874094,23.7055653250169
雲林縣斗六市鎮南里2鄰三和街28巷7號,10009,1000901,1000901-012,2鄰,三和街,,28巷,,,,7號,120.537704301914,23.705605045128
雲林縣斗六市鎮南里2鄰三和街28巷9號,10009,1000901,1000901-012,2鄰,三和街,,28巷,,,,9號,120.537700248959,23.7056420548859
雲林縣斗六市鎮南里3鄰三和街29號,10009,1000901,1000901-012,3鄰,三和街,,,,,,29號,120.537787609044,23.7050617045985
雲林縣斗六市鎮南里2鄰三和街30號,10009,1000901,1000901-012,2鄰,三和街,,,,,,30號,120.537716121548,23.7054511236545
雲林縣斗六市鎮南里3鄰三和街31號,10009,1000901,1000901-012,3鄰,三和街,,,,,,31號,120.537777933165,23.7050246538348
雲林縣斗六市鎮南里2鄰三和街32號,10009,1000901,1000901-012,2鄰,三和街,,,,,,32號,120.537722138934,23.7054132167905
雲林縣斗六市鎮南里4鄰三和街33號,10009,1000901,1000901-012,4鄰,三和街,,,,,,33號,120.537770702499,23.7049894163179
雲林縣斗六市鎮南里2鄰三和街34號,10009,1000901,1000901-012,2鄰,三和街,,,,,,34號,120.537726188694,23.7053771099936
雲林縣斗六市鎮南里4鄰三和街35號,10009,1000901,1000901-012,4鄰,三和街,,,,,,35號,120.537762004076,23.7049532714445
雲林縣斗六市鎮南里2鄰三和街36號,10009,1000901,1000901-012,2鄰,三和街,,,,,,36號,120.53772337245,23.7053414341749
雲林縣斗六市鎮南里4鄰三和街37號,10009,1000901,1000901-012,4鄰,三和街,,,,,,37號,120.537754291056,23.7049157750551
雲林縣斗六市鎮南里2鄰三和街38號,10009,1000901,1000901-012,2鄰,三和街,,,,,,38號,120.537716151326,23.7053034877683
雲林縣斗六市鎮南里4鄰三和街39號,10009,1000901,1000901-012,4鄰,三和街,,,,,,39號,120.537750500547,23.7048782903803
雲林縣斗六市鎮南里2鄰三和街40號,10009,1000901,1000901-012,2鄰,三和街,,,,,,40號,120.53770843671,23.7052664428596
雲林縣斗六市鎮南里4鄰三和街41號,10009,1000901,1000901-012,4鄰,三和街,,,,,,41號,120.537741794185,23.7048444029127
雲林縣斗六市鎮南里2鄰三和街42號,10009,1000901,1000901-012,2鄰,三和街,,,,,,42號,120.537696801171,23.7052289347523
雲林縣斗六市鎮南里4鄰三和街43號,10009,1000901,1000901-012,4鄰,三和街,,,,,,43號,120.537734085948,23.7048055520775
雲林縣斗六市鎮南里4鄰三和街45號,10009,1000901,1000901-012,4鄰,三和街,,,,,,45號,120.537724902005,23.7047680512928
雲林縣斗六市鎮南里4鄰三和街46號,10009,1000901,1000901-012,4鄰,三和街,,,,,,46號,120.537658890672,23.705134009412
