FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
雲林縣斗六市成功里1鄰五福街1號,10009,1000901,1000901-038,1鄰,五福街,,,,,,1號,120.554367928726,23.705100219009
雲林縣斗六市成功里1鄰五福街3號,10009,1000901,1000901-038,1鄰,五福街,,,,,,3號,120.554276057278,23.7051536813959
雲林縣斗六市成功里1鄰五福街5號,10009,1000901,1000901-038,1鄰,五福街,,,,,,5號,120.554230398124,23.705171157884
雲林縣斗六市成功里1鄰五福街7號,10009,1000901,1000901-038,1鄰,五福街,,,,,,7號,120.554184742026,23.7051877313935
雲林縣斗六市成功里1鄰五福街13號,10009,1000901,1000901-038,1鄰,五福街,,,,,,13號,120.554054778872,23.7052566421566
雲林縣斗六市成功里2鄰五福街16巷11號,10009,1000901,1000901-038,2鄰,五福街,,16巷,,,,11號,120.554717494663,23.7055432307811
雲林縣斗六市成功里2鄰五福街16巷13號,10009,1000901,1000901-038,2鄰,五福街,,16巷,,,,13號,120.554724708474,23.7055847883281
雲林縣斗六市成功里2鄰五福街16巷15號,10009,1000901,1000901-038,2鄰,五福街,,16巷,,,,15號,120.554712034111,23.7056496756751
雲林縣斗六市成功里2鄰五福街16巷17號,10009,1000901,1000901-038,2鄰,五福街,,16巷,,,,17號,120.554736448599,23.7057374246664
雲林縣斗六市成功里2鄰五福街16巷19號,10009,1000901,1000901-038,2鄰,五福街,,16巷,,,,19號,120.554721064908,23.7057915588308
雲林縣斗六市成功里2鄰五福街16巷21號,10009,1000901,1000901-038,2鄰,五福街,,16巷,,,,21號,120.554726775606,23.705842593276
雲林縣斗六市成功里2鄰五福街16巷21之1號,10009,1000901,1000901-038,2鄰,五福街,,16巷,,,,21之1號,120.554733503712,23.7058827949633
雲林縣斗六市成功里2鄰五福街16巷21之2號,10009,1000901,1000901-038,2鄰,五福街,,16巷,,,,21之2號,120.554739235866,23.7059275086534
雲林縣斗六市成功里2鄰五福街16巷23號,10009,1000901,1000901-038,2鄰,五福街,,16巷,,,,23號,120.55479208303,23.7059592647639
雲林縣斗六市成功里2鄰五福街16巷25號,10009,1000901,1000901-038,2鄰,五福街,,16巷,,,,25號,120.554780139224,23.7060111513937
雲林縣斗六市成功里2鄰五福街16巷27號,10009,1000901,1000901-038,2鄰,五福街,,16巷,,,,27號,120.55479605168,23.7060902073671
雲林縣斗六市成功里1鄰五福街16巷28號,10009,1000901,1000901-038,1鄰,五福街,,16巷,,,,28號,120.555010974855,23.7058980405796
雲林縣斗六市成功里2鄰五福街16巷29號,10009,1000901,1000901-038,2鄰,五福街,,16巷,,,,29號,120.554801797649,23.7061308577122
雲林縣斗六市成功里1鄰五福街16巷30號,10009,1000901,1000901-038,1鄰,五福街,,16巷,,,,30號,120.555020151581,23.7059391522692
雲林縣斗六市成功里2鄰五福街16巷31號,10009,1000901,1000901-038,2鄰,五福街,,16巷,,,,31號,120.554826673734,23.7061693056502
雲林縣斗六市成功里1鄰五福街16巷32號,10009,1000901,1000901-038,1鄰,五福街,,16巷,,,,32號,120.554992626758,23.7059877434125
雲林縣斗六市成功里2鄰五福街16巷33號,10009,1000901,1000901-038,2鄰,五福街,,16巷,,,,33號,120.554834382525,23.7062095101528
雲林縣斗六市成功里1鄰五福街16巷34號,10009,1000901,1000901-038,1鄰,五福街,,16巷,,,,34號,120.554932057239,23.7060643220085
雲林縣斗六市成功里2鄰五福街16巷35號,10009,1000901,1000901-038,2鄰,五福街,,16巷,,,,35號,120.554841594875,23.7062515191744
雲林縣斗六市成功里1鄰五福街16巷36號,10009,1000901,1000901-038,1鄰,五福街,,16巷,,,,36號,120.554934261927,23.7061082128707
雲林縣斗六市成功里2鄰五福街16巷37號,10009,1000901,1000901-038,2鄰,五福街,,16巷,,,,37號,120.554839117008,23.7063170679361
雲林縣斗六市成功里1鄰五福街16巷38號,10009,1000901,1000901-038,1鄰,五福街,,16巷,,,,38號,120.554942456473,23.7061497732261
雲林縣斗六市成功里2鄰五福街16巷39號,10009,1000901,1000901-038,2鄰,五福街,,16巷,,,,39號,120.554843370061,23.7064220057094
雲林縣斗六市成功里1鄰五福街16巷40號,10009,1000901,1000901-038,1鄰,五福街,,16巷,,,,40號,120.554939859403,23.7061926570084
