FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
雲林縣斗南鎮石溪里9鄰南榮路5號,10009,1000902,1000902-022,9鄰,南榮路,,,,,,5號,120.480405959216,23.6383156625885
雲林縣斗南鎮石溪里9鄰南榮路15號,10009,1000902,1000902-022,9鄰,南榮路,,,,,,15號,120.480092668012,23.6389710753727
雲林縣斗南鎮石溪里4鄰南榮路36號,10009,1000902,1000902-022,4鄰,南榮路,,,,,,36號,120.480018718821,23.6404468297536
雲林縣斗南鎮石溪里4鄰南榮路38號,10009,1000902,1000902-022,4鄰,南榮路,,,,,,38號,120.479830268358,23.6405130179264
雲林縣斗南鎮石溪里4鄰南榮路42號,10009,1000902,1000902-022,4鄰,南榮路,,,,,,42號,120.479830174428,23.6407848129283
雲林縣斗南鎮石溪里4鄰南榮路42之1號,10009,1000902,1000902-022,4鄰,南榮路,,,,,,42之1號,120.479969948287,23.6406349364144
雲林縣斗南鎮石溪里4鄰南榮路42之2號,10009,1000902,1000902-022,4鄰,南榮路,,,,,,42之2號,120.479971733764,23.6406791881512
雲林縣斗南鎮石溪里4鄰南榮路46號,10009,1000902,1000902-022,4鄰,南榮路,,,,,,46號,120.480004624675,23.640913168822
雲林縣斗南鎮石溪里4鄰南榮路47號,10009,1000902,1000902-022,4鄰,南榮路,,,,,,47號,120.480157047377,23.6400423093843
雲林縣斗南鎮石溪里4鄰南榮路49號,10009,1000902,1000902-022,4鄰,南榮路,,,,,,49號,120.480156444722,23.6401949100662
雲林縣斗南鎮石溪里4鄰南榮路51號,10009,1000902,1000902-022,4鄰,南榮路,,,,,,51號,120.480158828831,23.6403357820873
雲林縣斗南鎮石溪里4鄰南榮路53號,10009,1000902,1000902-022,4鄰,南榮路,,,,,,53號,120.480161685181,23.6404811705613
雲林縣斗南鎮石溪里2鄰南榮路75號,10009,1000902,1000902-022,2鄰,南榮路,,,,,,75號,120.480244802616,23.6416476406582
雲林縣斗南鎮石溪里2鄰南榮路85號,10009,1000902,1000902-022,2鄰,南榮路,,,,,,85號,120.480302608923,23.642398206075
雲林縣斗南鎮石溪里2鄰南榮路102號,10009,1000902,1000902-022,2鄰,南榮路,,,,,,102號,120.480350880067,23.6412939398567
雲林縣斗南鎮石溪里2鄰南榮路104號,10009,1000902,1000902-022,2鄰,南榮路,,,,,,104號,120.48035202776,23.641251503903
雲林縣斗南鎮石溪里4鄰南榮路118號,10009,1000902,1000902-022,4鄰,南榮路,,,,,,118號,120.480352080701,23.6418835861741
