FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
雲林縣口湖鄉台子村12鄰台興路1號,10009,1000919,1000919-000,12鄰,台興路,,,,,,1號,120.142819137768,23.5628936655459
雲林縣口湖鄉台子村11鄰台興路1之36號,10009,1000919,1000919-000,11鄰,台興路,,,,,,1之36號,120.145733994512,23.5671075670263
雲林縣口湖鄉台子村11鄰台興路1號,10009,1000919,1000919-000,11鄰,台興路,,,,,,1號,120.143179820579,23.5630248373067
雲林縣口湖鄉台子村11鄰台興路2號,10009,1000919,1000919-000,11鄰,台興路,,,,,,2號,120.142938281417,23.5629051576636
雲林縣口湖鄉台子村11鄰台興路2之1號,10009,1000919,1000919-000,11鄰,台興路,,,,,,2之1號,120.142883493304,23.5628935688806
雲林縣口湖鄉台子村11鄰台興路2之5號,10009,1000919,1000919-000,11鄰,台興路,,,,,,2之5號,120.142519805979,23.5622474694834
雲林縣口湖鄉台子村8鄰台興路3號,10009,1000919,1000919-000,8鄰,台興路,,,,,,3號,120.143288819318,23.5628002538216
雲林縣口湖鄉台子村12鄰台興路3之56號,10009,1000919,1000919-000,12鄰,台興路,,,,,,3之56號,120.149449109558,23.5650172251747
雲林縣口湖鄉台子村11鄰台興路3之1號,10009,1000919,1000919-000,11鄰,台興路,,,,,,3之1號,120.143537525592,23.5627814162911
雲林縣口湖鄉台子村12鄰台興路3之11號,10009,1000919,1000919-000,12鄰,台興路,,,,,,3之11號,120.143873830948,23.5626748886778
雲林縣口湖鄉台子村12鄰台興路3之12號,10009,1000919,1000919-000,12鄰,台興路,,,,,,3之12號,120.143929196001,23.5626700016354
雲林縣口湖鄉台子村12鄰台興路3之13號,10009,1000919,1000919-000,12鄰,台興路,,,,,,3之13號,120.143983801803,23.56266891177
雲林縣口湖鄉台子村12鄰台興路3之16號,10009,1000919,1000919-000,12鄰,台興路,,,,,,3之16號,120.144131056193,23.5620697910875
雲林縣口湖鄉台子村11鄰台興路3之2號,10009,1000919,1000919-000,11鄰,台興路,,,,,,3之2號,120.143695450024,23.5627594508297
雲林縣口湖鄉台子村12鄰台興路3之3號,10009,1000919,1000919-000,12鄰,台興路,,,,,,3之3號,120.143344151787,23.5628019131234
雲林縣口湖鄉台子村12鄰台興路3之4號,10009,1000919,1000919-000,12鄰,台興路,,,,,,3之4號,120.143587037244,23.5627350973353
雲林縣口湖鄉台子村12鄰台興路3之50號,10009,1000919,1000919-000,12鄰,台興路,,,,,,3之50號,120.149985557554,23.5644005613517
雲林縣口湖鄉台子村12鄰台興路3之5號,10009,1000919,1000919-000,12鄰,台興路,,,,,,3之5號,120.14358983209,23.5626968280811
雲林縣口湖鄉台子村12鄰台興路3之60號,10009,1000919,1000919-000,12鄰,台興路,,,,,,3之60號,120.152890086829,23.5616968550544
雲林縣口湖鄉台子村12鄰台興路3之70號,10009,1000919,1000919-000,12鄰,台興路,,,,,,3之70號,120.151416822272,23.5637050434735
雲林縣口湖鄉台子村12鄰台興路3之75號,10009,1000919,1000919-000,12鄰,台興路,,,,,,3之75號,120.151623865398,23.5629440731068
雲林縣口湖鄉台子村12鄰台興路5之39號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之39號,120.14252597261,23.5616550215112
雲林縣口湖鄉台子村12鄰台興路5號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5號,120.142647287106,23.5623718030256
雲林縣口湖鄉台子村12鄰台興路5之10號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之10號,120.142877334978,23.5619676153503
雲林縣口湖鄉台子村12鄰台興路5之1號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之1號,120.142690128344,23.5620809495456
雲林縣口湖鄉台子村12鄰台興路5之11號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之11號,120.142676642901,23.5618662102814
雲林縣口湖鄉台子村12鄰台興路5之12號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之12號,120.142870796191,23.5618899355077
雲林縣口湖鄉台子村12鄰台興路5之16號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之16號,120.1428704171,23.5618441904863
雲林縣口湖鄉台子村12鄰台興路5之2號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之2號,120.142784881639,23.5627309475276
雲林縣口湖鄉台子村12鄰台興路5之20號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之20號,120.142951550613,23.5622428251753
雲林縣口湖鄉台子村12鄰台興路5之21號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之21號,120.142745444578,23.5622420590982
雲林縣口湖鄉台子村12鄰台興路5之22號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之22號,120.14294324546,23.5621973434629
雲林縣口湖鄉台子村12鄰台興路5之23號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之23號,120.142731015244,23.5621969228435
雲林縣口湖鄉台子村12鄰台興路5之25號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之25號,120.142720904783,23.56213983742
雲林縣口湖鄉台子村12鄰台興路5之26號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之26號,120.142933876401,23.5621558107614
雲林縣口湖鄉台子村12鄰台興路5之3號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之3號,120.142681858862,23.5620224385964
雲林縣口湖鄉台子村12鄰台興路5之33號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之33號,120.142454554738,23.5617819782464
雲林縣口湖鄉台子村12鄰台興路5之37號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之37號,120.142422293067,23.5616712533863
雲林縣口湖鄉台子村12鄰台興路5之40號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之40號,120.142655632216,23.5617258317559
雲林縣口湖鄉台子村12鄰台興路5之4號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之4號,120.142903662017,23.562087273599
雲林縣口湖鄉台子村12鄰台興路5之42號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之42號,120.14285187592,23.5617911759959
雲林縣口湖鄉台子村12鄰台興路5之5號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之5號,120.142683319787,23.561982970125
雲林縣口湖鄉台子村11鄰台興路5之6號,10009,1000919,1000919-000,11鄰,台興路,,,,,,5之6號,120.142890425746,23.5620288436309
雲林縣口湖鄉台子村12鄰台興路5之6號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之6號,120.142882313119,23.5620186137464
雲林縣口湖鄉台子村12鄰台興路5之7號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之7號,120.142674711005,23.5619495770888
雲林縣口湖鄉台子村12鄰台興路5之8號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之8號,120.14289272131,23.5619996190947
雲林縣口湖鄉台子村12鄰台興路5之9號,10009,1000919,1000919-000,12鄰,台興路,,,,,,5之9號,120.142666220369,23.5619100537424
雲林縣口湖鄉台子村12鄰台興路7號,10009,1000919,1000919-000,12鄰,台興路,,,,,,7號,120.142985311768,23.5625573607339
雲林縣口湖鄉台子村12鄰台興路7之1號,10009,1000919,1000919-000,12鄰,台興路,,,,,,7之1號,120.143054836695,23.5624972199052
雲林縣口湖鄉台子村11鄰台興路8號,10009,1000919,1000919-000,11鄰,台興路,,,,,,8號,120.14215719248,23.5618317692925
雲林縣口湖鄉台子村6鄰台興路8之1號,10009,1000919,1000919-000,6鄰,台興路,,,,,,8之1號,120.142385287138,23.5614509035188
雲林縣口湖鄉台子村6鄰台興路8之2號,10009,1000919,1000919-000,6鄰,台興路,,,,,,8之2號,120.142286056147,23.5613416873324
雲林縣口湖鄉台子村6鄰台興路8之3號,10009,1000919,1000919-000,6鄰,台興路,,,,,,8之3號,120.142285668168,23.5612973418189
雲林縣口湖鄉台子村6鄰台興路8之4號,10009,1000919,1000919-000,6鄰,台興路,,,,,,8之4號,120.142277219942,23.5612498005803
雲林縣口湖鄉台子村6鄰台興路8之5號,10009,1000919,1000919-000,6鄰,台興路,,,,,,8之5號,120.142268497319,23.5612098244629
雲林縣口湖鄉台子村12鄰台興路9之1號,10009,1000919,1000919-000,12鄰,台興路,,,,,,9之1號,120.143491374814,23.5624422887284
雲林縣口湖鄉台子村12鄰台興路9號,10009,1000919,1000919-000,12鄰,台興路,,,,,,9號,120.143457603295,23.5624947892179
雲林縣口湖鄉台子村12鄰台興路11號,10009,1000919,1000919-000,12鄰,台興路,,,,,,11號,120.143694243202,23.5624801829389
雲林縣口湖鄉台子村12鄰台興路11之1號,10009,1000919,1000919-000,12鄰,台興路,,,,,,11之1號,120.143781194011,23.5624607700473
雲林縣口湖鄉台子村6鄰台興路13之33號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之33號,120.142747070611,23.5610328510415
雲林縣口湖鄉台子村6鄰台興路13之190號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之190號,120.143509053733,23.5615888370221
雲林縣口湖鄉台子村6鄰台興路13之83號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之83號,120.142660201089,23.5596420251012
雲林縣口湖鄉台子村6鄰台興路13之202號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之202號,120.143062535588,23.5611290375663
雲林縣口湖鄉台子村6鄰台興路13號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13號,120.142207752315,23.5610718451994
雲林縣口湖鄉台子村6鄰台興路13之19號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之19號,120.142660037049,23.561433457042
雲林縣口湖鄉台子村6鄰台興路13之61號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之61號,120.142271953981,23.5601356882109
雲林縣口湖鄉台子村6鄰台興路13之100號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之100號,120.143162072101,23.5597940836484
雲林縣口湖鄉台子村6鄰台興路13之103號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之103號,120.142619870626,23.5606495198556
雲林縣口湖鄉台子村6鄰台興路13之101號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之101號,120.142607756602,23.5605555473026
雲林縣口湖鄉台子村6鄰台興路13之105號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之105號,120.142879411544,23.5597329678234
雲林縣口湖鄉台子村6鄰台興路13之102號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之102號,120.143114451349,23.5596471566583
雲林縣口湖鄉台子村6鄰台興路13之110號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之110號,120.143229829419,23.5592268327236
雲林縣口湖鄉台子村6鄰台興路13之112號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之112號,120.143435134085,23.5599594085857
雲林縣口湖鄉台子村6鄰台興路13之122號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之122號,120.143473644426,23.5600597206743
雲林縣口湖鄉台子村6鄰台興路13之126號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之126號,120.143485607943,23.5601135386028
雲林縣口湖鄉台子村6鄰台興路13之130號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之130號,120.143501437093,23.5601845065984
雲林縣口湖鄉台子村6鄰台興路13之138號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之138號,120.143897271769,23.5593959276285
雲林縣口湖鄉台子村6鄰台興路13之20號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之20號,120.142791627904,23.5613364213005
雲林縣口湖鄉台子村6鄰台興路13之204號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之204號,120.143055262842,23.5610663424796
雲林縣口湖鄉台子村6鄰台興路13之208號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之208號,120.143004968648,23.5609751482493
雲林縣口湖鄉台子村6鄰台興路13之206號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之206號,120.143016656005,23.5610201790774
雲林縣口湖鄉台子村6鄰台興路13之200號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之200號,120.143093193392,23.5611760059116
雲林縣口湖鄉台子村6鄰台興路13之210號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之210號,120.14297905992,23.5609284317993
雲林縣口湖鄉台子村6鄰台興路13之214號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之214號,120.14295979526,23.5608465282807
雲林縣口湖鄉台子村6鄰台興路13之212號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之212號,120.142967788822,23.560888694491
雲林縣口湖鄉台子村6鄰台興路13之216號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之216號,120.142950256631,23.5608084980477
雲林縣口湖鄉台子村6鄰台興路13之218號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之218號,120.142945603146,23.5607014108053
雲林縣口湖鄉台子村6鄰台興路13之21號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之21號,120.142273391048,23.5599535460651
雲林縣口湖鄉台子村6鄰台興路13之222號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之222號,120.142917437634,23.560554139539
雲林縣口湖鄉台子村6鄰台興路13之220號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之220號,120.142921100505,23.5606448149037
雲林縣口湖鄉台子村6鄰台興路13之22號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之22號,120.142622819305,23.5612804111855
雲林縣口湖鄉台子村6鄰台興路13之230號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之230號,120.142882926003,23.560473145196
雲林縣口湖鄉台子村6鄰台興路13之23號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之23號,120.142299036685,23.5600226179698
雲林縣口湖鄉台子村6鄰台興路13之24號,10009,1000919,1000919-000,6鄰,台興路,,,,,,13之24號,120.142654957764,23.5612154142066
