FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
雲林縣虎尾鎮平和里14鄰大成九街16號,10009,1000903,1000903-008,14鄰,大成九街,,,,,,16號,120.450462474336,23.7120319541522
雲林縣虎尾鎮平和里14鄰大成九街18號,10009,1000903,1000903-008,14鄰,大成九街,,,,,,18號,120.450502337384,23.712090878629
雲林縣虎尾鎮平和里16鄰大成九街19號,10009,1000903,1000903-008,16鄰,大成九街,,,,,,19號,120.450324810174,23.7122369796183
雲林縣虎尾鎮平和里16鄰大成九街21號,10009,1000903,1000903-008,16鄰,大成九街,,,,,,21號,120.450320478872,23.7123344842615
雲林縣虎尾鎮平和里14鄰大成九街22號,10009,1000903,1000903-008,14鄰,大成九街,,,,,,22號,120.450493195275,23.7121897206414
雲林縣虎尾鎮平和里14鄰大成九街22之1號,10009,1000903,1000903-008,14鄰,大成九街,,,,,,22之1號,120.450638658105,23.7122299675374
雲林縣虎尾鎮平和里14鄰大成九街22之2號,10009,1000903,1000903-008,14鄰,大成九街,,,,,,22之2號,120.450700432653,23.7122319927729
雲林縣虎尾鎮平和里14鄰大成九街22之3號,10009,1000903,1000903-008,14鄰,大成九街,,,,,,22之3號,120.450762205312,23.7122344694587
雲林縣虎尾鎮平和里16鄰大成九街23號,10009,1000903,1000903-008,16鄰,大成九街,,,,,,23號,120.450316247829,23.712408060734
雲林縣虎尾鎮平和里14鄰大成九街26號,10009,1000903,1000903-008,14鄰,大成九街,,,,,,26號,120.45049003389,23.7122420812837
雲林縣虎尾鎮平和里14鄰大成九街28號,10009,1000903,1000903-008,14鄰,大成九街,,,,,,28號,120.450485923985,23.7122867633693
雲林縣虎尾鎮平和里14鄰大成九街30號,10009,1000903,1000903-008,14鄰,大成九街,,,,,,30號,120.450483760285,23.7123350642192
雲林縣虎尾鎮平和里14鄰大成九街32號,10009,1000903,1000903-008,14鄰,大成九街,,,,,,32號,120.450480119905,23.7123847142694
雲林縣虎尾鎮平和里14鄰大成九街36號,10009,1000903,1000903-008,14鄰,大成九街,,,,,,36號,120.450478914175,23.7124384363001
雲林縣虎尾鎮平和里16鄰大成九街51號,10009,1000903,1000903-008,16鄰,大成九街,,,,,,51號,120.450257864819,23.7127667811906
雲林縣虎尾鎮平和里15鄰大成九街62號,10009,1000903,1000903-008,15鄰,大成九街,,,,,,62號,120.450473531327,23.7128572115209
雲林縣虎尾鎮平和里15鄰大成九街66號,10009,1000903,1000903-008,15鄰,大成九街,,,,,,66號,120.450464108451,23.7129294151099
雲林縣虎尾鎮平和里15鄰大成九街68號,10009,1000903,1000903-008,15鄰,大成九街,,,,,,68號,120.450463383017,23.7130323503351
