FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
雲林縣虎尾鎮平和里23鄰成德七街7號,10009,1000903,1000903-008,23鄰,成德七街,,,,,,7號,120.449646622961,23.7113594169966
雲林縣虎尾鎮平和里23鄰成德七街17號,10009,1000903,1000903-008,23鄰,成德七街,,,,,,17號,120.449798417515,23.7115498499819
雲林縣虎尾鎮平和里23鄰成德七街19號,10009,1000903,1000903-008,23鄰,成德七街,,,,,,19號,120.449823206316,23.7115785620572
雲林縣虎尾鎮平和里23鄰成德七街21號,10009,1000903,1000903-008,23鄰,成德七街,,,,,,21號,120.449901979334,23.7115960887168
雲林縣虎尾鎮平和里22鄰成德七街26號,10009,1000903,1000903-008,22鄰,成德七街,,,,,,26號,120.450074683338,23.7113605776855
雲林縣虎尾鎮平和里22鄰成德七街28號,10009,1000903,1000903-008,22鄰,成德七街,,,,,,28號,120.450116029079,23.711393231298
雲林縣虎尾鎮平和里22鄰成德七街30號,10009,1000903,1000903-008,22鄰,成德七街,,,,,,30號,120.450169927318,23.7114259295028
雲林縣虎尾鎮平和里22鄰成德七街32號,10009,1000903,1000903-008,22鄰,成德七街,,,,,,32號,120.450205135041,23.7114489898704
雲林縣虎尾鎮平和里22鄰成德七街36號,10009,1000903,1000903-008,22鄰,成德七街,,,,,,36號,120.450240276875,23.7114643748077
雲林縣虎尾鎮平和里22鄰成德七街42號,10009,1000903,1000903-008,22鄰,成德七街,,,,,,42號,120.450255694658,23.7115295332394
