FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
雲林縣斗六市正心里1鄰正義一街3號,10009,1000901,1000901-000,1鄰,正義一街,,,,,,3號,120.530845256681,23.7148037407065
雲林縣斗六市正心里1鄰正義一街7號,10009,1000901,1000901-000,1鄰,正義一街,,,,,,7號,120.530565190468,23.7147420310103
雲林縣斗六市正心里1鄰正義一街9號,10009,1000901,1000901-000,1鄰,正義一街,,,,,,9號,120.53049914692,23.7147262995237
雲林縣斗六市正心里3鄰正義一街10號,10009,1000901,1000901-000,3鄰,正義一街,,,,,,10號,120.530766838253,23.7149163652021
雲林縣斗六市正心里1鄰正義一街11號,10009,1000901,1000901-000,1鄰,正義一街,,,,,,11號,120.530433026654,23.7147046081702
雲林縣斗六市正心里3鄰正義一街12號,10009,1000901,1000901-000,3鄰,正義一街,,,,,,12號,120.530719641738,23.7149039687489
雲林縣斗六市正心里1鄰正義一街13號,10009,1000901,1000901-000,1鄰,正義一街,,,,,,13號,120.530379921903,23.7146907218415
雲林縣斗六市正心里1鄰正義一街15號,10009,1000901,1000901-000,1鄰,正義一街,,,,,,15號,120.530341126638,23.7146793169519
雲林縣斗六市正心里3鄰正義一街16號,10009,1000901,1000901-000,3鄰,正義一街,,,,,,16號,120.530672445232,23.7148915722814
雲林縣斗六市正心里1鄰正義一街17號,10009,1000901,1000901-000,1鄰,正義一街,,,,,,17號,120.530286761873,23.7146612731018
雲林縣斗六市正心里3鄰正義一街18號,10009,1000901,1000901-000,3鄰,正義一街,,,,,,18號,120.530644852938,23.7148792352708
雲林縣斗六市正心里1鄰正義一街19號,10009,1000901,1000901-000,1鄰,正義一街,,,,,,19號,120.530172388649,23.7146127975104
雲林縣斗六市正心里3鄰正義一街20號,10009,1000901,1000901-000,3鄰,正義一街,,,,,,20號,120.530597656448,23.7148668387807
雲林縣斗六市正心里1鄰正義一街21號,10009,1000901,1000901-000,1鄰,正義一街,,,,,,21號,120.530031885914,23.714576251979
雲林縣斗六市正心里3鄰正義一街22號,10009,1000901,1000901-000,3鄰,正義一街,,,,,,22號,120.530550459968,23.7148544422763
雲林縣斗六市正心里2鄰正義一街25號,10009,1000901,1000901-000,2鄰,正義一街,,,,,,25號,120.529634860329,23.7144765314327
雲林縣斗六市正心里3鄰正義一街26號,10009,1000901,1000901-000,3鄰,正義一街,,,,,,26號,120.530483649494,23.7148419862389
雲林縣斗六市正心里2鄰正義一街27號,10009,1000901,1000901-000,2鄰,正義一街,,,,,,27號,120.529573878121,23.7144715602899
雲林縣斗六市正心里3鄰正義一街28號,10009,1000901,1000901-000,3鄰,正義一街,,,,,,28號,120.530436453034,23.7148295897001
雲林縣斗六市正心里2鄰正義一街29號,10009,1000901,1000901-000,2鄰,正義一街,,,,,,29號,120.529501255745,23.714458156101
雲林縣斗六市正心里3鄰正義一街30號,10009,1000901,1000901-000,3鄰,正義一街,,,,,,30號,120.530389256583,23.7148171931469
雲林縣斗六市正心里2鄰正義一街31號,10009,1000901,1000901-000,2鄰,正義一街,,,,,,31號,120.529438253932,23.7144420722257
雲林縣斗六市正心里2鄰正義一街37號,10009,1000901,1000901-000,2鄰,正義一街,,,,,,37號,120.529270490938,23.7143773607147
雲林縣斗六市正心里2鄰正義一街43號,10009,1000901,1000901-000,2鄰,正義一街,,,,,,43號,120.529065666721,23.7143373679149
雲林縣斗六市正心里2鄰正義一街51號,10009,1000901,1000901-000,2鄰,正義一街,,,,,,51號,120.528754175268,23.7142607505923
雲林縣斗六市正心里2鄰正義一街53號,10009,1000901,1000901-000,2鄰,正義一街,,,,,,53號,120.528746594844,23.714214224523
雲林縣斗六市正心里2鄰正義一街55號,10009,1000901,1000901-000,2鄰,正義一街,,,,,,55號,120.528744173827,23.7141783692197
雲林縣斗六市正心里2鄰正義一街57號,10009,1000901,1000901-000,2鄰,正義一街,,,,,,57號,120.528747010183,23.714125915271
雲林縣斗六市正心里2鄰正義一街59號,10009,1000901,1000901-000,2鄰,正義一街,,,,,,59號,120.528745331406,23.7138834625678
