FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
雲林縣斗六市正心里1鄰正義三街2號,10009,1000901,1000901-000,1鄰,正義三街,,,,,,2號,120.53129212189,23.7120084679672
雲林縣斗六市正心里1鄰正義三街5號,10009,1000901,1000901-000,1鄰,正義三街,,,,,,5號,120.531302123074,23.7122477855716
雲林縣斗六市正心里1鄰正義三街6號,10009,1000901,1000901-000,1鄰,正義三街,,,,,,6號,120.531309296765,23.7120542915898
雲林縣斗六市正心里1鄰正義三街7號,10009,1000901,1000901-000,1鄰,正義三街,,,,,,7號,120.531333106039,23.7122908879239
雲林縣斗六市正心里1鄰正義三街8號,10009,1000901,1000901-000,1鄰,正義三街,,,,,,8號,120.531341130426,23.7120898476802
雲林縣斗六市正心里1鄰正義三街9號,10009,1000901,1000901-000,1鄰,正義三街,,,,,,9號,120.531358918315,23.7123291888638
雲林縣斗六市正心里2鄰正義三街10號,10009,1000901,1000901-000,2鄰,正義三街,,,,,,10號,120.531404883854,23.7121313787728
雲林縣斗六市正心里1鄰正義三街11號,10009,1000901,1000901-000,1鄰,正義三街,,,,,,11號,120.531389901317,23.7123722912048
雲林縣斗六市正心里1鄰正義三街20號,10009,1000901,1000901-000,1鄰,正義三街,,,,,,20號,120.531442907068,23.7122434352291
雲林縣斗六市正心里1鄰正義三街22號,10009,1000901,1000901-000,1鄰,正義三街,,,,,,22號,120.531473271431,23.7122757812964
雲林縣斗六市正心里1鄰正義三街26號,10009,1000901,1000901-000,1鄰,正義三街,,,,,,26號,120.531496503261,23.712311690557
雲林縣斗六市正心里1鄰正義三街28號,10009,1000901,1000901-000,1鄰,正義三街,,,,,,28號,120.531524913102,23.7123476154911
雲林縣斗六市正心里1鄰正義三街30號,10009,1000901,1000901-000,1鄰,正義三街,,,,,,30號,120.531555921797,23.7123835392581
雲林縣斗六市正心里1鄰正義三街32號,10009,1000901,1000901-000,1鄰,正義三街,,,,,,32號,120.531579152406,23.7124170556296
雲林縣斗六市正心里1鄰正義三街36號,10009,1000901,1000901-000,1鄰,正義三街,,,,,,36號,120.531617905065,23.7124649581627
雲林縣斗六市正心里1鄰正義三街38號,10009,1000901,1000901-000,1鄰,正義三街,,,,,,38號,120.531661819968,23.7125200459004
雲林縣斗六市正心里1鄰正義三街40號,10009,1000901,1000901-000,1鄰,正義三街,,,,,,40號,120.531697973909,23.7125679315182
雲林縣斗六市正心里1鄰正義三街42號,10009,1000901,1000901-000,1鄰,正義三街,,,,,,42號,120.531718598497,23.7126062257278
雲林縣斗六市正心里1鄰正義三街46號,10009,1000901,1000901-000,1鄰,正義三街,,,,,,46號,120.531750897522,23.7126433543124
