FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
雲林縣虎尾鎮廉使里26鄰永興南三街9號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,9號,120.41612880471,23.7242313288246
雲林縣虎尾鎮廉使里26鄰永興南三街11號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,11號,120.416123472772,23.7242834093868
雲林縣虎尾鎮廉使里26鄰永興南三街13之1號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,13之1號,120.415968922437,23.7243452203122
雲林縣虎尾鎮廉使里26鄰永興南三街13之2號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,13之2號,120.415913116379,23.7243452804722
雲林縣虎尾鎮廉使里26鄰永興南三街13之3號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,13之3號,120.415861639314,23.7243422869031
雲林縣虎尾鎮廉使里26鄰永興南三街13之5號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,13之5號,120.415809096298,23.7243363998247
雲林縣虎尾鎮廉使里26鄰永興南三街13號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,13號,120.416119197942,23.7243403699132
雲林縣虎尾鎮廉使里26鄰永興南三街15之1號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,15之1號,120.415964700824,23.7244562682291
雲林縣虎尾鎮廉使里26鄰永興南三街15之2號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,15之2號,120.415913121213,23.7244542675432
雲林縣虎尾鎮廉使里26鄰永興南三街15之3號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,15之3號,120.415862709658,23.7244542577594
雲林縣虎尾鎮廉使里26鄰永興南三街15之5號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,15之5號,120.415806916831,23.7244513381684
雲林縣虎尾鎮廉使里26鄰永興南三街15號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,15號,120.416123420189,23.7244493729074
雲林縣虎尾鎮廉使里26鄰永興南三街17號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,17號,120.416119162644,23.7245024507776
雲林縣虎尾鎮廉使里26鄰永興南三街19號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,19號,120.416114816269,23.724553451508
雲林縣虎尾鎮廉使里26鄰永興南三街21號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,21號,120.41611596614,23.724603570028
雲林縣虎尾鎮廉使里26鄰永興南三街23號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,23號,120.416112680896,23.7246585477794
雲林縣虎尾鎮廉使里26鄰永興南三街25號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,25號,120.416109515441,23.7247086500084
雲林縣虎尾鎮廉使里26鄰永興南三街27之1號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,27之1號,120.415954964192,23.7247705512007
雲林縣虎尾鎮廉使里26鄰永興南三街27之2號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,27之2號,120.415904569813,23.7247666587735
雲林縣虎尾鎮廉使里26鄰永興南三街27之3號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,27之3號,120.415849851661,23.7247646462125
雲林縣虎尾鎮廉使里26鄰永興南三街27之5號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,27之5號,120.415799444413,23.7247636431685
雲林縣虎尾鎮廉使里26鄰永興南三街27號,10009,1000903,1000903-022,26鄰,永興南三街,,,,,,27號,120.41611054954,23.7247627411063
