FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
雲林縣西螺鎮正興里11鄰源成路1號,10009,1000904,1000904-004,11鄰,源成路,,,,,,1號,120.46051692798,23.7992489549213
雲林縣西螺鎮正興里11鄰源成路2號,10009,1000904,1000904-004,11鄰,源成路,,,,,,2號,120.460488474975,23.7993925154543
雲林縣西螺鎮正興里11鄰源成路6號,10009,1000904,1000904-004,11鄰,源成路,,,,,,6號,120.460445830144,23.7993939013674
雲林縣西螺鎮正興里11鄰源成路7號,10009,1000904,1000904-004,11鄰,源成路,,,,,,7號,120.460395812485,23.7992795930548
雲林縣西螺鎮正興里11鄰源成路8號,10009,1000904,1000904-004,11鄰,源成路,,,,,,8號,120.46039287604,23.7993918019324
雲林縣西螺鎮正興里11鄰源成路9號,10009,1000904,1000904-004,11鄰,源成路,,,,,,9號,120.460354197669,23.7992573251453
雲林縣西螺鎮正興里11鄰源成路10號,10009,1000904,1000904-004,11鄰,源成路,,,,,,10號,120.460344087705,23.7993861413498
雲林縣西螺鎮正興里11鄰源成路11號,10009,1000904,1000904-004,11鄰,源成路,,,,,,11號,120.460315439175,23.7992562866381
雲林縣西螺鎮正興里11鄰源成路12號,10009,1000904,1000904-004,11鄰,源成路,,,,,,12號,120.460301512085,23.7993826515126
雲林縣西螺鎮正興里11鄰源成路13號,10009,1000904,1000904-004,11鄰,源成路,,,,,,13號,120.460276688143,23.7992534422389
雲林縣西螺鎮正興里11鄰源成路15號,10009,1000904,1000904-004,11鄰,源成路,,,,,,15號,120.46024137174,23.7992506098444
雲林縣西螺鎮正興里11鄰源成路16號,10009,1000904,1000904-004,11鄰,源成路,,,,,,16號,120.460257891306,23.7993827337063
雲林縣西螺鎮正興里11鄰源成路17號,10009,1000904,1000904-004,11鄰,源成路,,,,,,17號,120.460200661799,23.7992468556198
雲林縣西螺鎮正興里11鄰源成路18號,10009,1000904,1000904-004,11鄰,源成路,,,,,,18號,120.460205979426,23.7993777754881
雲林縣西螺鎮正興里11鄰源成路19號,10009,1000904,1000904-004,11鄰,源成路,,,,,,19號,120.460158968672,23.7992435494218
雲林縣西螺鎮正興里11鄰源成路20號,10009,1000904,1000904-004,11鄰,源成路,,,,,,20號,120.460153082609,23.799361815825
雲林縣西螺鎮正興里11鄰源成路21號,10009,1000904,1000904-004,11鄰,源成路,,,,,,21號,120.460120697115,23.7992434155235
雲林縣西螺鎮正興里11鄰源成路22號,10009,1000904,1000904-004,11鄰,源成路,,,,,,22號,120.460114820346,23.7993594245719
雲林縣西螺鎮正興里11鄰源成路23巷1號,10009,1000904,1000904-004,11鄰,源成路,,23巷,,,,1號,120.460129195085,23.7990867827055
雲林縣西螺鎮正興里11鄰源成路23巷2號,10009,1000904,1000904-004,11鄰,源成路,,23巷,,,,2號,120.460133758417,23.7990511319806
雲林縣西螺鎮正興里11鄰源成路23巷3號,10009,1000904,1000904-004,11鄰,源成路,,23巷,,,,3號,120.460136355373,23.7990163773299
雲林縣西螺鎮正興里11鄰源成路23巷4號,10009,1000904,1000904-004,11鄰,源成路,,23巷,,,,4號,120.460138456071,23.798982975374
雲林縣西螺鎮正興里11鄰源成路23號,10009,1000904,1000904-004,11鄰,源成路,,,,,,23號,120.460081957287,23.7992378622523
雲林縣西螺鎮正興里11鄰源成路23之5號,10009,1000904,1000904-004,11鄰,源成路,,,,,,23之5號,120.460065118107,23.7992282320167
雲林縣西螺鎮正興里11鄰源成路24號,10009,1000904,1000904-004,11鄰,源成路,,,,,,24號,120.460074106643,23.7993565732545
雲林縣西螺鎮正興里11鄰源成路25巷1號,10009,1000904,1000904-004,11鄰,源成路,,25巷,,,,1號,120.459823648068,23.7990532070394
雲林縣西螺鎮正興里11鄰源成路25巷2號,10009,1000904,1000904-004,11鄰,源成路,,25巷,,,,2號,120.459832366367,23.798962039188
雲林縣西螺鎮正興里11鄰源成路25巷3號,10009,1000904,1000904-004,11鄰,源成路,,25巷,,,,3號,120.459783425129,23.7990503573647
雲林縣西螺鎮正興里11鄰源成路25巷4號,10009,1000904,1000904-004,11鄰,源成路,,25巷,,,,4號,120.459835457794,23.7989263833199
雲林縣西螺鎮正興里11鄰源成路25巷5號,10009,1000904,1000904-004,11鄰,源成路,,25巷,,,,5號,120.459744674172,23.7990475128331
雲林縣西螺鎮正興里11鄰源成路25巷6號,10009,1000904,1000904-004,11鄰,源成路,,25巷,,,,6號,120.459829264021,23.7988816654061
雲林縣西螺鎮正興里11鄰源成路25巷7號,10009,1000904,1000904-004,11鄰,源成路,,25巷,,,,7號,120.459705923218,23.7990446682919
雲林縣西螺鎮正興里11鄰源成路25巷9號,10009,1000904,1000904-004,11鄰,源成路,,25巷,,,,9號,120.459664855276,23.7990088578011
雲林縣西螺鎮正興里11鄰源成路25巷11號,10009,1000904,1000904-004,11鄰,源成路,,25巷,,,,11號,120.459624145429,23.799005103426
雲林縣西螺鎮正興里11鄰源成路25巷13號,10009,1000904,1000904-004,11鄰,源成路,,25巷,,,,13號,120.459585398225,23.7990013559136
雲林縣西螺鎮正興里11鄰源成路25巷15號,10009,1000904,1000904-004,11鄰,源成路,,25巷,,,,15號,120.459544682781,23.7989989559292
雲林縣西螺鎮正興里11鄰源成路25巷17號,10009,1000904,1000904-004,11鄰,源成路,,25巷,,,,17號,120.45950690943,23.7989970177164
雲林縣西螺鎮正興里11鄰源成路25巷19號,10009,1000904,1000904-004,11鄰,源成路,,25巷,,,,19號,120.459465705197,23.7989941645219
雲林縣西螺鎮正興里11鄰源成路25號,10009,1000904,1000904-004,11鄰,源成路,,,,,,25號,120.459969978507,23.7991449175952
雲林縣西螺鎮正興里11鄰源成路25巷26號,10009,1000904,1000904-004,11鄰,源成路,,25巷,,,,26號,120.45995945465,23.7990319211973
雲林縣西螺鎮正興里11鄰源成路26號,10009,1000904,1000904-004,11鄰,源成路,,,,,,26號,120.460036335045,23.7993541836988
雲林縣西螺鎮正興里11鄰源成路27號,10009,1000904,1000904-004,11鄰,源成路,,,,,,27號,120.459847458684,23.7992280120194
雲林縣西螺鎮正興里11鄰源成路28號,10009,1000904,1000904-004,11鄰,源成路,,,,,,28號,120.459997100794,23.7993495316299
雲林縣西螺鎮正興里11鄰源成路29號,10009,1000904,1000904-004,11鄰,源成路,,,,,,29號,120.459809677794,23.7992278797616
雲林縣西螺鎮正興里11鄰源成路30號,10009,1000904,1000904-004,11鄰,源成路,,,,,,30號,120.459958353476,23.7993457842094
雲林縣西螺鎮正興里11鄰源成路31號,10009,1000904,1000904-004,11鄰,源成路,,,,,,31號,120.459771423045,23.799223682542
雲林縣西螺鎮正興里11鄰源成路32號,10009,1000904,1000904-004,11鄰,源成路,,,,,,32號,120.459919108033,23.7993438409439
雲林縣西螺鎮正興里11鄰源成路33號,10009,1000904,1000904-004,11鄰,源成路,,,,,,33號,120.459730216866,23.7992212808874
雲林縣西螺鎮正興里11鄰源成路34號,10009,1000904,1000904-004,11鄰,源成路,,,,,,34號,120.459862202516,23.7993409328973
雲林縣西螺鎮正興里11鄰源成路35號,10009,1000904,1000904-004,11鄰,源成路,,,,,,35號,120.459689995745,23.7992179797169
雲林縣西螺鎮正興里11鄰源成路37號,10009,1000904,1000904-004,11鄰,源成路,,,,,,37號,120.459649769024,23.7992160329476
雲林縣西螺鎮正興里11鄰源成路38號,10009,1000904,1000904-004,11鄰,源成路,,,,,,38號,120.459803339958,23.7993366635472
雲林縣西螺鎮正興里11鄰源成路39號,10009,1000904,1000904-004,11鄰,源成路,,,,,,39號,120.459612491872,23.7992127420661
雲林縣西螺鎮正興里11鄰源成路40號,10009,1000904,1000904-004,11鄰,源成路,,,,,,40號,120.459764100121,23.7993333658309
雲林縣西螺鎮正興里11鄰源成路41號,10009,1000904,1000904-004,11鄰,源成路,,,,,,41號,120.459573244608,23.7992112501841
雲林縣西螺鎮正興里11鄰源成路42號,10009,1000904,1000904-004,11鄰,源成路,,,,,,42號,120.45972534348,23.7993318757046
雲林縣西螺鎮正興里11鄰源成路43號,10009,1000904,1000904-004,11鄰,源成路,,,,,,43號,120.459534497345,23.799207502658
雲林縣西螺鎮正興里11鄰源成路44號,10009,1000904,1000904-004,11鄰,源成路,,,,,,44號,120.459684637266,23.7993272184027
雲林縣西螺鎮正興里11鄰源成路45號,10009,1000904,1000904-004,11鄰,源成路,,,,,,45號,120.459494272499,23.7992051043777
雲林縣西螺鎮正興里11鄰源成路46號,10009,1000904,1000904-004,11鄰,源成路,,,,,,46號,120.459642445999,23.7993257162289
雲林縣西螺鎮正興里11鄰源成路47號,10009,1000904,1000904-004,11鄰,源成路,,,,,,47號,120.459452577539,23.7992022494599
雲林縣西螺鎮正興里11鄰源成路48號,10009,1000904,1000904-004,11鄰,源成路,,,,,,48號,120.459605653874,23.7993237814751
雲林縣西螺鎮正興里11鄰源成路52號,10009,1000904,1000904-004,11鄰,源成路,,,,,,52號,120.459526664885,23.7993216989187
雲林縣西螺鎮正興里11鄰源成路54號,10009,1000904,1000904-004,11鄰,源成路,,,,,,54號,120.459487430665,23.7993170467207
雲林縣西螺鎮正興里11鄰源成路56號,10009,1000904,1000904-004,11鄰,源成路,,,,,,56號,120.459446724465,23.7993123893562
雲林縣西螺鎮正興里11鄰源成路58號,10009,1000904,1000904-004,11鄰,源成路,,,,,,58號,120.459407480911,23.7993099944905
雲林縣西螺鎮漢光里1鄰源成路55號,10009,1000904,1000904-010,1鄰,源成路,,,,,,55號,120.458884540115,23.7991645918451
雲林縣西螺鎮漢光里1鄰源成路57號,10009,1000904,1000904-010,1鄰,源成路,,,,,,57號,120.458844802217,23.7991630980575
雲林縣西螺鎮漢光里1鄰源成路61號,10009,1000904,1000904-010,1鄰,源成路,,,,,,61號,120.458783066268,23.7991655001026
雲林縣西螺鎮漢光里1鄰源成路63號,10009,1000904,1000904-010,1鄰,源成路,,,,,,63號,120.4587270867,23.7991523012104
雲林縣西螺鎮漢光里1鄰源成路65號,10009,1000904,1000904-010,1鄰,源成路,,,,,,65號,120.458684230656,23.7991454690148
雲林縣西螺鎮漢光里1鄰源成路67號,10009,1000904,1000904-010,1鄰,源成路,,,,,,67號,120.45864401408,23.7991410840435
雲林縣西螺鎮漢光里1鄰源成路68號,10009,1000904,1000904-010,1鄰,源成路,,,,,,68號,120.458824533419,23.7992920410464
雲林縣西螺鎮漢光里1鄰源成路69號,10009,1000904,1000904-010,1鄰,源成路,,,,,,69號,120.458608930311,23.7991294934382
雲林縣西螺鎮漢光里1鄰源成路70號,10009,1000904,1000904-010,1鄰,源成路,,,,,,70號,120.458732791783,23.7992911955526
雲林縣西螺鎮漢光里1鄰源成路71號,10009,1000904,1000904-010,1鄰,源成路,,,,,,71號,120.458568724596,23.7991224899188
雲林縣西螺鎮漢光里1鄰源成路72號,10009,1000904,1000904-010,1鄰,源成路,,,,,,72號,120.458667926392,23.7992909680066
雲林縣西螺鎮漢光里1鄰源成路73號,10009,1000904,1000904-010,1鄰,源成路,,,,,,73號,120.458528402415,23.799119910455
雲林縣西螺鎮漢光里1鄰源成路75號,10009,1000904,1000904-010,1鄰,源成路,,,,,,75號,120.458493389099,23.7991150019306
雲林縣西螺鎮漢光里1鄰源成路76號,10009,1000904,1000904-010,1鄰,源成路,,,,,,76號,120.458609454188,23.7992872413438
雲林縣西螺鎮漢光里1鄰源成路77號,10009,1000904,1000904-010,1鄰,源成路,,,,,,77號,120.458455812374,23.7991129738549
雲林縣西螺鎮漢光里1鄰源成路78號,10009,1000904,1000904-010,1鄰,源成路,,,,,,78號,120.458564018977,23.7992870819249
雲林縣西螺鎮漢光里1鄰源成路79號,10009,1000904,1000904-010,1鄰,源成路,,,,,,79號,120.458414988683,23.799113011168
雲林縣西螺鎮漢光里1鄰源成路80號,10009,1000904,1000904-010,1鄰,源成路,,,,,,80號,120.458506906034,23.7992868815133
雲林縣西螺鎮漢光里1鄰源成路82號,10009,1000904,1000904-010,1鄰,源成路,,,,,,82號,120.458461480929,23.799284284124
雲林縣西螺鎮漢光里1鄰源成路86巷2號,10009,1000904,1000904-010,1鄰,源成路,,86巷,,,,2號,120.458460007209,23.7993320452182
雲林縣西螺鎮漢光里1鄰源成路86巷6號,10009,1000904,1000904-010,1鄰,源成路,,86巷,,,,6號,120.458470250528,23.7993703664164
雲林縣西螺鎮漢光里1鄰源成路86巷8號,10009,1000904,1000904-010,1鄰,源成路,,86巷,,,,8號,120.458481789784,23.7994038162101
雲林縣西螺鎮漢光里1鄰源成路86巷10號,10009,1000904,1000904-010,1鄰,源成路,,86巷,,,,10號,120.458494569958,23.7994456678299
雲林縣西螺鎮漢光里3鄰源成路147號,10009,1000904,1000904-010,3鄰,源成路,,,,,,147號,120.456513199084,23.7986794079671
雲林縣西螺鎮漢光里3鄰源成路149號,10009,1000904,1000904-010,3鄰,源成路,,,,,,149號,120.45645706908,23.7986317148892
雲林縣西螺鎮漢光里3鄰源成路151號,10009,1000904,1000904-010,3鄰,源成路,,,,,,151號,120.456386312217,23.7987031601728
雲林縣西螺鎮漢光里3鄰源成路155號,10009,1000904,1000904-010,3鄰,源成路,,,,,,155號,120.456244875787,23.7986859571951
雲林縣西螺鎮漢光里3鄰源成路163號,10009,1000904,1000904-010,3鄰,源成路,,,,,,163號,120.456038138582,23.7986789078756
雲林縣西螺鎮漢光里3鄰源成路165號,10009,1000904,1000904-010,3鄰,源成路,,,,,,165號,120.455846312938,23.7986494273145
