FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
雲林縣斗六市虎溪里19鄰科工八路5號,10009,1000901,1000901-023,19鄰,科工八路,,,,,,5號,120.513010850344,23.720668317133
雲林縣斗六市虎溪里19鄰科工八路7號,10009,1000901,1000901-023,19鄰,科工八路,,,,,,7號,120.511680067661,23.7205601993751
雲林縣斗六市虎溪里19鄰科工八路8號,10009,1000901,1000901-023,19鄰,科工八路,,,,,,8號,120.514615297278,23.7219310141776
雲林縣斗六市虎溪里19鄰科工八路19號,10009,1000901,1000901-023,19鄰,科工八路,,,,,,19號,120.504666100585,23.7165708819152
雲林縣斗六市虎溪里19鄰科工八路21號,10009,1000901,1000901-023,19鄰,科工八路,,,,,,21號,120.503882007882,23.7160021183195
雲林縣斗六市虎溪里19鄰科工八路29號,10009,1000901,1000901-023,19鄰,科工八路,,,,,,29號,120.502679348886,23.7149949694233
雲林縣斗六市虎溪里19鄰科工八路31號,10009,1000901,1000901-023,19鄰,科工八路,,,,,,31號,120.502273177817,23.7146746447282
雲林縣斗六市虎溪里19鄰科工八路33號,10009,1000901,1000901-023,19鄰,科工八路,,,,,,33號,120.501895675814,23.7143462845646
雲林縣斗六市虎溪里19鄰科工八路35號,10009,1000901,1000901-023,19鄰,科工八路,,,,,,35號,120.50050182094,23.714467222335
雲林縣斗六市虎溪里19鄰科工八路37號,10009,1000901,1000901-023,19鄰,科工八路,,,,,,37號,120.499327373037,23.7149463245309
雲林縣斗六市虎溪里19鄰科工八路45號,10009,1000901,1000901-023,19鄰,科工八路,,,,,,45號,120.49904221333,23.715477610664
雲林縣斗六市虎溪里19鄰科工八路52號,10009,1000901,1000901-023,19鄰,科工八路,,,,,,52號,120.508700380502,23.7213133121511
雲林縣斗六市虎溪里19鄰科工八路56號,10009,1000901,1000901-023,19鄰,科工八路,,,,,,56號,120.507904659469,23.7199108214568
雲林縣斗六市虎溪里19鄰科工八路66號,10009,1000901,1000901-023,19鄰,科工八路,,,,,,66號,120.505145046436,23.7177506975672
