FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
嘉義縣鹿草鄉西井村11鄰圓山路322號,10010,1001011,1001011-004,11鄰,圓山路,,,,,,322號,120.306671579546,23.4137861853217
嘉義縣鹿草鄉西井村11鄰圓山路326號,10010,1001011,1001011-004,11鄰,圓山路,,,,,,326號,120.306623573978,23.4137791999189
嘉義縣鹿草鄉西井村11鄰圓山路328號,10010,1001011,1001011-004,11鄰,圓山路,,,,,,328號,120.306665542524,23.4137242140572
嘉義縣鹿草鄉西井村11鄰圓山路330號,10010,1001011,1001011-004,11鄰,圓山路,,,,,,330號,120.306698530199,23.4136652152145
嘉義縣鹿草鄉西井村11鄰圓山路332號,10010,1001011,1001011-004,11鄰,圓山路,,,,,,332號,120.306685525162,23.4136072764411
嘉義縣鹿草鄉鹿東村10鄰圓山路23巷15號,10010,1001011,1001011-002,10鄰,圓山路,,23巷,,,,15號,120.314000707899,23.4154687375563
嘉義縣鹿草鄉鹿東村10鄰圓山路25號,10010,1001011,1001011-002,10鄰,圓山路,,,,,,25號,120.31368356943,23.4160602421826
嘉義縣鹿草鄉鹿東村10鄰圓山路27號,10010,1001011,1001011-002,10鄰,圓山路,,,,,,27號,120.313686588354,23.4158733383114
嘉義縣鹿草鄉鹿東村10鄰圓山路29號,10010,1001011,1001011-002,10鄰,圓山路,,,,,,29號,120.313687588167,23.4158312637735
嘉義縣鹿草鄉鹿東村10鄰圓山路31號,10010,1001011,1001011-002,10鄰,圓山路,,,,,,31號,120.31352456339,23.4160232436971
嘉義縣鹿草鄉鹿東村10鄰圓山路39巷10號,10010,1001011,1001011-002,10鄰,圓山路,,39巷,,,,10號,120.313452570331,23.4153552629308
嘉義縣鹿草鄉鹿東村10鄰圓山路39巷12號,10010,1001011,1001011-002,10鄰,圓山路,,39巷,,,,12號,120.313520575237,23.4152032288146
嘉義縣鹿草鄉鹿東村10鄰圓山路41號,10010,1001011,1001011-002,10鄰,圓山路,,,,,,41號,120.313211635,23.4158743211494
嘉義縣鹿草鄉鹿東村10鄰圓山路43號,10010,1001011,1001011-002,10鄰,圓山路,,,,,,43號,120.313274579229,23.4156412674897
嘉義縣鹿草鄉鹿東村10鄰圓山路49號,10010,1001011,1001011-002,10鄰,圓山路,,,,,,49號,120.313016544209,23.4158523335956
嘉義縣鹿草鄉鹿東村10鄰圓山路51巷1號,10010,1001011,1001011-002,10鄰,圓山路,,51巷,,,,1號,120.313096627848,23.4156161949481
嘉義縣鹿草鄉鹿東村10鄰圓山路51巷5號,10010,1001011,1001011-002,10鄰,圓山路,,51巷,,,,5號,120.313080589665,23.4153302405479
嘉義縣鹿草鄉鹿東村10鄰圓山路51巷7號,10010,1001011,1001011-002,10鄰,圓山路,,51巷,,,,7號,120.31322056352,23.4151492664051
嘉義縣鹿草鄉鹿東村10鄰圓山路52號,10010,1001011,1001011-002,10鄰,圓山路,,,,,,52號,120.313343600827,23.4162402474718
嘉義縣鹿草鄉鹿東村9鄰圓山路53號,10010,1001011,1001011-002,9鄰,圓山路,,,,,,53號,120.312765567377,23.4158523132983
嘉義縣鹿草鄉鹿東村9鄰圓山路61號,10010,1001011,1001011-002,9鄰,圓山路,,,,,,61號,120.312563587656,23.415743337786
嘉義縣鹿草鄉鹿東村9鄰圓山路67巷1號,10010,1001011,1001011-002,9鄰,圓山路,,67巷,,,,1號,120.312560585097,23.4154912122176
嘉義縣鹿草鄉鹿東村9鄰圓山路67巷2號,10010,1001011,1001011-002,9鄰,圓山路,,67巷,,,,2號,120.312170626146,23.4154612324533
嘉義縣鹿草鄉鹿東村9鄰圓山路67巷3號,10010,1001011,1001011-002,9鄰,圓山路,,67巷,,,,3號,120.312630618984,23.4153822596465
嘉義縣鹿草鄉鹿東村9鄰圓山路67巷7號,10010,1001011,1001011-002,9鄰,圓山路,,67巷,,,,7號,120.312800575056,23.4156101974317
嘉義縣鹿草鄉鹿東村9鄰圓山路67巷8號,10010,1001011,1001011-002,9鄰,圓山路,,67巷,,,,8號,120.312443597858,23.4151242675997
嘉義縣鹿草鄉鹿東村9鄰圓山路67巷10號,10010,1001011,1001011-002,9鄰,圓山路,,67巷,,,,10號,120.312761530479,23.4151752401942
