FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
嘉義縣水上鄉水上村7鄰店興街152巷1號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,1號,120.39554361073,23.4317644351018
嘉義縣水上鄉水上村12鄰店興街87巷1號,10010,1001012,1001012-001,12鄰,店興街,,87巷,,,,1號,120.394784373137,23.4316019358542
嘉義縣水上鄉水上村12鄰店興街71巷1號,10010,1001012,1001012-001,12鄰,店興街,,71巷,,,,1號,120.39480424251,23.4314075992337
嘉義縣水上鄉水上村12鄰店興街53巷1號,10010,1001012,1001012-001,12鄰,店興街,,53巷,,,,1號,120.394452092582,23.4303877520785
嘉義縣水上鄉水上村11鄰店興街1號,10010,1001012,1001012-001,11鄰,店興街,,,,,,1號,120.394931566897,23.4295132592835
嘉義縣水上鄉水上村6鄰店興街152巷2號,10010,1001012,1001012-001,6鄰,店興街,,152巷,,,,2號,120.39544306408,23.4316667035619
嘉義縣水上鄉水上村11鄰店興街2號,10010,1001012,1001012-001,11鄰,店興街,,,,,,2號,120.395047640541,23.4296822068893
嘉義縣水上鄉水上村12鄰店興街53巷2號,10010,1001012,1001012-001,12鄰,店興街,,53巷,,,,2號,120.394596354898,23.4305555451327
嘉義縣水上鄉水上村18鄰店興街3號,10010,1001012,1001012-001,18鄰,店興街,,,,,,3號,120.394910624828,23.4293413391904
嘉義縣水上鄉水上村12鄰店興街71巷3號,10010,1001012,1001012-001,12鄰,店興街,,71巷,,,,3號,120.394747300506,23.4314049404504
嘉義縣水上鄉水上村12鄰店興街53巷3號,10010,1001012,1001012-001,12鄰,店興街,,53巷,,,,3號,120.394250151925,23.4303791128084
嘉義縣水上鄉水上村7鄰店興街152巷3號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,3號,120.395553810002,23.431802671042
嘉義縣水上鄉水上村12鄰店興街87巷3號,10010,1001012,1001012-001,12鄰,店興街,,87巷,,,,3號,120.394698997626,23.4315896854504
嘉義縣水上鄉水上村7鄰店興街152巷5號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,5號,120.395564019955,23.4318385592501
嘉義縣水上鄉水上村12鄰店興街87巷5號,10010,1001012,1001012-001,12鄰,店興街,,87巷,,,,5號,120.394639445871,23.4315798828929
嘉義縣水上鄉水上村11鄰店興街5號,10010,1001012,1001012-001,11鄰,店興街,,,,,,5號,120.394888571153,23.4295642018934
嘉義縣水上鄉水上村12鄰店興街53巷6號,10010,1001012,1001012-001,12鄰,店興街,,53巷,,,,6號,120.394624254837,23.4306822524373
嘉義縣水上鄉水上村6鄰店興街152巷6號,10010,1001012,1001012-001,6鄰,店興街,,152巷,,,,6號,120.395508008919,23.4316311063196
嘉義縣水上鄉水上村13鄰店興街87巷6號,10010,1001012,1001012-001,13鄰,店興街,,87巷,,,,6號,120.394941423711,23.4317984932254
嘉義縣水上鄉水上村12鄰店興街71巷7號,10010,1001012,1001012-001,12鄰,店興街,,71巷,,,,7號,120.394638471797,23.4314069566355
嘉義縣水上鄉水上村11鄰店興街7號,10010,1001012,1001012-001,11鄰,店興街,,,,,,7號,120.394853651326,23.4295823069628
嘉義縣水上鄉水上村7鄰店興街152巷7號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,7號,120.395575496728,23.4318756262476
嘉義縣水上鄉水上村12鄰店興街87巷7號,10010,1001012,1001012-001,12鄰,店興街,,87巷,,,,7號,120.394598084963,23.4315724986167
嘉義縣水上鄉水上村13鄰店興街87巷8號,10010,1001012,1001012-001,13鄰,店興街,,87巷,,,,8號,120.394884492221,23.4317934867576
嘉義縣水上鄉水上村7鄰店興街152巷8號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,8號,120.395666027254,23.4316150126878
嘉義縣水上鄉水上村7鄰店興街152巷9號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,9號,120.395589528489,23.4319103553617
嘉義縣水上鄉水上村12鄰店興街87巷9號,10010,1001012,1001012-001,12鄰,店興街,,87巷,,,,9號,120.394566998705,23.4315652444682
嘉義縣水上鄉水上村12鄰店興街53巷9號,10010,1001012,1001012-001,12鄰,店興街,,53巷,,,,9號,120.394280538133,23.4305399628201
嘉義縣水上鄉水上村11鄰店興街9號,10010,1001012,1001012-001,11鄰,店興街,,,,,,9號,120.394815586938,23.4296032894042
嘉義縣水上鄉水上村7鄰店興街152巷10號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,10號,120.395728156066,23.4315961097602
嘉義縣水上鄉水上村11鄰店興街11號,10010,1001012,1001012-001,11鄰,店興街,,,,,,11號,120.394777620394,23.4296242722153
嘉義縣水上鄉水上村12鄰店興街53巷11號,10010,1001012,1001012-001,12鄰,店興街,,53巷,,,,11號,120.394230837216,23.4306448779947
嘉義縣水上鄉水上村7鄰店興街152巷11號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,11號,120.395601048789,23.4319378508369
嘉義縣水上鄉水上村11鄰店興街12號,10010,1001012,1001012-001,11鄰,店興街,,,,,,12號,120.394893643787,23.4299762557428
嘉義縣水上鄉水上村7鄰店興街152巷13號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,13號,120.395608651902,23.4319659632413
嘉義縣水上鄉水上村12鄰店興街53巷13號,10010,1001012,1001012-001,12鄰,店興街,,53巷,,,,13號,120.394214850892,23.4307385462854
嘉義縣水上鄉水上村11鄰店興街13號,10010,1001012,1001012-001,11鄰,店興街,,,,,,13號,120.394743665945,23.4296452705681
嘉義縣水上鄉水上村7鄰店興街152巷15號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,15號,120.395621363086,23.432011342517
嘉義縣水上鄉水上村12鄰店興街71巷15號,10010,1001012,1001012-001,12鄰,店興街,,71巷,,,,15號,120.39419953258,23.4315231846862
嘉義縣水上鄉水上村11鄰店興街15號,10010,1001012,1001012-001,11鄰,店興街,,,,,,15號,120.394705606044,23.4296652597106
嘉義縣水上鄉水上村12鄰店興街53巷15號,10010,1001012,1001012-001,12鄰,店興街,,53巷,,,,15號,120.394203830441,23.4308806340752
嘉義縣水上鄉水上村6鄰店興街152巷16號,10010,1001012,1001012-001,6鄰,店興街,,152巷,,,,16號,120.395566287304,23.4313398468975
嘉義縣水上鄉水上村12鄰店興街53巷16號,10010,1001012,1001012-001,12鄰,店興街,,53巷,,,,16號,120.394569095498,23.4308469244657
嘉義縣水上鄉水上村7鄰店興街152巷17號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,17號,120.395636716037,23.4320568223158
嘉義縣水上鄉水上村11鄰店興街17號,10010,1001012,1001012-001,11鄰,店興街,,,,,,17號,120.394667643988,23.429685249223
嘉義縣水上鄉水上村12鄰店興街71巷17號,10010,1001012,1001012-001,12鄰,店興街,,71巷,,,,17號,120.394202359479,23.4314826514296
嘉義縣水上鄉水上村13鄰店興街87巷18號,10010,1001012,1001012-001,13鄰,店興街,,87巷,,,,18號,120.39454280553,23.4317634471369
嘉義縣水上鄉水上村7鄰店興街152巷19號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,19號,120.395649448584,23.4320975061262
嘉義縣水上鄉水上村12鄰店興街71巷19號,10010,1001012,1001012-001,12鄰,店興街,,71巷,,,,19號,120.394205056424,23.431449160986
嘉義縣水上鄉水上村11鄰店興街19號,10010,1001012,1001012-001,11鄰,店興街,,,,,,19號,120.39462968192,23.4297052387258
嘉義縣水上鄉水上村12鄰店興街87巷20號,10010,1001012,1001012-001,12鄰,店興街,,87巷,,,,20號,120.394610305642,23.4317255124092
嘉義縣水上鄉水上村6鄰店興街152巷20號,10010,1001012,1001012-001,6鄰,店興街,,152巷,,,,20號,120.395245412273,23.4312956221556
嘉義縣水上鄉水上村11鄰店興街20號,10010,1001012,1001012-001,11鄰,店興街,,,,,,20號,120.394826576787,23.4297902508606
嘉義縣水上鄉水上村12鄰店興街71巷21號,10010,1001012,1001012-001,12鄰,店興街,,71巷,,,,21號,120.39421047164,23.431398975784
嘉義縣水上鄉水上村7鄰店興街152巷21號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,21號,120.395664801963,23.4321428956249
嘉義縣水上鄉水上村11鄰店興街21號,10010,1001012,1001012-001,11鄰,店興街,,,,,,21號,120.394591621985,23.4297252278397
嘉義縣水上鄉水上村11鄰店興街22號,10010,1001012,1001012-001,11鄰,店興街,,,,,,22號,120.394788703527,23.4298122273231
嘉義縣水上鄉水上村12鄰店興街87巷22號,10010,1001012,1001012-001,12鄰,店興街,,87巷,,,,22號,120.394499248211,23.4316581702642
嘉義縣水上鄉水上村7鄰店興街152巷23號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,23號,120.395676340937,23.4321878188639
嘉義縣水上鄉水上村12鄰店興街53巷23號,10010,1001012,1001012-001,12鄰,店興街,,53巷,,,,23號,120.394339774455,23.4311559411326
嘉義縣水上鄉水上村12鄰店興街71巷23號,10010,1001012,1001012-001,12鄰,店興街,,71巷,,,,23號,120.39421583213,23.4313608001285
嘉義縣水上鄉水上村11鄰店興街23號,10010,1001012,1001012-001,11鄰,店興街,,,,,,23號,120.394510619873,23.4299132774073
嘉義縣水上鄉水上村7鄰店興街152巷25號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,25號,120.39584994932,23.4321651935734
嘉義縣水上鄉水上村11鄰店興街25號,10010,1001012,1001012-001,11鄰,店興街,,,,,,25號,120.394518560206,23.4299532203377
嘉義縣水上鄉水上村12鄰店興街71巷25號,10010,1001012,1001012-001,12鄰,店興街,,71巷,,,,25號,120.394223780523,23.4313130628247
嘉義縣水上鄉水上村12鄰店興街53巷25號,10010,1001012,1001012-001,12鄰,店興街,,53巷,,,,25號,120.394098881954,23.4311908552437
嘉義縣水上鄉水上村6鄰店興街152巷26號,10010,1001012,1001012-001,6鄰,店興街,,152巷,,,,26號,120.395251446476,23.4311092684811
嘉義縣水上鄉水上村12鄰店興街53巷26號,10010,1001012,1001012-001,12鄰,店興街,,53巷,,,,26號,120.394560443297,23.4310277597171
嘉義縣水上鄉水上村11鄰店興街26號,10010,1001012,1001012-001,11鄰,店興街,,,,,,26號,120.394684625486,23.4298672674679
嘉義縣水上鄉水上村12鄰店興街71巷27號,10010,1001012,1001012-001,12鄰,店興街,,71巷,,,,27號,120.394231848573,23.4312605401402
嘉義縣水上鄉水上村11鄰店興街27號,10010,1001012,1001012-001,11鄰,店興街,,,,,,27號,120.394537651664,23.4299941997943
嘉義縣水上鄉水上村7鄰店興街152巷27號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,27號,120.395839782355,23.4321198241602
嘉義縣水上鄉水上村12鄰店興街53巷28號,10010,1001012,1001012-001,12鄰,店興街,,53巷,,,,28號,120.394510709509,23.4311398987633
嘉義縣水上鄉水上村11鄰店興街28號,10010,1001012,1001012-001,11鄰,店興街,,,,,,28號,120.394683669564,23.4299052796264
嘉義縣水上鄉水上村7鄰店興街152巷29號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,29號,120.395829594057,23.4320791502091
嘉義縣水上鄉水上村11鄰店興街29號,10010,1001012,1001012-001,11鄰,店興街,,,,,,29號,120.394544603986,23.4300362157683
嘉義縣水上鄉水上村11鄰店興街30號,10010,1001012,1001012-001,11鄰,店興街,,,,,,30號,120.394696661899,23.4299532787404
嘉義縣水上鄉水上村7鄰店興街152巷31號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,31號,120.395821960743,23.432036138371
嘉義縣水上鄉水上村11鄰店興街31號,10010,1001012,1001012-001,11鄰,店興街,,,,,,31號,120.394552632735,23.4300782359156
嘉義縣水上鄉水上村11鄰店興街32號,10010,1001012,1001012-001,11鄰,店興街,,,,,,32號,120.394710642264,23.4299992048069
嘉義縣水上鄉水上村11鄰店興街33號,10010,1001012,1001012-001,11鄰,店興街,,,,,,33號,120.394571705717,23.4301232787494
嘉義縣水上鄉水上村7鄰店興街152巷33號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,33號,120.39580665142,23.4320025782199
嘉義縣水上鄉水上村12鄰店興街71巷35號,10010,1001012,1001012-001,12鄰,店興街,,71巷,,,,35號,120.394106720252,23.4314464316638
嘉義縣水上鄉水上村11鄰店興街35號,10010,1001012,1001012-001,11鄰,店興街,,,,,,35號,120.394387593482,23.4300892444807
嘉義縣水上鄉水上村7鄰店興街152巷35號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,35號,120.395792462043,23.4319594507119
嘉義縣水上鄉水上村11鄰店興街36號,10010,1001012,1001012-001,11鄰,店興街,,,,,,36號,120.394723639139,23.4300462106474
嘉義縣水上鄉水上村7鄰店興街152巷37號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,37號,120.395784915936,23.4319187869819
嘉義縣水上鄉水上村12鄰店興街71巷37號,10010,1001012,1001012-001,12鄰,店興街,,71巷,,,,37號,120.394128032363,23.4313007718701
嘉義縣水上鄉水上村11鄰店興街38號,10010,1001012,1001012-001,11鄰,店興街,,,,,,38號,120.394739567199,23.430094221137
嘉義縣水上鄉水上村11鄰店興街39號,10010,1001012,1001012-001,11鄰,店興街,,,,,,39號,120.394526665304,23.4302363390062
嘉義縣水上鄉水上村7鄰店興街152巷39號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,39號,120.395772161201,23.4318829792388
嘉義縣水上鄉水上村7鄰店興街152巷41號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,41號,120.395759320107,23.4318446427898
嘉義縣水上鄉水上村11鄰店興街41號,10010,1001012,1001012-001,11鄰,店興街,,,,,,41號,120.394629660306,23.4302473033164
嘉義縣水上鄉水上村11鄰店興街42號,10010,1001012,1001012-001,11鄰,店興街,,,,,,42號,120.394787692728,23.4302492703918
嘉義縣水上鄉水上村7鄰店興街152巷43號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,43號,120.395746565796,23.4318087447472
嘉義縣水上鄉水上村11鄰店興街43號,10010,1001012,1001012-001,11鄰,店興街,,,,,,43號,120.394640629729,23.4302882512718
嘉義縣水上鄉水上村7鄰店興街152巷45號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,45號,120.395733832834,23.4317681512405
嘉義縣水上鄉水上村11鄰店興街45號,10010,1001012,1001012-001,11鄰,店興街,,,,,,45號,120.394649641611,23.4303292819364
嘉義縣水上鄉水上村11鄰店興街46號,10010,1001012,1001012-001,11鄰,店興街,,,,,,46號,120.394793616428,23.4303022988414
嘉義縣水上鄉水上村7鄰店興街152巷47號,10010,1001012,1001012-001,7鄰,店興街,,152巷,,,,47號,120.395717272753,23.4317298906943
嘉義縣水上鄉水上村11鄰店興街48號,10010,1001012,1001012-001,11鄰,店興街,,,,,,48號,120.39481567092,23.4303803123225
嘉義縣水上鄉水上村11鄰店興街56號,10010,1001012,1001012-001,11鄰,店興街,,,,,,56號,120.394968023067,23.4308993993423
