FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣萬丹鄉?北村1鄰三青路232號,10013,1001305,1001305-000,1鄰,三青路,,,,,,232號,120.461652812065,22.5979681058607
屏東縣萬丹鄉?北村1鄰三青路236號,10013,1001305,1001305-000,1鄰,三青路,,,,,,236號,120.461600054976,22.598028887617
屏東縣萬丹鄉?北村1鄰三青路240號,10013,1001305,1001305-000,1鄰,三青路,,,,,,240號,120.461583938968,22.5981214003974
屏東縣萬丹鄉?北村1鄰三青路242號,10013,1001305,1001305-000,1鄰,三青路,,,,,,242號,120.461579528199,22.5981551612071
屏東縣萬丹鄉?北村1鄰三青路246巷2號,10013,1001305,1001305-000,1鄰,三青路,,246巷,,,,2號,120.461744365753,22.598185154591
屏東縣萬丹鄉?北村1鄰三青路248號,10013,1001305,1001305-000,1鄰,三青路,,,,,,248號,120.461574491638,22.5982748038602
屏東縣萬丹鄉?北村1鄰三青路258號,10013,1001305,1001305-000,1鄰,三青路,,,,,,258號,120.461675548773,22.598449077982
屏東縣萬丹鄉?北村1鄰三青路260號,10013,1001305,1001305-000,1鄰,三青路,,,,,,260號,120.461727607607,22.5985429030212
屏東縣萬丹鄉?北村1鄰三青路266號,10013,1001305,1001305-000,1鄰,三青路,,,,,,266號,120.461487902625,22.5986317762334
屏東縣萬丹鄉?北村1鄰三青路268號,10013,1001305,1001305-000,1鄰,三青路,,,,,,268號,120.461470788319,22.5986808469773
屏東縣萬丹鄉?北村1鄰三青路270號,10013,1001305,1001305-000,1鄰,三青路,,,,,,270號,120.461631270829,22.5987304229501
屏東縣萬丹鄉?北村1鄰三青路286號,10013,1001305,1001305-000,1鄰,三青路,,,,,,286號,120.461423601328,22.5987597994705
屏東縣萬丹鄉?北村1鄰三青路288號,10013,1001305,1001305-000,1鄰,三青路,,,,,,288號,120.461385645256,22.598816025024
屏東縣萬丹鄉?北村1鄰三青路290號,10013,1001305,1001305-000,1鄰,三青路,,,,,,290號,120.461355986888,22.5988394058982
屏東縣萬丹鄉?北村1鄰三青路292號,10013,1001305,1001305-000,1鄰,三青路,,,,,,292號,120.461342463396,22.5988904754711
屏東縣萬丹鄉?南村5鄰三青路1號,10013,1001305,1001305-000,5鄰,三青路,,,,,,1號,120.461338895724,22.5944077002749
屏東縣萬丹鄉?南村5鄰三青路3號,10013,1001305,1001305-000,5鄰,三青路,,,,,,3號,120.461365130369,22.5944641411618
屏東縣萬丹鄉?南村5鄰三青路5號,10013,1001305,1001305-000,5鄰,三青路,,,,,,5號,120.461373735241,22.5945022804733
屏東縣萬丹鄉?南村5鄰三青路7號,10013,1001305,1001305-000,5鄰,三青路,,,,,,7號,120.46135148509,22.5945466379374
屏東縣萬丹鄉?南村5鄰三青路9號,10013,1001305,1001305-000,5鄰,三青路,,,,,,9號,120.461354253494,22.5945850286011
屏東縣萬丹鄉?南村5鄰三青路11號,10013,1001305,1001305-000,5鄰,三青路,,,,,,11號,120.461352726785,22.5946274687694
屏東縣萬丹鄉?南村4鄰三青路16號,10013,1001305,1001305-000,4鄰,三青路,,,,,,16號,120.462102326331,22.5945445487615
屏東縣萬丹鄉?南村5鄰三青路19號,10013,1001305,1001305-000,5鄰,三青路,,,,,,19號,120.461287071966,22.5947788775661
屏東縣萬丹鄉?南村5鄰三青路21號,10013,1001305,1001305-000,5鄰,三青路,,,,,,21號,120.461373578361,22.5948176394116
屏東縣萬丹鄉?南村5鄰三青路29號,10013,1001305,1001305-000,5鄰,三青路,,,,,,29號,120.461371812915,22.5950214611789
屏東縣萬丹鄉?南村5鄰三青路31號,10013,1001305,1001305-000,5鄰,三青路,,,,,,31號,120.461367926735,22.5950703956882
屏東縣萬丹鄉?南村5鄰三青路35號,10013,1001305,1001305-000,5鄰,三青路,,,,,,35號,120.461427803014,22.5951544033653
屏東縣萬丹鄉?南村5鄰三青路37號,10013,1001305,1001305-000,5鄰,三青路,,,,,,37號,120.461427626328,22.59519982826
屏東縣萬丹鄉?南村5鄰三青路41號,10013,1001305,1001305-000,5鄰,三青路,,,,,,41號,120.461434761777,22.5952907031634
屏東縣萬丹鄉?南村4鄰三青路42號,10013,1001305,1001305-000,4鄰,三青路,,,,,,42號,120.461694363121,22.5946606740063
屏東縣萬丹鄉?南村5鄰三青路43號,10013,1001305,1001305-000,5鄰,三青路,,,,,,43號,120.461434585092,22.5953361280574
屏東縣萬丹鄉?南村5鄰三青路47號,10013,1001305,1001305-000,5鄰,三青路,,,,,,47號,120.461404947019,22.5954294985966
屏東縣萬丹鄉?南村5鄰三青路49號,10013,1001305,1001305-000,5鄰,三青路,,,,,,49號,120.461393179812,22.5954792194544
屏東縣萬丹鄉?南村5鄰三青路57號,10013,1001305,1001305-000,5鄰,三青路,,,,,,57號,120.461424430788,22.5956463058179
屏東縣萬丹鄉?南村5鄰三青路61號,10013,1001305,1001305-000,5鄰,三青路,,,,,,61號,120.461423991342,22.5957592810456
屏東縣萬丹鄉?南村4鄰三青路62號,10013,1001305,1001305-000,4鄰,三青路,,,,,,62號,120.461528760017,22.5947535887798
屏東縣萬丹鄉?南村4鄰三青路66號,10013,1001305,1001305-000,4鄰,三青路,,,,,,66號,120.461545680948,22.5948041283151
屏東縣萬丹鄉?南村5鄰三青路67號,10013,1001305,1001305-000,5鄰,三青路,,,,,,67號,120.461481290698,22.5959057739645
屏東縣萬丹鄉?南村4鄰三青路68號,10013,1001305,1001305-000,4鄰,三青路,,,,,,68號,120.461559843592,22.5948386738855
屏東縣萬丹鄉?南村5鄰三青路69號,10013,1001305,1001305-000,5鄰,三青路,,,,,,69號,120.461431892046,22.5959534721335
屏東縣萬丹鄉?南村4鄰三青路70號,10013,1001305,1001305-000,4鄰,三青路,,,,,,70號,120.461568185548,22.5948944225839
屏東縣萬丹鄉?南村5鄰三青路71號,10013,1001305,1001305-000,5鄰,三青路,,,,,,71號,120.461460708051,22.5959964655988
屏東縣萬丹鄉?南村4鄰三青路72號,10013,1001305,1001305-000,4鄰,三青路,,,,,,72號,120.461576558412,22.5949422241823
屏東縣萬丹鄉?南村4鄰三青路76號,10013,1001305,1001305-000,4鄰,三青路,,,,,,76號,120.461590679641,22.5949874260875
屏東縣萬丹鄉?南村4鄰三青路76之1號,10013,1001305,1001305-000,4鄰,三青路,,,,,,76之1號,120.461578212076,22.5950422019261
