FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣新園鄉田洋村1鄰仙鯉路1號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,1號,120.447851998702,22.5537710684772
屏東縣新園鄉田洋村1鄰仙鯉路1之6號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,1之6號,120.448091482219,22.5539158437474
屏東縣新園鄉田洋村1鄰仙鯉路1之1號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,1之1號,120.447571967962,22.5542864058322
屏東縣新園鄉田洋村1鄰仙鯉路1之50號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,1之50號,120.447595804666,22.5510099707104
屏東縣新園鄉田洋村1鄰仙鯉路2號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,2號,120.44782378086,22.5538985788277
屏東縣新園鄉田洋村1鄰仙鯉路2之5號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,2之5號,120.44798648751,22.5533748910945
屏東縣新園鄉田洋村1鄰仙鯉路2之1號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,2之1號,120.447754062563,22.5534112103405
屏東縣新園鄉田洋村1鄰仙鯉路3號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,3號,120.448148386685,22.5544961868267
屏東縣新園鄉田洋村1鄰仙鯉路5號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,5號,120.447795698515,22.5552623353638
屏東縣新園鄉田洋村1鄰仙鯉路6號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,6號,120.448112145233,22.5541965060733
屏東縣新園鄉田洋村1鄰仙鯉路7號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,7號,120.448354882432,22.5560419089201
屏東縣新園鄉田洋村1鄰仙鯉路25號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,25號,120.453523407745,22.5547050943248
屏東縣新園鄉田洋村1鄰仙鯉路36號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,36號,120.455761997379,22.5541444582028
屏東縣新園鄉田洋村1鄰仙鯉路61號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,61號,120.458638453203,22.5524971669492
屏東縣新園鄉田洋村1鄰仙鯉路63號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,63號,120.458659883357,22.5525367946718
屏東縣新園鄉田洋村1鄰仙鯉路65號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,65號,120.45866867114,22.5525771023163
屏東縣新園鄉田洋村1鄰仙鯉路67號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,67號,120.45868609068,22.5526229478961
屏東縣新園鄉田洋村1鄰仙鯉路69巷1號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,1號,120.45886731712,22.5527496299084
屏東縣新園鄉田洋村1鄰仙鯉路69巷3號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,3號,120.458912561384,22.5527412027233
屏東縣新園鄉田洋村1鄰仙鯉路69巷5號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,5號,120.458956338425,22.5527350283287
屏東縣新園鄉田洋村1鄰仙鯉路69巷7號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,7號,120.458996742429,22.5527211662627
屏東縣新園鄉田洋村1鄰仙鯉路69巷9號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,9號,120.459038606598,22.5527068575498
屏東縣新園鄉田洋村1鄰仙鯉路69巷11號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,11號,120.459078510366,22.5526966061631
屏東縣新園鄉田洋村1鄰仙鯉路69巷13號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,13號,120.459115992242,22.5526840888822
屏東縣新園鄉田洋村1鄰仙鯉路69巷15號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,15號,120.459154923723,22.5526738342064
屏東縣新園鄉田洋村1鄰仙鯉路69巷17號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,17號,120.459191424512,22.5526635713476
屏東縣新園鄉田洋村1鄰仙鯉路69巷19號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,19號,120.459233256968,22.5526573903381
屏東縣新園鄉田洋村1鄰仙鯉路69巷21號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,21號,120.459266840923,22.5526471176546
屏東縣新園鄉田洋村1鄰仙鯉路69巷23號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,23號,120.459307711654,22.552638224105
屏東縣新園鄉田洋村1鄰仙鯉路69巷25號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,25號,120.459347613625,22.5526284241926
屏東縣新園鄉田洋村1鄰仙鯉路69巷27號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,27號,120.459384591729,22.5526204206333
屏東縣新園鄉田洋村1鄰仙鯉路69巷29號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,29號,120.459423528451,22.5526088112658
屏東縣新園鄉田洋村1鄰仙鯉路69巷31號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,31號,120.459460994442,22.5526003577809
屏東縣新園鄉田洋村1鄰仙鯉路69巷33號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,33號,120.459501870425,22.5525901095555
屏東縣新園鄉田洋村1鄰仙鯉路69巷35號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,35號,120.459542265541,22.55257850506
屏東縣新園鄉田洋村1鄰仙鯉路69巷37號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,37號,120.45958751147,22.552569626141
屏東縣新園鄉田洋村1鄰仙鯉路69巷39號,10013,1001317,1001317-003,1鄰,仙鯉路,,69巷,,,,39號,120.459630823396,22.5525580314239
屏東縣新園鄉田洋村1鄰仙鯉路71號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,71號,120.458712942693,22.552718314861
屏東縣新園鄉田洋村1鄰仙鯉路73號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,73號,120.45872900601,22.5527628915376
屏東縣新園鄉田洋村1鄰仙鯉路75號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,75號,120.45873972182,22.5528074502159
屏東縣新園鄉田洋村1鄰仙鯉路77號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,77號,120.458754452856,22.5528446170218
屏東縣新園鄉田洋村1鄰仙鯉路100號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,100號,120.459841242953,22.5538774386092
屏東縣新園鄉田洋村1鄰仙鯉路201號,10013,1001317,1001317-003,1鄰,仙鯉路,,,,,,201號,120.463391346032,22.5534359689538
