FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣麟洛鄉麟蹄村21鄰俊賢街6巷11號,10013,1001307,1001307-003,21鄰,俊賢街,,6巷,,,,11號,120.529400884381,22.6488491633777
屏東縣麟洛鄉麟蹄村21鄰俊賢街6巷25號,10013,1001307,1001307-003,21鄰,俊賢街,,6巷,,,,25號,120.530381168043,22.6483868555854
屏東縣麟洛鄉麟蹄村21鄰俊賢街20巷20號,10013,1001307,1001307-003,21鄰,俊賢街,,20巷,,,,20號,120.530338313944,22.6488287935719
屏東縣麟洛鄉麟蹄村21鄰俊賢街22之1號,10013,1001307,1001307-003,21鄰,俊賢街,,,,,,22之1號,120.529758451576,22.6493348118331
屏東縣麟洛鄉麟蹄村21鄰俊賢街30號,10013,1001307,1001307-003,21鄰,俊賢街,,,,,,30號,120.530976102534,22.6491707654369
屏東縣麟洛鄉麟蹄村21鄰俊賢街31之7號,10013,1001307,1001307-003,21鄰,俊賢街,,,,,,31之7號,120.529904026212,22.6501013316372
屏東縣麟洛鄉麟蹄村21鄰俊賢街31之8號,10013,1001307,1001307-003,21鄰,俊賢街,,,,,,31之8號,120.529826673989,22.6501300036996
屏東縣麟洛鄉麟蹄村21鄰俊賢街35號,10013,1001307,1001307-003,21鄰,俊賢街,,,,,,35號,120.530268834757,22.650318872232
屏東縣麟洛鄉麟蹄村21鄰俊賢街38號,10013,1001307,1001307-003,21鄰,俊賢街,,,,,,38號,120.530748632855,22.6496827850047
屏東縣麟洛鄉麟蹄村21鄰俊賢街38之1號,10013,1001307,1001307-003,21鄰,俊賢街,,,,,,38之1號,120.530852943201,22.6498811383941
屏東縣麟洛鄉麟蹄村21鄰俊賢街39號,10013,1001307,1001307-003,21鄰,俊賢街,,,,,,39號,120.530454504277,22.6506263771387
屏東縣麟洛鄉麟蹄村21鄰俊賢街40號,10013,1001307,1001307-003,21鄰,俊賢街,,,,,,40號,120.53120458283,22.649994240907
屏東縣麟洛鄉麟頂村1鄰俊賢街51巷1號,10013,1001307,1001307-002,1鄰,俊賢街,,51巷,,,,1號,120.530688342763,22.6509036789904
屏東縣麟洛鄉麟頂村1鄰俊賢街51巷13號,10013,1001307,1001307-002,1鄰,俊賢街,,51巷,,,,13號,120.530036549155,22.6511296192795
屏東縣麟洛鄉麟頂村1鄰俊賢街51巷19號,10013,1001307,1001307-002,1鄰,俊賢街,,51巷,,,,19號,120.529661697218,22.6512892700721
屏東縣麟洛鄉麟頂村1鄰俊賢街51巷21號,10013,1001307,1001307-002,1鄰,俊賢街,,51巷,,,,21號,120.529531300324,22.6513226630092
屏東縣麟洛鄉麟頂村1鄰俊賢街51巷23號,10013,1001307,1001307-002,1鄰,俊賢街,,51巷,,,,23號,120.529408224142,22.6513777515315
屏東縣麟洛鄉麟頂村1鄰俊賢街51巷35號,10013,1001307,1001307-002,1鄰,俊賢街,,51巷,,,,35號,120.528653197751,22.6516590134318
屏東縣麟洛鄉麟頂村1鄰俊賢街92巷1號,10013,1001307,1001307-002,1鄰,俊賢街,,92巷,,,,1號,120.530992082525,22.6507682011753
屏東縣麟洛鄉麟頂村1鄰俊賢街92巷6號,10013,1001307,1001307-002,1鄰,俊賢街,,92巷,,,,6號,120.53184610539,22.6504424238995
屏東縣麟洛鄉麟頂村1鄰俊賢街96號,10013,1001307,1001307-002,1鄰,俊賢街,,,,,,96號,120.53099908207,22.6508845398828
屏東縣麟洛鄉麟頂村1鄰俊賢街98號,10013,1001307,1001307-002,1鄰,俊賢街,,,,,,98號,120.531025703075,22.6510678551017
屏東縣麟洛鄉麟頂村1鄰俊賢街100號,10013,1001307,1001307-002,1鄰,俊賢街,,,,,,100號,120.531045867231,22.6511469346302
屏東縣麟洛鄉麟頂村1鄰俊賢街108號,10013,1001307,1001307-002,1鄰,俊賢街,,,,,,108號,120.53151586656,22.6515347420286
屏東縣麟洛鄉麟頂村1鄰俊賢街110號,10013,1001307,1001307-002,1鄰,俊賢街,,,,,,110號,120.531961663529,22.65157144561
屏東縣麟洛鄉麟頂村1鄰俊賢街110之1號,10013,1001307,1001307-002,1鄰,俊賢街,,,,,,110之1號,120.531623035437,22.6516942703149
屏東縣麟洛鄉麟頂村1鄰俊賢街112號,10013,1001307,1001307-002,1鄰,俊賢街,,,,,,112號,120.531429672425,22.6517603533235
