FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣枋寮鄉隆山村2鄰僑德路2之1號,10013,1001316,1001316-006,2鄰,僑德路,,,,,,2之1號,120.603114583763,22.3582575438885
屏東縣枋寮鄉隆山村2鄰僑德路2號,10013,1001316,1001316-006,2鄰,僑德路,,,,,,2號,120.603105506054,22.3581030863171
屏東縣枋寮鄉隆山村2鄰僑德路9號,10013,1001316,1001316-006,2鄰,僑德路,,,,,,9號,120.602607002121,22.3582814060436
屏東縣枋寮鄉隆山村2鄰僑德路11號,10013,1001316,1001316-006,2鄰,僑德路,,,,,,11號,120.602557501811,22.3584119675358
屏東縣枋寮鄉隆山村2鄰僑德路16號,10013,1001316,1001316-006,2鄰,僑德路,,,,,,16號,120.60278214232,22.3584592105932
屏東縣枋寮鄉隆山村2鄰僑德路18號,10013,1001316,1001316-006,2鄰,僑德路,,,,,,18號,120.602715466896,22.35855179852
屏東縣枋寮鄉隆山村3鄰僑德路30號,10013,1001316,1001316-006,3鄰,僑德路,,,,,,30號,120.602665341212,22.358628983497
屏東縣枋寮鄉隆山村3鄰僑德路32號,10013,1001316,1001316-006,3鄰,僑德路,,,,,,32號,120.602640379798,22.3586660409063
屏東縣枋寮鄉隆山村2鄰僑德路35號,10013,1001316,1001316-006,2鄰,僑德路,,,,,,35號,120.602453278902,22.3585972146875
屏東縣枋寮鄉隆山村3鄰僑德路36號,10013,1001316,1001316-006,3鄰,僑德路,,,,,,36號,120.602616972136,22.3587030118115
屏東縣枋寮鄉隆山村3鄰僑德路38號,10013,1001316,1001316-006,3鄰,僑德路,,,,,,38號,120.602727620445,22.3589567920288
屏東縣枋寮鄉隆山村2鄰僑德路39號,10013,1001316,1001316-006,2鄰,僑德路,,,,,,39號,120.602308020543,22.358838174445
屏東縣枋寮鄉隆山村3鄰僑德路48號,10013,1001316,1001316-006,3鄰,僑德路,,,,,,48號,120.602453561667,22.358908163186
屏東縣枋寮鄉隆山村3鄰僑德路50號,10013,1001316,1001316-006,3鄰,僑德路,,,,,,50號,120.602428463582,22.3589591284327
屏東縣枋寮鄉隆山村3鄰僑德路56號,10013,1001316,1001316-006,3鄰,僑德路,,,,,,56號,120.602384640791,22.3590391284948
屏東縣枋寮鄉隆山村3鄰僑德路58號,10013,1001316,1001316-006,3鄰,僑德路,,,,,,58號,120.6022880784,22.3591250499884
屏東縣枋寮鄉隆山村3鄰僑德路60號,10013,1001316,1001316-006,3鄰,僑德路,,,,,,60號,120.60224960859,22.3591663188661
