FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣鹽埔鄉仕絨村9鄰北還路2號,10013,1001310,1001310-006,9鄰,北還路,,,,,,2號,120.558027628965,22.7610562674954
屏東縣鹽埔鄉仕絨村9鄰北還路2之1號,10013,1001310,1001310-006,9鄰,北還路,,,,,,2之1號,120.557799017543,22.7605028581622
屏東縣鹽埔鄉仕絨村9鄰北還路4號,10013,1001310,1001310-006,9鄰,北還路,,,,,,4號,120.557636753735,22.7605136972607
屏東縣鹽埔鄉仕絨村9鄰北還路4之1號,10013,1001310,1001310-006,9鄰,北還路,,,,,,4之1號,120.557351127292,22.7604902384001
屏東縣鹽埔鄉仕絨村9鄰北還路4號之1,10013,1001310,1001310-006,9鄰,北還路,,,,,,4號之1,120.557360527428,22.7604740992918
屏東縣鹽埔鄉仕絨村9鄰北還路5號,10013,1001310,1001310-006,9鄰,北還路,,,,,,5號,120.557483215872,22.7603549615984
屏東縣鹽埔鄉仕絨村9鄰北還路9之1號,10013,1001310,1001310-006,9鄰,北還路,,,,,,9之1號,120.557342544475,22.760857046452
屏東縣鹽埔鄉仕絨村9鄰北還路9號,10013,1001310,1001310-006,9鄰,北還路,,,,,,9號,120.557387152426,22.7608540996254
屏東縣鹽埔鄉仕絨村9鄰北還路10號,10013,1001310,1001310-006,9鄰,北還路,,,,,,10號,120.557064288029,22.7608730721754
屏東縣鹽埔鄉仕絨村9鄰北還路10之1號,10013,1001310,1001310-006,9鄰,北還路,,,,,,10之1號,120.557077723526,22.7607832528037
屏東縣鹽埔鄉仕絨村7鄰北還路11號,10013,1001310,1001310-006,7鄰,北還路,,,,,,11號,120.556860314288,22.760561936424
屏東縣鹽埔鄉仕絨村7鄰北還路11之1號,10013,1001310,1001310-006,7鄰,北還路,,,,,,11之1號,120.556687256391,22.7608095326439
屏東縣鹽埔鄉仕絨村8鄰北還路12號,10013,1001310,1001310-006,8鄰,北還路,,,,,,12號,120.556428098615,22.7609120352022
屏東縣鹽埔鄉仕絨村8鄰北還路12之8號,10013,1001310,1001310-006,8鄰,北還路,,,,,,12之8號,120.55571242635,22.760958179832
屏東縣鹽埔鄉仕絨村8鄰北還路13號,10013,1001310,1001310-006,8鄰,北還路,,,,,,13號,120.557027940251,22.7611227637678
屏東縣鹽埔鄉仕絨村8鄰北還路13之1號,10013,1001310,1001310-006,8鄰,北還路,,,,,,13之1號,120.557142074419,22.7610596840057
屏東縣鹽埔鄉仕絨村8鄰北還路13之2號,10013,1001310,1001310-006,8鄰,北還路,,,,,,13之2號,120.556927914944,22.7610382287282
屏東縣鹽埔鄉仕絨村8鄰北還路13之3號,10013,1001310,1001310-006,8鄰,北還路,,,,,,13之3號,120.557198082687,22.7610545111454
屏東縣鹽埔鄉仕絨村8鄰北還路13號之1,10013,1001310,1001310-006,8鄰,北還路,,,,,,13號之1,120.557142561007,22.7610597756633
屏東縣鹽埔鄉仕絨村8鄰北還路14號,10013,1001310,1001310-006,8鄰,北還路,,,,,,14號,120.557330814194,22.7610220972889
屏東縣鹽埔鄉仕絨村8鄰北還路15之1號,10013,1001310,1001310-006,8鄰,北還路,,,,,,15之1號,120.557498683937,22.7610244590397
屏東縣鹽埔鄉仕絨村8鄰北還路15之2號,10013,1001310,1001310-006,8鄰,北還路,,,,,,15之2號,120.557517441201,22.7610962157135
屏東縣鹽埔鄉仕絨村8鄰北還路16之2號,10013,1001310,1001310-006,8鄰,北還路,,,,,,16之2號,120.557794889622,22.7611498145775
