FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣恆春鎮城南里6鄰南門路2巷2號,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2號,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之1號,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之1號,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之2號,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之2號,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之8號,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之8號,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之3號,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之3號,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之5號,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之5號,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之6號,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之6號,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之7號,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之7號,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之8號二樓,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之8號二樓,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2號二樓,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2號二樓,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之1號二樓,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之1號二樓,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之2號二樓,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之2號二樓,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之3號二樓,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之3號二樓,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之5號二樓,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之5號二樓,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之6號二樓,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之6號二樓,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之7號二樓,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之7號二樓,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之5號三樓,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之5號三樓,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之6號三樓,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之6號三樓,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之7號三樓,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之7號三樓,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之8號三樓,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之8號三樓,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2號三樓,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2號三樓,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之1號三樓,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之1號三樓,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之2號三樓,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之2號三樓,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷2之3號三樓,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,2之3號三樓,120.7453217172,22.0000528290513
屏東縣恆春鎮城南里6鄰南門路2巷6號,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,6號,120.745457579789,22.0002799185919
屏東縣恆春鎮城南里6鄰南門路2巷8號,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,8號,120.745494765285,22.0002826858378
屏東縣恆春鎮城南里6鄰南門路2巷10號,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,10號,120.745530693668,22.0002843673096
屏東縣恆春鎮城南里6鄰南門路2巷12號,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,12號,120.745570205496,22.0002860543327
屏東縣恆春鎮城南里6鄰南門路2巷13號,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,13號,120.745513397514,22.0003705037709
屏東縣恆春鎮城南里6鄰南門路2巷14號,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,14號,120.745606126149,22.0002920710363
屏東縣恆春鎮城南里6鄰南門路2巷15號,10013,1001304,1001304-001,6鄰,南門路,,2巷,,,,15號,120.745550384662,22.0003758899162
