FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣萬丹鄉社中村5鄰吉安路110號,10013,1001305,1001305-020,5鄰,吉安路,,,,,,110號,120.470667283138,22.6177136651746
屏東縣萬丹鄉社中村5鄰吉安路112號,10013,1001305,1001305-020,5鄰,吉安路,,,,,,112號,120.470655947965,22.6177499500489
屏東縣萬丹鄉社中村5鄰吉安路116號,10013,1001305,1001305-020,5鄰,吉安路,,,,,,116號,120.470644612787,22.617786234922
屏東縣萬丹鄉社中村5鄰吉安路118號,10013,1001305,1001305-020,5鄰,吉安路,,,,,,118號,120.470633267874,22.617822519762
屏東縣萬丹鄉社中村5鄰吉安路120號,10013,1001305,1001305-020,5鄰,吉安路,,,,,,120號,120.470621932684,22.6178588046331
屏東縣萬丹鄉社中村5鄰吉安路122號,10013,1001305,1001305-020,5鄰,吉安路,,,,,,122號,120.470610597486,22.617895089503
屏東縣萬丹鄉社中村5鄰吉安路126號,10013,1001305,1001305-020,5鄰,吉安路,,,,,,126號,120.47059925259,22.617931365309
屏東縣萬丹鄉社中村5鄰吉安路128號,10013,1001305,1001305-020,5鄰,吉安路,,,,,,128號,120.470587917381,22.6179676501767
屏東縣萬丹鄉社中村5鄰吉安路130號,10013,1001305,1001305-020,5鄰,吉安路,,,,,,130號,120.470576582166,22.6180039350434
屏東縣萬丹鄉社中村5鄰吉安路132號,10013,1001305,1001305-020,5鄰,吉安路,,,,,,132號,120.470565237217,22.618040219877
屏東縣萬丹鄉社中村5鄰吉安路136號,10013,1001305,1001305-020,5鄰,吉安路,,,,,,136號,120.470553901989,22.6180765047415
屏東縣萬丹鄉社中村5鄰吉安路138號,10013,1001305,1001305-020,5鄰,吉安路,,,,,,138號,120.470542566755,22.618112789605
屏東縣萬丹鄉社皮村13鄰吉安路1號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,1號,120.470461234083,22.6158848246935
屏東縣萬丹鄉社皮村13鄰吉安路3號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,3號,120.470473739433,22.6159214410955
屏東縣萬丹鄉社皮村13鄰吉安路5號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,5號,120.470477973205,22.6159589332933
屏東縣萬丹鄉社皮村13鄰吉安路7號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,7號,120.470486101321,22.6159955352508
屏東縣萬丹鄉社皮村13鄰吉安路9號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,9號,120.470494225984,22.6160330402863
屏東縣萬丹鄉社皮村13鄰吉安路10號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,10號,120.470598218306,22.6159295280493
屏東縣萬丹鄉社皮村13鄰吉安路11號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,11號,120.470505762091,22.6160687503976
屏東縣萬丹鄉社皮村13鄰吉安路12號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,12號,120.47060099303,22.6159670154311
屏東縣萬丹鄉社皮村13鄰吉安路13號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,13號,120.470509999332,22.6161053395157
屏東縣萬丹鄉社皮村13鄰吉安路15號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,15號,120.470519577905,22.6161442039814
屏東縣萬丹鄉社皮村13鄰吉安路16號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,16號,120.470610568164,22.6160067829707
屏東縣萬丹鄉社皮村13鄰吉安路17號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,17號,120.470527212767,22.6161826104885
屏東縣萬丹鄉社皮村13鄰吉安路18號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,18號,120.470612368443,22.6160447186824
屏東縣萬丹鄉社皮村13鄰吉安路19號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,19號,120.470534847633,22.6162210169951
屏東縣萬丹鄉社皮村13鄰吉安路20號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,20號,120.470627790285,22.6160817962384
屏東縣萬丹鄉社皮村13鄰吉安路21號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,21號,120.470545883577,22.6162603378121
屏東縣萬丹鄉社皮村13鄰吉安路22號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,22號,120.470639322974,22.6161184094191
屏東縣萬丹鄉社皮村13鄰吉安路23號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,23號,120.470543296214,22.6163009683165
屏東縣萬丹鄉社皮村13鄰吉安路26號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,26號,120.470645017608,22.6161554548863
屏東縣萬丹鄉社皮村13鄰吉安路28號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,28號,120.47065313541,22.6161947660708
屏東縣萬丹鄉社皮村13鄰吉安路29號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,29號,120.470557612397,22.6163981880102
屏東縣萬丹鄉社皮村13鄰吉安路30號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,30號,120.470659319867,22.6162309100632
屏東縣萬丹鄉社皮村13鄰吉安路31號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,31號,120.4705947666,22.6164501479385
屏東縣萬丹鄉社皮村13鄰吉安路32號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,32號,120.470665982049,22.6162693133555
屏東縣萬丹鄉社皮村13鄰吉安路33號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,33號,120.470597529233,22.6164907960925
屏東縣萬丹鄉社皮村13鄰吉安路35號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,35號,120.470593468967,22.6165350340967
屏東縣萬丹鄉社皮村13鄰吉安路36號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,36號,120.470677514763,22.6163059265331
屏東縣萬丹鄉社皮村13鄰吉安路37號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,37號,120.470595719314,22.6165824537335
屏東縣萬丹鄉社皮村13鄰吉安路38號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,38號,120.470698574285,22.6163949503409
屏東縣萬丹鄉社皮村13鄰吉安路39號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,39號,120.470592633497,22.616626243407
屏東縣萬丹鄉社皮村13鄰吉安路40號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,40號,120.470697404581,22.6164464226012
屏東縣萬丹鄉社皮村13鄰吉安路41號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,41號,120.470581276051,22.6166709088814
屏東縣萬丹鄉社皮村13鄰吉安路42號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,42號,120.470690415806,22.6164933602188
屏東縣萬丹鄉社皮村13鄰吉安路43號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,43號,120.470580127038,22.6167169626682
屏東縣萬丹鄉社皮村13鄰吉安路45號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,45號,120.470582411949,22.6167553515206
屏東縣萬丹鄉社皮村13鄰吉安路46號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,46號,120.470690227462,22.6165425779909
屏東縣萬丹鄉社皮村13鄰吉安路47號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,47號,120.4705817372,22.6168045676856
屏東縣萬丹鄉社皮村13鄰吉安路48號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,48號,120.470688088483,22.6165931439633
屏東縣萬丹鄉社皮村13鄰吉安路49號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,49號,120.470579120453,22.6168528743537
屏東縣萬丹鄉社皮村13鄰吉安路50號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,50號,120.470682070694,22.6166405363271
屏東縣萬丹鄉社皮村13鄰吉安路51號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,51號,120.470576520987,22.6168966656298
屏東縣萬丹鄉社皮村13鄰吉安路52號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,52號,120.470679447074,22.6166906491553
屏東縣萬丹鄉社皮村13鄰吉安路53號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,53號,120.470576339512,22.6169440772418
屏東縣萬丹鄉社皮村13鄰吉安路55號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,55號,120.470576666869,22.616985620449
屏東縣萬丹鄉社皮村13鄰吉安路56號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,56號,120.470679750271,22.6167385139127
屏東縣萬丹鄉社皮村13鄰吉安路58號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,58號,120.470697529721,22.6167950156666
屏東縣萬丹鄉社皮村13鄰吉安路59號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,59號,120.470569614072,22.6170492650057
屏東縣萬丹鄉社皮村13鄰吉安路60號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,60號,120.470673525111,22.6168400909762
屏東縣萬丹鄉社皮村13鄰吉安路61號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,61號,120.470572357694,22.6170948800878
屏東縣萬丹鄉社皮村13鄰吉安路62號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,62號,120.470673347126,22.6168865995109
屏東縣萬丹鄉社皮村13鄰吉安路63號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,63號,120.470531300843,22.617147575376
屏東縣萬丹鄉社皮村13鄰吉安路65號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,65號,120.470568083078,22.6171951089419
屏東縣萬丹鄉社皮村13鄰吉安路66號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,66號,120.470666842953,22.6169339902679
屏東縣萬丹鄉社皮村13鄰吉安路67號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,67號,120.470568882969,22.6172402660656
屏東縣萬丹鄉社皮村13鄰吉安路68號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,68號,120.470669574509,22.6169827661237
屏東縣萬丹鄉社皮村13鄰吉安路69號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,69號,120.470569670762,22.617288583963
屏東縣萬丹鄉社皮村13鄰吉安路71號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,71號,120.470565098166,22.617339593444
屏東縣萬丹鄉社皮村13鄰吉安路72號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,72號,120.470671776502,22.6170428288539
屏東縣萬丹鄉社皮村13鄰吉安路73號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,73號,120.470563004061,22.6173784193911
屏東縣萬丹鄉社皮村13鄰吉安路75號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,75號,120.470565688918,22.6174393868021
屏東縣萬丹鄉社皮村13鄰吉安路76號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,76號,120.47066626233,22.6170857074268
屏東縣萬丹鄉社皮村13鄰吉安路77號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,77號,120.470560197164,22.6174763953595
屏東縣萬丹鄉社皮村13鄰吉安路78號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,78號,120.470664640798,22.6171281472946
屏東縣萬丹鄉社皮村13鄰吉安路80號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,80號,120.47065959916,22.6171746397842
屏東縣萬丹鄉社皮村13鄰吉安路81號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,81號,120.470547183487,22.6175725314715
屏東縣萬丹鄉社皮村13鄰吉安路82號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,82號,120.470656020069,22.6172202340082
屏東縣萬丹鄉社皮村13鄰吉安路85號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,85號,120.470549804385,22.6176502058285
屏東縣萬丹鄉社皮村13鄰吉安路86號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,86號,120.470661680184,22.6172663102537
屏東縣萬丹鄉社皮村13鄰吉安路88號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,88號,120.470660046551,22.6173119108945
屏東縣萬丹鄉社皮村8鄰吉安路89號,10013,1001305,1001305-018,8鄰,吉安路,,,,,,89號,120.470538390829,22.6177095011597
屏東縣萬丹鄉社皮村13鄰吉安路90號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,90號,120.470658416373,22.6173566084567
屏東縣萬丹鄉社皮村8鄰吉安路91號,10013,1001305,1001305-018,8鄰,吉安路,,,,,,91號,120.470535999358,22.6177497710668
屏東縣萬丹鄉社皮村13鄰吉安路92號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,92號,120.470655811735,22.6174017543491
屏東縣萬丹鄉社皮村8鄰吉安路93號,10013,1001305,1001305-018,8鄰,吉安路,,,,,,93號,120.470530212087,22.6178131488635
屏東縣萬丹鄉社皮村8鄰吉安路95號,10013,1001305,1001305-018,8鄰,吉安路,,,,,,95號,120.470507951592,22.617859945764
屏東縣萬丹鄉社皮村13鄰吉安路96號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,96號,120.470659524665,22.6174482757154
屏東縣萬丹鄉社皮村8鄰吉安路97號,10013,1001305,1001305-018,8鄰,吉安路,,,,,,97號,120.470488574938,22.6178903159462
屏東縣萬丹鄉社皮村13鄰吉安路98號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,98號,120.470657396021,22.6174961324464
屏東縣萬丹鄉社皮村8鄰吉安路99號,10013,1001305,1001305-018,8鄰,吉安路,,,,,,99號,120.470466973086,22.6179175179692
屏東縣萬丹鄉社皮村13鄰吉安路100號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,100號,120.470657233578,22.617538577125
屏東縣萬丹鄉社皮村8鄰吉安路101號,10013,1001305,1001305-018,8鄰,吉安路,,,,,,101號,120.470445077331,22.6179452608729
屏東縣萬丹鄉社皮村13鄰吉安路102號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,102號,120.470658995862,22.6175864466905
屏東縣萬丹鄉社皮村8鄰吉安路103號,10013,1001305,1001305-018,8鄰,吉安路,,,,,,103號,120.470424609895,22.6179810459845
屏東縣萬丹鄉社皮村8鄰吉安路105號,10013,1001305,1001305-018,8鄰,吉安路,,,,,,105號,120.470398896939,22.618014917293
屏東縣萬丹鄉社皮村13鄰吉安路106號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,106號,120.470654928662,22.6176324908466
屏東縣萬丹鄉社皮村13鄰吉安路108號,10013,1001305,1001305-018,13鄰,吉安路,,,,,,108號,120.470654757576,22.6176771932201
