FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣內埔鄉龍泉村7鄰東川路1號,10013,1001313,1001313-017,7鄰,東川路,,,,,,1號,120.601114468633,22.6694814605675
屏東縣內埔鄉龍泉村10鄰東川路2號,10013,1001313,1001313-017,10鄰,東川路,,,,,,2號,120.6012353843,22.6693955159843
屏東縣內埔鄉龍泉村7鄰東川路3號,10013,1001313,1001313-017,7鄰,東川路,,,,,,3號,120.601117733539,22.6695302358631
屏東縣內埔鄉龍泉村7鄰東川路5號,10013,1001313,1001313-017,7鄰,東川路,,,,,,5號,120.601116106754,22.6695880299337
屏東縣內埔鄉龍泉村10鄰東川路6號,10013,1001313,1001313-017,10鄰,東川路,,,,,,6號,120.601246693118,22.6695230612448
屏東縣內埔鄉龍泉村7鄰東川路7號,10013,1001313,1001313-017,7鄰,東川路,,,,,,7號,120.601118905993,22.6696295793039
屏東縣內埔鄉龍泉村10鄰東川路8號,10013,1001313,1001313-017,10鄰,東川路,,,,,,8號,120.601250144865,22.66957454629
屏東縣內埔鄉龍泉村10鄰東川路10號,10013,1001313,1001313-017,10鄰,東川路,,,,,,10號,120.601258959721,22.6696222516834
屏東縣內埔鄉龍泉村10鄰東川路12巷1號,10013,1001313,1001313-017,10鄰,東川路,,12巷,,,,1號,120.601394283995,22.6697025124506
屏東縣內埔鄉龍泉村10鄰東川路12巷2號,10013,1001313,1001313-017,10鄰,東川路,,12巷,,,,2號,120.601413674887,22.6696262491189
屏東縣內埔鄉龍泉村10鄰東川路12巷8號,10013,1001313,1001313-017,10鄰,東川路,,12巷,,,,8號,120.601909522484,22.669578353764
屏東縣內埔鄉龍泉村10鄰東川路12巷11號,10013,1001313,1001313-017,10鄰,東川路,,12巷,,,,11號,120.601811960403,22.6697997309548
屏東縣內埔鄉龍泉村10鄰東川路12巷13號,10013,1001313,1001313-017,10鄰,東川路,,12巷,,,,13號,120.601777599787,22.6697355257433
屏東縣內埔鄉龍泉村10鄰東川路12巷15號,10013,1001313,1001313-017,10鄰,東川路,,12巷,,,,15號,120.601914072121,22.6696541348004
屏東縣內埔鄉龍泉村10鄰東川路12巷17號,10013,1001313,1001313-017,10鄰,東川路,,12巷,,,,17號,120.602002815877,22.6698920501069
屏東縣內埔鄉龍泉村10鄰東川路12巷19號,10013,1001313,1001313-017,10鄰,東川路,,12巷,,,,19號,120.601997599979,22.6697098827463
屏東縣內埔鄉龍泉村10鄰東川路14號,10013,1001313,1001313-017,10鄰,東川路,,,,,,14號,120.601282078799,22.6697375442362
屏東縣內埔鄉龍泉村10鄰東川路14之1號,10013,1001313,1001313-017,10鄰,東川路,,,,,,14之1號,120.601285889492,22.6698331915494
屏東縣內埔鄉龍泉村10鄰東川路14之2號,10013,1001313,1001313-017,10鄰,東川路,,,,,,14之2號,120.601291602923,22.669876554361
屏東縣內埔鄉龍泉村10鄰東川路16號,10013,1001313,1001313-017,10鄰,東川路,,,,,,16號,120.601315821433,22.6700155107478
屏東縣內埔鄉龍泉村7鄰東川路17號,10013,1001313,1001313-017,7鄰,東川路,,,,,,17號,120.601178814994,22.6699111330732
屏東縣內埔鄉龍泉村11鄰東川路18巷1號,10013,1001313,1001313-017,11鄰,東川路,,18巷,,,,1號,120.601716070099,22.6700486566503
屏東縣內埔鄉龍泉村11鄰東川路18巷2號,10013,1001313,1001313-017,11鄰,東川路,,18巷,,,,2號,120.601862803475,22.6700198514388
屏東縣內埔鄉龍泉村11鄰東川路18巷3號,10013,1001313,1001313-017,11鄰,東川路,,18巷,,,,3號,120.601860380609,22.6701175603661
屏東縣內埔鄉龍泉村11鄰東川路18巷4號,10013,1001313,1001313-017,11鄰,東川路,,18巷,,,,4號,120.60193678534,22.6700114558973
屏東縣內埔鄉龍泉村11鄰東川路18巷5號,10013,1001313,1001313-017,11鄰,東川路,,18巷,,,,5號,120.601895457513,22.6701022046122
屏東縣內埔鄉龍泉村11鄰東川路18巷6號,10013,1001313,1001313-017,11鄰,東川路,,18巷,,,,6號,120.602014173116,22.6700030687838
屏東縣內埔鄉龍泉村11鄰東川路18巷7號,10013,1001313,1001313-017,11鄰,東川路,,18巷,,,,7號,120.601936825295,22.6700987853467
屏東縣內埔鄉龍泉村11鄰東川路18巷8號,10013,1001313,1001313-017,11鄰,東川路,,18巷,,,,8號,120.602089131991,22.6699933209556
屏東縣內埔鄉龍泉村11鄰東川路18巷9號,10013,1001313,1001313-017,11鄰,東川路,,18巷,,,,9號,120.601971386964,22.6700933623479
屏東縣內埔鄉龍泉村11鄰東川路18巷10號,10013,1001313,1001313-017,11鄰,東川路,,18巷,,,,10號,120.602165549233,22.6699840282621
屏東縣內埔鄉龍泉村11鄰東川路18巷11號,10013,1001313,1001313-017,11鄰,東川路,,18巷,,,,11號,120.602009351426,22.670089031511
屏東縣內埔鄉龍泉村11鄰東川路18巷12號,10013,1001313,1001313-017,11鄰,東川路,,18巷,,,,12號,120.602236628629,22.6699697552508
屏東縣內埔鄉龍泉村11鄰東川路18巷13號,10013,1001313,1001313-017,11鄰,東川路,,18巷,,,,13號,120.602047805311,22.6700837084759
屏東縣內埔鄉龍泉村11鄰東川路18巷15號,10013,1001313,1001313-017,11鄰,東川路,,18巷,,,,15號,120.602085282166,22.6700797376478
屏東縣內埔鄉龍泉村11鄰東川路18巷17號,10013,1001313,1001313-017,11鄰,東川路,,18巷,,,,17號,120.602125674473,22.6700771286962
屏東縣內埔鄉龍泉村11鄰東川路18巷19號,10013,1001313,1001313-017,11鄰,東川路,,18巷,,,,19號,120.602161698154,22.6700708965016
屏東縣內埔鄉龍泉村11鄰東川路18巷21號,10013,1001313,1001313-017,11鄰,東川路,,18巷,,,,21號,120.602198789921,22.6700654797374
